date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,NANYANG COMMERCIAL BANK LTD,ICBC (ASIA) SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,CHINA CITIC BANK INTERNATIONAL LTD
2024-03-01,64.70588235294117,0.0,35.294117647058826,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,66.26506024096386,0.0,33.734939759036145,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,51.19047619047619,0.0,48.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,62.35294117647059,0.0,37.64705882352941,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,81.28654970760235,0.0,18.71345029239766,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,81.5028901734104,0.0,18.497109826589593,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,84.7560975609756,0.0,15.24390243902439,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,83.76623376623377,0.0,16.233766233766232,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,84.7560975609756,0.0,15.24390243902439,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,75.88235294117646,0.0,24.11764705882353,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,70.2247191011236,0.0,23.03370786516854,0.0,0.0,0.0,6.741573033707865,0.0,0.0
2024-04-12,76.04790419161677,0.0,16.766467065868262,0.0,0.0,0.0,7.18562874251497,0.0,0.0
2024-04-15,76.04790419161677,0.0,16.766467065868262,0.0,0.0,0.0,7.18562874251497,0.0,0.0
2024-04-19,72.35294117647058,0.0,20.588235294117645,0.0,0.0,0.0,7.0588235294117645,0.0,0.0
2024-04-22,76.875,0.0,15.625,0.0,0.0,0.0,7.5,0.0,0.0
2024-04-24,87.73006134969326,0.0,4.9079754601226995,0.0,0.0,0.0,7.361963190184049,0.0,0.0
2024-04-25,82.65895953757226,0.0,10.404624277456648,0.0,0.0,0.0,6.9364161849710975,0.0,0.0
2024-04-26,88.81987577639751,0.0,9.937888198757763,0.0,0.0,0.0,1.2422360248447204,0.0,0.0
2024-04-29,92.7536231884058,0.0,5.797101449275362,0.0,0.0,0.0,1.4492753623188406,0.0,0.0
2024-04-30,81.98757763975155,0.0,11.801242236024844,0.0,0.0,0.0,1.2422360248447204,0.0,4.968944099378882
2024-05-02,77.19298245614034,0.0,16.95906432748538,0.0,0.0,0.0,1.1695906432748537,0.0,4.678362573099415
2024-05-06,76.64670658682635,0.0,17.365269461077844,0.0,0.0,0.0,1.1976047904191618,0.0,4.790419161676647
2024-05-08,79.14438502673798,0.0,15.508021390374333,0.0,0.0,0.0,1.06951871657754,0.0,4.27807486631016
2024-05-10,60.16260162601627,23.170731707317074,12.601626016260163,0.0,0.0,0.0,0.8130081300813009,0.0,3.2520325203252036
2024-05-13,62.71186440677966,19.915254237288135,13.135593220338984,0.0,0.0,0.0,0.847457627118644,0.0,3.389830508474576
2024-05-16,61.06194690265486,20.79646017699115,13.716814159292035,0.0,0.0,0.0,0.8849557522123894,0.0,3.5398230088495577
2024-05-17,52.851711026615966,33.07984790874524,10.26615969581749,0.0,0.0,0.0,0.7604562737642585,0.0,3.041825095057034
2024-05-20,45.42253521126761,44.71830985915493,6.338028169014084,0.0,0.0,0.0,0.7042253521126761,0.0,2.8169014084507045
2024-05-21,43.223443223443226,46.52014652014652,6.593406593406594,0.0,0.0,0.0,0.7326007326007326,0.0,2.93040293040293
2024-05-22,36.64596273291926,51.86335403726709,8.385093167701864,0.0,0.0,0.0,0.6211180124223602,0.0,2.484472049689441
