date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,SINO-RICH SECURITIES & FUTURES LTD,KGI ASIA LTD
2024-03-01,60.397550546180355,39.602449453819645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,54.51290083847545,35.74322412700488,0.0,0.0,0.0,5.551301116736905,0.0,0.0,4.19257391778276
2024-03-05,54.51356872908452,35.74243685469844,0.0,0.0,0.0,5.551369131130321,0.0,0.0,4.192625285086727
2024-03-06,54.51690842763417,35.74462656576135,0.0,0.0,0.0,5.551709228098252,0.0,0.0,4.18675577850623
2024-03-07,48.87686985659009,32.07186823161126,0.0,10.328998745746468,0.0,5.000002477478705,0.0,0.0,3.722260688573468
2024-03-08,48.87630818094573,32.072220596327675,0.0,10.329112227589421,0.0,5.00005741111844,0.0,0.0,3.722301584018737
2024-03-12,48.8681800539935,32.066852465340844,0.0,10.328090980763099,0.0,4.99956305181146,0.0,0.0,3.7373134480910988
2024-03-13,48.8732349943748,32.06368230578855,0.0,10.32706993585964,0.0,4.999068790250145,0.0,0.0,3.7369439737268717
2024-03-14,48.87108768671318,32.06227354717695,0.0,10.326616202923855,0.0,4.998849149812685,0.0,0.0,3.7411734133733257
2024-03-15,46.71986178179587,30.682446040535496,0.0,9.87205532987195,0.0,4.791408609332146,4.3545850324129765,0.0,3.5796432060515637
2024-03-18,46.75381818999874,30.684057040481505,0.0,9.872573667966066,0.0,4.760156830796332,4.3548136724712965,0.0,3.5745805982860603
2024-03-20,46.76265727335199,30.67095245520382,0.0,9.874440135881212,0.0,4.761056766344503,4.355636975519668,0.0,3.5752563936988064
2024-03-21,46.76655535084474,30.68906863320098,0.0,9.872158993136452,0.0,4.75995689131863,4.35463075850394,0.0,3.5576293729952613
2024-03-22,46.77754722377566,30.68939089258255,0.0,9.860711792568615,0.0,4.760006874613414,4.354676485555223,0.0,3.557666730904533
2024-03-25,46.78255839476545,30.69005704815047,0.0,9.858227333011945,0.0,4.758807565190501,4.353579301311496,0.0,3.556770357570134
2024-03-27,46.78108505140708,30.692239856180244,0.0,9.85791686359204,0.0,4.758657694004304,4.35344219215439,0.0,3.556658342661942
2024-04-02,42.65232300897939,27.980537575657312,0.0,8.982040661999234,8.841960063630701,4.335850818740585,3.966638726079242,0.0,3.2406491449135455
2024-04-03,42.61119316446012,27.980537575657312,0.0,8.982040661999234,8.841960063630701,4.376980663259854,3.966638726079242,0.0,3.2406491449135455
2024-04-05,42.6069595934296,27.98505243644895,0.0,8.98195474888242,8.841875490383218,4.376938797489572,3.9666007852249248,0.0,3.240618148141318
2024-04-08,42.6036656217149,27.986658588876264,0.0,8.982470252237459,8.842382954137774,4.377190004125319,3.9668284412385715,0.0,3.2408041376697083
2024-04-10,42.576785811917254,27.969001045827728,0.0,8.976802967782712,8.899896770661368,4.374428316062988,3.964325661432083,0.0,3.238759426315866
2024-04-11,42.575385153686796,27.966740870022594,0.0,8.977918685445124,8.901002929731174,4.374972009285698,3.964818383415164,0.0,3.2391619684134496
2024-04-12,42.63026683092759,27.98427369938869,0.0,8.941827368668884,8.849493567866128,4.380709927147923,3.970018371477805,0.0,3.243410234522981
2024-04-15,42.71737173536827,27.826574463796906,0.0,8.960097885753894,8.878127492000095,4.389660875569144,3.978130168484537,0.0,3.250037379027155
2024-04-16,42.67383889246791,27.798840944596755,0.0,8.951167751465425,8.96990296545845,4.385285894224131,3.974165341640619,0.0,3.2467982101467125
2024-04-17,42.68079222964891,27.787076383057403,0.0,8.952626267716948,8.971364534452904,4.386000439065865,3.9748128979034405,0.0,3.247327248154534
2024-04-18,42.68406517245638,27.81317102846913,0.0,8.953312792784086,8.940420260083526,4.386336776041837,3.975117703287915,0.0,3.2475762668771293
2024-04-19,42.69224972599769,27.81850412845659,0.0,8.955029566189538,8.922959833040808,4.387177844202723,3.9758799213087173,0.0,3.248198980803939
2024-04-22,42.667514692303904,27.830511084472803,0.0,8.958894714568062,8.926811139558048,4.389071427379136,3.977595981062342,0.0,3.2496009606557066
2024-04-23,42.686056075134154,27.84573478285099,0.0,8.963795361578192,8.881791141904959,4.3914723139229705,3.9797717844926916,0.0,3.2513785401160455
2024-04-24,37.49576073736455,24.47585451362481,12.14231976746161,7.872399924502458,7.802886366328093,3.8580235561661103,3.496333847775538,0.0,2.8564212867768317
2024-04-25,37.502084335475196,24.47998232605787,12.144367549632992,7.873727591745632,7.804202310224506,3.858674205465947,3.4969234987035143,0.0,2.840038182694342
2024-04-26,37.50746056776779,24.481840295924282,12.145289276971406,7.874325188116696,7.7946749609114505,3.858967069255739,3.4971889065130135,0.0,2.840253734539626
2024-04-29,37.490071991657224,24.516850751120813,12.139658682850119,7.87067462631432,7.791061325203696,3.857178040044587,3.495567598790407,0.0,2.8389369840188303
2024-04-30,18.597784476987446,12.164351464435146,6.025941422594142,3.906882845188284,3.8673640167364014,1.9146443514644351,1.7351464435146444,0.0,1.409205020920502
2024-05-02,37.477419133736994,24.515811934286084,12.14457236583983,7.865427823479567,7.8009609051787425,3.8587392824665367,3.4969824747352987,0.0,2.8400860802769436
2024-05-03,37.473943119881575,24.513538103698753,12.143445962186973,7.8646983085683155,7.809512324800427,3.8583813861246763,3.4966581311754883,0.0,2.8398226635637918
