date,ABN AMRO CLEARING HONG KONG LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,TIGER BROKERS (HK) GLOBAL LTD
2024-03-26,98.75311720698254,0.0,0.0,1.2468827930174564,0.0,0.0,0.0
2024-04-03,97.50623441396509,0.0,0.0,2.493765586034913,0.0,0.0,0.0
2024-04-09,97.0074812967581,0.0,0.0,2.9925187032418954,0.0,0.0,0.0
2024-04-12,88.91509433962264,0.0,8.254716981132075,2.8301886792452833,0.0,0.0,0.0
2024-04-18,92.98013245033113,0.0,4.635761589403973,1.5894039735099337,0.0,0.7947019867549668,0.0
2024-04-24,79.2156862745098,0.0,13.725490196078432,4.705882352941177,0.0,2.3529411764705883,0.0
2024-04-26,80.14981273408239,0.0,13.108614232209737,4.49438202247191,0.0,2.247191011235955,0.0
2024-05-03,56.222280198278106,29.819984346464913,9.131228802504566,3.261153143751631,0.0,1.5653535090007826,0.0
2024-05-09,57.11730130334781,29.21032455916177,8.94454382826476,3.1944799386659852,0.0,1.533350370559673,0.0
2024-05-16,56.364549334672354,28.696962088877733,8.787346221441124,3.138337936228973,0.0,1.506402209389907,1.506402209389907
2024-05-17,56.239015817223205,28.696962088877733,8.787346221441124,3.138337936228973,0.0,1.631935726839066,1.506402209389907
2024-05-21,56.866683404469,28.696962088877733,8.787346221441124,3.138337936228973,0.0,1.0042681395932713,1.506402209389907
2024-05-27,56.92076228686058,28.66098294884654,8.776328986960882,3.1344032096288865,0.0,1.0030090270812437,1.5045135406218655
2024-05-28,56.65332666333167,28.58929464732366,8.754377188594297,3.126563281640821,0.0,1.375687843921961,1.500750375187594
2024-05-31,56.0280140070035,28.58929464732366,8.754377188594297,3.7518759379689848,0.0,1.375687843921961,1.500750375187594
2024-06-03,55.77788894447223,28.58929464732366,8.754377188594297,3.7518759379689848,0.0,1.6258129064532265,1.500750375187594
2024-06-07,54.02412010829436,28.13192222495693,8.614324390844203,3.691853310361801,2.4612355402412014,1.5998031011567808,1.4767413241447207
2024-06-11,53.40881122323407,28.13192222495693,8.614324390844203,4.3071621954221015,2.4612355402412014,1.5998031011567808,1.4767413241447207
2024-06-12,63.253753384198866,18.286980063992125,8.614324390844203,4.3071621954221015,2.4612355402412014,1.5998031011567808,1.4767413241447207
2024-06-17,62.638444499138565,18.286980063992125,8.614324390844203,4.922471080482403,2.4612355402412014,1.5998031011567808,1.4767413241447207
2024-06-24,63.86906226925917,17.056362293871523,8.614324390844203,4.922471080482403,2.4612355402412014,1.5998031011567808,1.4767413241447207
2024-07-02,63.478473581213315,16.95205479452055,8.561643835616438,5.503913894324853,2.446183953033268,1.5900195694716242,1.467710371819961
2024-07-12,63.11154598825832,16.95205479452055,8.561643835616438,5.503913894324853,2.8131115459882583,1.5900195694716242,1.467710371819961
2024-08-12,62.5,16.95205479452055,8.561643835616438,6.11545988258317,2.8131115459882583,1.5900195694716242,1.467710371819961
2024-08-19,61.154598825831705,16.95205479452055,8.561643835616438,7.460861056751468,2.8131115459882583,1.5900195694716242,1.467710371819961
2024-09-10,60.543052837573384,16.95205479452055,8.561643835616438,8.072407045009784,2.8131115459882583,1.5900195694716242,1.467710371819961
2024-09-12,60.665362035225044,16.829745596868882,8.561643835616438,8.072407045009784,2.8131115459882583,1.5900195694716242,1.467710371819961
2024-09-23,60.80916402632221,16.768218376797464,8.530343650987081,8.04289544235925,2.8028271996100416,1.5842066780404582,1.4623446258834998
2024-09-24,61.18754525706011,16.60632391986483,8.447984552256818,7.965242577842144,2.775766352884383,1.5689114168476948,1.448225923244026
2024-09-26,61.54960173787111,16.244267439053825,8.447984552256818,7.965242577842144,2.775766352884383,1.5689114168476948,1.448225923244026
