date,SOLOMON JFZ (ASIA) HOLDINGS LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,ARK GROUP HOLDINGS (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CGS INTERNATIONAL SECURITIES HK LTD,ABN AMRO CLEARING HONG KONG LTD,UBS SECURITIES HONG KONG LTD,CITIC SECURITIES BROKERAGE (HK) LTD
2024-04-30,86.61909009812668,0.0,0.0,0.0,0.0,0.0,0.0,13.380909901873327,0.0,0.0
2024-05-02,85.97992916174735,0.0,0.0,0.0,0.0,0.0,0.0,14.020070838252657,0.0,0.0
2024-05-03,96.39390783257106,0.0,1.3585110718652358,0.0,0.0,0.012226599646787123,0.0,2.2353544959169196,0.0,0.0
2024-05-06,96.0539081125392,0.0,1.5041326043303977,0.0,0.0,0.0030082652086607957,0.0,2.43895101792174,0.0,0.0
2024-05-07,96.33225425922518,0.0,1.5084912975137046,0.0,0.0,0.0030169825950274094,0.0,2.1562374606660892,0.0,0.0
2024-05-08,94.30841480343798,0.0,2.156422600939244,0.0,0.0,0.0029535989603331663,0.0,3.532208996662433,0.0,0.0
2024-05-09,94.308562483386,0.0,2.156422600939244,0.0,0.0,0.0029535989603331663,0.0,3.5320613167144166,0.0,0.0
2024-05-10,94.34185256315556,0.0,1.6860688432560202,0.0,0.0,0.006500221598463584,0.0,3.965578371989954,0.0,0.0
2024-05-13,95.00571363184417,0.0,1.7644994038957844,0.0,0.0,0.007576940740591837,0.0,3.2222100235194424,0.0,0.0
2024-05-14,95.00571363184417,0.0,1.5328615012548341,0.0,0.0,0.01066956961430279,0.0,3.450755297286682,0.0,0.0
2024-05-16,94.84632973724229,0.0,0.44662589217471227,0.0,0.0,0.015956623514637808,0.0,4.691087747068369,0.0,0.0
2024-05-20,93.42006153531898,0.0,0.4466736457761493,0.0,0.0,0.01595832960972309,0.0,6.117306489295152,0.0,0.0
2024-05-21,93.54576423026799,0.0,0.4542584907712008,0.0,0.0,0.017852245082112212,0.0,5.982125033878692,0.0,0.0
2024-05-22,93.46643056825773,0.0,0.4538732462882606,0.0,0.0,0.017837105070278192,0.0,6.061859080383725,0.0,0.0
2024-05-23,93.42264996815138,0.0,0.45366064757261565,0.0,0.0,0.017828749993922016,0.0,6.105860634282093,0.0,0.0
2024-05-24,93.42280138740315,0.0,0.45366138286492264,0.0,0.0,0.017828778890725795,0.0,6.1057084508411945,0.0,0.0
2024-05-27,93.42961576179015,0.0,0.4536944734858615,0.0,0.0,0.01783007934385308,0.0,6.098859685380146,0.0,0.0
