date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHEER UNION SECURITIES LTD,CITIBANK N.A.,GF SECURITIES (HONG KONG) BROKERAGE LTD,SILVERBRICKS SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,USMART SECURITIES LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD
2024-03-01,6.958530805687204,2.23124259478673,1.4618483412322276,0.0,1.0035488151658767,3.3915284360189575,0.0,0.0,0.0,0.0
2024-03-04,6.378709432872068,2.0579593625472046,1.3430691182076773,16.66672097158007,0.919376970589545,0.0,0.0,0.0,0.0,0.0
2024-03-05,6.381424678542065,2.057362008499805,1.3427975936406775,0.0,0.9198657148101447,0.0,0.0,0.0,0.0,0.0
2024-03-06,6.373908254021007,2.0711011515899935,1.3380187612614816,0.0,0.9195941902431448,3.0820753600144233,0.0,0.0,0.0,0.0
2024-03-07,6.3766234996910045,2.0738707021733913,0.0,0.0,0.919485580416345,3.0630143354110393,0.0,0.0,0.0,0.0
2024-03-08,6.379393050274403,2.092171457989176,1.3366068335130825,0.0,0.9189425312823454,3.0340698165688638,0.0,0.0,0.0,0.0
2024-03-11,6.3821082959444,2.102598001361967,1.3474135112796735,0.0,0.9188882263689455,3.0436817862406556,0.0,0.0,2.062066171623076,0.0
2024-03-12,6.384823541614399,2.1017834276609677,1.3438293869952764,0.0,0.9191597509359452,0.0,0.0,0.0,2.062337696190076,0.0
2024-03-13,6.365708212097614,2.089293297578978,1.345784363877675,0.0,0.9207888983379438,3.1022767877992066,0.0,0.0,0.0,0.0
2024-03-14,6.370378434650011,2.088913163185179,1.3452413147436753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,6.375265876856007,2.0889674680985784,1.3436121673416768,0.0,0.9218749966059429,3.1037973253744053,0.0,0.0,0.0,0.0
2024-03-18,6.377763902872403,2.076694557670189,1.3477393407600733,0.0,0.9216034720389432,0.0,0.0,0.0,0.0,0.0
2024-03-19,6.3251967467012475,2.0768031674969887,1.366963280103657,0.0,0.9219293015193428,3.1058066071702037,0.0,3.3461058489650024,2.0691258103650703,0.0
2024-03-20,6.297446935953871,2.0839714160657827,1.3642480344336594,0.0,0.9223387605663786,0.0,0.0,0.0,0.0,0.0
2024-03-21,6.29864164404867,2.0831568423647835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,0.0,0.0,0.0,0.9223930654797785,0.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,2.081581999876185,1.3365525285996827,0.0,0.9245652620157767,0.0,0.0,0.0,2.075588095059665,0.0
2024-03-26,0.0,2.070666712282794,0.0,0.0,0.9249453964095763,0.0,0.0,0.0,2.082376209234659,0.0
2024-03-27,6.304615184522665,1.9929563812074589,1.3463274130116745,0.0,0.9248367865827765,3.1128662459121976,0.0,0.0,2.098070329207246,0.0
2024-03-28,6.302008548679468,1.961513836348885,1.3327511846616857,0.0,0.9264659339847751,3.1116715378173985,0.0,0.0,2.099482256955645,0.0
2024-04-02,6.303909220648466,1.9617310560024848,1.3273206933216903,0.0,0.9137042793357857,3.1122145869513984,0.0,0.0,0.0,0.0
2024-04-03,6.290441602125277,1.957006528536689,0.0,0.0,0.9034949556165943,0.0,0.0,3.3513191206513984,2.099590866782445,0.0
2024-04-25,6.295763483638472,1.950870073322494,1.3699500503406548,0.0,0.9034406507031942,3.198885228737726,0.0,0.0,2.107899518532638,0.0
2024-04-26,6.265298427221098,1.9427786412259007,0.0,0.0,0.9025717720887951,3.2109952244259157,0.0,0.0,0.0,0.0
2024-04-29,6.265787171441698,1.9368594056653057,0.0,0.0,0.8970326709219998,3.213710470095913,0.0,0.0,0.0,0.0
2024-04-30,6.281046852107084,1.9371309302323054,1.3685924275056558,0.0,0.8969783660085997,0.0,0.0,0.0,0.0,0.0
2024-05-02,6.289192589117078,1.9345785993025075,1.3680493783716563,0.0,0.8975214151425992,0.0,0.0,0.0,0.0,0.0
2024-05-03,6.300596620931069,1.9363163565313064,1.3849382064390423,0.0,0.8976300249693993,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,1.9387057727209043,0.0,0.0,0.0,0.0,0.0,3.351156205911198,0.0,0.0
2024-05-07,0.0,1.9409865790837022,1.3790732757918471,0.0,0.8812842460360129,0.0,0.0,0.0,0.0,0.0
2024-05-08,6.302117158506268,1.9395746513353036,1.3784216168310477,0.0,0.8772113775310163,0.0,0.0,0.0,0.0,0.0
2024-05-09,6.299836352143469,1.941203798737302,0.0,0.0,0.8778087315784158,0.0,0.0,0.0,0.0,0.0
2024-05-10,6.299727742316668,1.9409865790837022,0.0,0.0,0.8777544266650159,0.0,0.0,0.0,0.0,0.0
2024-05-13,6.29961913248987,1.8969452943163392,1.3891196847708387,0.0,0.8939372908582023,0.0,0.0,0.0,0.0,0.0
2024-05-14,6.308145003893663,1.892275071763943,1.4026959131208274,0.0,0.8941545105118021,0.0,0.0,0.0,2.1080081283594376,0.0
2024-05-16,0.0,1.887496239384747,1.3980256905684312,0.0,0.8937200712046024,3.211701188300115,0.0,0.0,0.0,0.0
2024-05-17,6.313847019800657,1.8872790197311473,1.4092125027288218,0.0,0.8938286810314024,0.0,0.0,0.0,0.0,0.0
2024-05-20,6.313792714887258,1.8889624720465459,1.407963489720623,0.0,0.8920909238026038,0.0,0.0,0.0,0.0,0.0
2024-05-21,6.308362223547262,1.893361170031942,1.396993897213832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,6.266384525489096,1.8931439503783423,0.0,0.0,0.0,3.2095832966775166,0.0,0.0,0.0,0.0
2024-05-23,6.253948700320508,1.8913518882361438,0.0,0.0,0.8910048255346047,0.0,0.0,0.0,0.0,0.0
2024-05-24,6.255306323155506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,6.249658612161911,1.8960764157019399,0.0,0.0,0.8908419107944049,0.0,0.0,0.0,0.0,0.0
2024-05-28,6.23874332456852,1.9230116527483174,0.0,0.0,0.8891584584790063,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,1.9170381122743223,1.3941700417170344,0.0,0.8891041535656063,0.0,0.0,0.0,0.0,0.0
