date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,PHILLIP SECURITIES (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,UBS SECURITIES HONG KONG LTD,CHINA MERCHANTS BANK CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,CITIBANK N.A.,BOCI SECURITIES LTD,LONG BRIDGE HK LTD,TOTAL_CCASS_PCT
2024-03-01,35.20590445517981,13.049605743424584,0.0,0.0,0.0,0.0,0.0,3.1578046162104134,0.0,0.0,51.41331481481481
2024-03-04,35.219323671497584,13.052289586688136,0.0,0.0,0.0,0.0,0.0,3.158609769189479,2.284219001610306,0.0,53.71444202898551
2024-03-05,35.219323671497584,13.052289586688136,0.0,0.0,0.0,0.0,0.0,3.1591465378421897,2.284219001610306,0.0,53.71497879763821
2024-03-06,35.219323671497584,13.052289586688136,0.0,0.0,0.0,0.0,0.0,3.1591465378421897,2.2840042941492213,0.0,53.714764090177134
2024-03-07,35.219323671497584,13.052289586688136,0.0,0.0,0.0,0.0,0.0,3.1594149221685455,2.2840042941492213,0.0,53.71503247450349
2024-03-08,35.219323671497584,13.052289586688136,0.0,0.0,0.0,0.0,0.0,3.159683306494901,2.2840042941492213,0.0,53.71530085882984
2024-03-11,35.219323671497584,13.052289586688136,0.0,0.0,0.0,0.0,0.0,3.160091250670961,2.2840042941492213,0.0,53.7157088030059
2024-03-14,35.22227589908749,13.033502683843265,0.0,0.0,0.0,0.0,0.0,3.17109500805153,2.2899087493290393,0.0,53.71678234031133
2024-03-15,35.22227589908749,13.033019592055824,0.0,0.0,0.0,0.0,0.0,3.17109500805153,2.2899087493290393,0.0,53.71629924852389
2024-03-20,35.270585077831456,13.033019592055824,0.0,0.0,0.0,0.0,0.0,3.1745840042941493,2.283467525496511,0.0,53.761656199677944
2024-03-26,35.270585077831456,13.033019592055824,0.0,0.0,0.0,2.5397208803005906,0.0,3.173778851315083,2.283467525496511,0.0,56.30057192699947
2024-03-27,35.270585077831456,13.025773215244229,0.0,0.0,0.0,2.550456253354804,0.0,3.1719001610305955,2.283467525496511,0.0,56.3021822329576
2024-03-28,35.270585077831456,13.025773215244229,0.0,0.0,0.0,2.550456253354804,0.0,3.1721685453569517,2.2886741814278047,0.0,56.30765727321524
2024-04-03,35.270585077831456,12.996250939345142,0.0,0.0,0.0,2.550456253354804,0.0,3.1713633923778852,2.2886741814278047,0.0,56.27732984433709
2024-04-08,35.270585077831456,12.998934782608696,0.0,0.0,0.0,2.550456253354804,0.0,3.167606011808911,2.2924315619967794,0.0,56.28001368760065
2024-04-11,35.270585077831456,12.998934782608696,0.0,0.0,0.0,2.550456253354804,3.2648953301127213,3.167606011808911,2.2924315619967794,0.0,59.544909017713366
2024-04-12,35.270585077831456,12.998934782608696,0.0,0.0,0.0,2.550456253354804,3.2648953301127213,3.167606011808911,2.3085346215780995,0.0,59.561012077294684
2024-04-22,35.27004830917874,12.998934782608696,0.0,0.0,0.0,2.5542136339237786,3.2648953301127213,3.167874396135266,2.295115405260333,0.0,59.551081857219536
2024-04-23,35.27434245840043,12.998934782608696,0.0,0.0,0.0,2.5542136339237786,3.2648953301127213,3.1684111647879765,2.295115405260333,0.0,59.55591277509393
2024-04-24,35.27434245840043,8.425934245840043,0.0,0.0,4.907188405797101,2.5542136339237786,3.2648953301127213,3.1694847020933974,2.295115405260333,0.0,59.89117418142781
2024-04-25,35.27380568974772,8.425934245840043,0.0,0.0,4.907188405797101,2.5542136339237786,3.2648953301127213,3.1694847020933974,2.295115405260333,0.0,59.89063741277509
2024-04-26,35.27380568974772,8.409831186258723,0.0,0.0,4.907188405797101,2.5542136339237786,3.2648953301127213,3.1694847020933974,2.295115405260333,0.0,59.87453435319377
2024-04-29,35.27380568974772,8.409831186258723,0.0,0.0,4.907188405797101,2.5542136339237786,3.2648953301127213,3.1697530864197527,2.295115405260333,0.0,59.87480273752013
2024-05-03,35.27380568974772,8.409831186258723,0.0,0.0,4.907188405797101,2.5542136339237786,3.2648953301127213,3.1697530864197527,2.295115405260333,0.00026838432635534085,59.87507112184648
2024-05-06,35.27380568974772,8.409831186258723,0.0,0.0,4.907188405797101,2.5542136339237786,3.2648953301127213,3.1697530864197527,2.274181427804616,0.00026838432635534085,59.85413714439076
