date,CHINA SECURITIES DEPOSITORY AND CLEARING,MERRILL LYNCH FAR EAST LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,DBS BANK LTD,BOCI SECURITIES LTD
2024-03-01,38.73206115865955,17.392269125451236,1.7079380466696648,0.0,10.337484563685793,5.734000113171249,16.039326436318458,2.1821189486505506,0.0,7.874801607393501
2024-03-04,38.33319852404753,17.36611774753762,1.6963983102952944,0.0,10.563119207722366,5.729791197524582,16.293912218354077,2.1819236611789803,0.0,7.835539133339549
2024-03-05,38.378430415065495,17.339597531729076,1.6948065483445007,0.0,10.56222993080292,5.720204424719171,16.29305900829537,2.171455514574628,0.0,7.84021662646884
2024-03-06,32.98512013121749,14.975914027193973,1.5086573734790452,13.920668054117868,9.120519198297663,5.075106746658924,13.728911010084904,1.8838883051575477,0.0,6.801215153792577
2024-03-07,32.930409067637434,14.969175593402506,1.4704140369733114,13.902832365834417,9.301797416049087,5.078460003848901,13.670860862226458,1.8835494752370938,0.0,6.792501178790792
2024-03-08,32.93291591338172,15.008462789153528,1.4739156726425107,13.941140043145875,9.139884559569436,5.072875346485078,13.702376662751407,1.9197522101991271,0.0,6.808676802671321
2024-03-11,32.877929579029214,15.018948300488258,1.492824248985341,13.978751996595815,8.997949561935275,5.157056150818793,13.721039257128167,1.9269268094776963,0.0,6.828574095541444
2024-03-12,32.8035924710978,15.02445311247774,1.4946168798317165,13.996582328245811,9.026506012773718,5.155939496872356,13.732294909673953,1.9292407244879364,0.0,6.836774064538967
2024-03-13,32.74637623899161,15.037670682688892,1.5305110760263725,14.056618534754561,9.036871071609673,5.1678382608668345,13.637869329525062,1.933692983883755,0.0,6.852551821653238
2024-03-14,32.200113720552324,15.100342928874092,1.547009779107262,14.11158311767464,9.31414797623627,5.217293365881148,13.619913382623652,2.012553060431142,0.0,6.877042668619467
