date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,MIRAE ASSET SECURITIES (HK) LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-05,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,0.0,0.0
2024-03-06,17.741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,82.25806451612904,0.0,0.0
2024-03-08,2.5440313111545985,0.0,0.0,0.0,0.0,0.3913894324853229,0.0,97.06457925636008,0.0,0.0
2024-03-11,3.67504835589942,0.0,0.0,0.0,0.0,0.3868471953578337,0.0,95.93810444874275,0.0,0.0
2024-03-12,3.7475345167652856,0.0,0.0,0.0,0.0,0.39447731755424065,0.0,95.85798816568047,0.0,0.0
2024-03-13,30.64516129032258,0.0,0.0,0.0,0.0,3.225806451612903,0.0,66.12903225806451,0.0,0.0
2024-03-14,21.818181818181817,0.0,0.0,0.0,0.0,3.6363636363636362,0.0,74.54545454545455,0.0,0.0
2024-03-15,24.561403508771928,0.0,0.0,0.0,0.0,3.508771929824561,0.0,71.9298245614035,0.0,0.0
2024-03-18,23.728813559322035,0.0,0.0,0.0,0.0,3.389830508474576,0.0,72.88135593220339,0.0,0.0
2024-03-19,23.333333333333332,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,73.33333333333333,0.0,0.0
2024-03-26,28.125,0.0,0.0,0.0,0.0,3.125,0.0,68.75,0.0,0.0
2024-03-27,30.666666666666664,0.0,8.0,0.0,0.0,2.666666666666667,0.0,58.666666666666664,0.0,0.0
2024-03-28,45.26315789473684,0.0,6.315789473684211,0.0,0.0,2.1052631578947367,0.0,46.31578947368421,0.0,0.0
2024-04-02,45.370370370370374,0.0,6.481481481481481,0.0,0.0,7.4074074074074066,0.0,40.74074074074074,0.0,0.0
2024-04-03,43.609022556390975,7.518796992481203,5.263157894736842,0.0,0.0,5.263157894736842,0.0,38.34586466165413,0.0,0.0
2024-04-05,40.845070422535215,7.042253521126761,7.042253521126761,0.0,0.0,9.15492957746479,0.0,35.91549295774648,0.0,0.0
2024-04-08,41.25874125874126,6.993006993006993,6.993006993006993,0.0,0.0,9.090909090909092,0.0,35.66433566433567,0.0,0.0
2024-04-09,46.20253164556962,6.329113924050633,6.329113924050633,0.0,0.0,8.860759493670885,0.0,32.278481012658226,0.0,0.0
2024-04-12,49.404761904761905,5.952380952380952,5.952380952380952,0.0,0.0,8.333333333333332,0.0,30.357142857142854,0.0,0.0
2024-04-15,47.465437788018434,4.6082949308755765,4.6082949308755765,0.0,0.0,20.276497695852534,0.0,23.04147465437788,0.0,0.0
2024-04-16,57.46268656716418,3.731343283582089,3.731343283582089,0.0,0.0,16.417910447761194,0.0,18.65671641791045,0.0,0.0
2024-04-17,56.52173913043478,3.6231884057971016,5.797101449275362,0.0,0.0,15.942028985507244,0.0,18.115942028985508,0.0,0.0
2024-04-18,57.89473684210527,3.508771929824561,5.614035087719298,0.0,0.0,15.43859649122807,0.0,17.543859649122805,0.0,0.0
2024-04-19,57.82312925170068,3.4013605442176873,9.183673469387756,0.0,0.0,14.285714285714285,0.0,15.306122448979592,0.0,0.0
2024-04-22,57.82312925170068,4.761904761904762,9.183673469387756,0.0,0.0,13.945578231292515,0.0,14.285714285714285,0.0,0.0
2024-04-23,50.1628664495114,11.074918566775244,8.794788273615636,0.0,0.0,13.355048859934854,0.0,16.612377850162865,0.0,0.0
2024-04-24,49.358974358974365,10.897435897435898,9.294871794871796,0.0,0.0,14.102564102564102,0.0,16.346153846153847,0.0,0.0
2024-04-25,50.943396226415096,10.69182389937107,9.119496855345911,0.0,0.0,13.20754716981132,0.0,16.037735849056602,0.0,0.0
2024-04-26,49.549549549549546,10.21021021021021,9.00900900900901,0.0,3.003003003003003,12.312312312312311,0.0,15.315315315315313,0.0,0.6006006006006006
2024-04-29,46.73913043478261,11.41304347826087,8.152173913043478,0.0,8.152173913043478,11.141304347826086,0.0,13.858695652173914,0.0,0.5434782608695652
2024-04-30,38.81748071979435,12.853470437017995,15.681233933161954,0.0,7.712082262210797,10.539845758354756,0.0,13.881748071979436,0.0,0.5141388174807198
2024-05-02,31.53961136023916,11.509715994020926,12.10762331838565,0.0,4.484304932735426,1.7937219730941705,0.0,37.96711509715994,0.0,0.5979073243647235
2024-05-03,29.91573033707865,13.904494382022472,11.376404494382022,0.0,4.213483146067416,4.353932584269663,0.0,35.674157303370784,0.0,0.5617977528089888
2024-05-06,29.523809523809526,15.510204081632653,11.020408163265307,0.0,4.081632653061225,4.217687074829931,0.0,35.10204081632653,0.0,0.5442176870748299
2024-05-07,30.469798657718123,15.302013422818792,10.87248322147651,0.0,4.026845637583892,4.1610738255033555,0.0,34.630872483221474,0.0,0.5369127516778524
2024-05-08,29.80535279805353,15.328467153284672,9.854014598540147,0.0,3.64963503649635,3.7712895377128954,5.7177615571776155,31.386861313868614,0.0,0.48661800486618007
2024-05-09,29.759036144578317,15.421686746987953,10.240963855421686,0.0,3.614457831325301,3.734939759036145,5.662650602409639,31.08433734939759,0.0,0.48192771084337355
2024-05-10,33.52017937219731,14.349775784753364,9.641255605381167,0.0,3.3632286995515694,4.484304932735426,5.2690582959641254,28.923766816143498,0.0,0.4484304932735426
2024-05-13,35.140997830802604,14.316702819956618,9.327548806941431,0.0,3.2537960954446854,4.3383947939262475,5.097613882863341,28.091106290672453,0.0,0.43383947939262474
