date,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,HANG SENG BANK LTD,CHINA CITIC BANK INTERNATIONAL LTD,DBS BANK (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOOM SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD
2024-04-23,15.966386554621847,83.95798319327731,0.07563025210084033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,14.893617021276595,85.02978723404256,0.07659574468085106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,14.514991913075933,82.8681624020238,2.6168456849002615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,14.602072659913556,83.36531882582648,2.032608514259967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,13.851108923118002,83.36531882582648,2.783572251055521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,13.280384035203227,83.26596604688763,3.4536499179091416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,12.48067062749247,81.31358346219582,6.205745910311712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,66.79006968641114,0.12195121951219512,33.08797909407665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,68.64983436296893,0.12534694242994002,31.22481869460113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,68.79458077250908,0.12561123323314344,31.079807994257774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,68.89038634321653,0.12578616352201258,30.983827493261458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,69.42369505183575,0.12675992575490064,30.322785096654442,0.0,0.0,0.12675992575490064,0.0,0.0,0.0,0.0
2024-06-03,72.20915505699294,0.12665098606839154,27.53754297087027,0.0,0.0,0.12665098606839154,0.0,0.0,0.0,0.0
2024-06-04,72.42304369572136,0.1273132360296458,27.322329832219346,0.0,0.0,0.1273132360296458,0.0,0.0,0.0,0.0
2024-06-05,72.68412886739071,0.12777220041982296,27.060326731769646,0.0,0.0,0.12777220041982296,0.0,0.0,0.0,0.0
2024-06-06,72.75384826200155,0.12789476088247387,26.9903622162335,0.0,0.0,0.12789476088247387,0.0,0.0,0.0,0.0
2024-06-07,72.78709500525522,0.12795320568477814,26.956998583375224,0.0,0.0,0.12795320568477814,0.0,0.0,0.0,0.0
2024-06-11,73.75439896277088,0.129653639562882,25.98629375810335,0.0,0.0,0.129653639562882,0.0,0.0,0.0,0.0
2024-06-13,76.4519535374868,0.1343956993376212,23.279255063837955,0.0,0.0,0.1343956993376212,0.0,0.0,0.0,0.0
