date,SPDB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOYUAN SECURITIES BROKERAGE (HONG KONG),FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-06,0.0,0.0,0.0,0.0,0.0,6.7081739130434785,0.0,0.0,0.0,0.0,6.7081739130434785
2024-03-07,0.0,0.0,4.571376811594203,2.6280797101449274,0.0,6.7023768115942035,0.0,0.0,0.0,0.0,13.901833333333332
2024-03-08,0.0,0.0,4.576449275362319,2.6280797101449274,0.0,6.699478260869565,0.0,0.0,0.0,0.0,13.904007246376812
2024-03-13,0.0,0.0,4.577173913043478,2.6280797101449274,0.0,6.699840579710145,0.0,0.0,0.0,1.4561594202898551,15.361253623188405
2024-03-14,0.0,0.0,4.577173913043478,2.6280797101449274,0.0,6.699478260869565,0.0,0.0,1.7703804347826086,1.4561594202898551,17.131271739130437
2024-03-15,0.0,0.0,4.577173913043478,2.6280797101449274,0.0,6.699115942028985,0.0,0.0,1.7703804347826086,1.4561594202898551,17.130909420289857
2024-03-18,0.0,0.0,4.577173913043478,2.6280797101449274,0.0,6.698753623188406,0.0,0.0,1.7700181159420287,1.4561594202898551,17.130184782608694
2024-03-19,0.0,0.0,4.578985507246377,2.6222826086956523,0.0,6.699840579710145,0.0,0.0,1.7700181159420287,1.4561594202898551,17.12728623188406
2024-03-25,0.0,0.0,4.5793478260869565,2.6222826086956523,0.0,6.699840579710145,0.0,0.0,1.7700181159420287,1.4561594202898551,17.12764855072464
2024-03-27,0.0,0.0,4.581159420289855,2.621195652173913,0.0,6.700565217391305,0.0,0.0,1.7696557971014493,1.4561594202898551,17.128735507246375
2024-03-28,0.0,0.0,4.590942028985507,2.6081521739130435,0.0,6.697304347826087,0.0,0.5699275362318841,1.7696557971014493,1.4561594202898551,17.692141304347825
