date,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,DEUTSCHE BANK AG,CMB INTERNATIONAL SECURITIES LTD,CHINA MERCHANTS BANK CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,14.907527439919768,15.529404309715567,10.525937380805278,8.312596345893487,0.0,4.01846916504897,2.619024117395453,2.33650840654098,1.4646744925427517,59.71414165786225
2024-03-04,15.420394072221796,15.459578289835257,10.188749602430384,8.047561512092818,0.0,4.004333356486813,2.6136622589753244,2.3257846897007233,1.4677819332180533,59.52784571496117
2024-03-05,15.61654730438661,15.622749390393256,10.199960760945197,7.998695484218467,0.0,4.004333356486813,2.606472494275607,2.308114928998027,1.5092144755554093,59.86608819525938
2024-03-06,15.591212523351503,15.54597732665051,10.320846296235366,8.122503841649698,0.0,4.004333356486813,2.5959924982726283,2.3066526039743556,1.5204256340702234,60.007944080691104
2024-03-07,15.610291599795762,15.506860132267297,10.285263053992695,8.269332850766077,0.0,4.004333356486813,2.592702266969368,2.3112832998826485,1.4696098394976427,60.0496763996583
2024-03-08,15.499199986351634,15.39462668670052,10.215437034112387,8.257969366727963,0.0,4.008842191976466,2.592702266969368,2.3008033038796705,1.519450750721109,59.78903158743911
2024-03-11,15.263208146125265,15.237183025818569,10.243221209562144,8.446548364572251,0.0,4.008842191976466,2.592702266969368,2.308114928998027,1.5463819032403905,59.646202037262476
2024-03-12,15.381709482324757,15.215613731719413,10.167058447912591,8.459882940881855,0.0,4.0055519606732055,2.5930678482252856,2.3088460915098628,1.5422386490066549,59.673969152253626
2024-03-13,15.194325325885224,15.091438574428079,10.3829951097414,8.424543419476462,0.0,4.000433823090356,2.596236219109907,2.236095421582211,1.5556432950569758,59.48171118837061
2024-03-14,15.362831475571252,15.033433015155781,10.33376350061113,8.373619778433387,0.0,4.000433823090356,2.5959924982726283,2.2133075232966655,1.5101893589045237,59.42357097333573
2024-03-15,15.724143961024165,15.020028369105459,10.263206318218986,8.1035892767706,0.0,4.000433823090356,2.597820404552218,2.206605200271505,1.4782619292210317,59.39408928225433
2024-03-18,15.64809087375139,15.003942793845074,10.232497492721887,8.091666453410934,0.0,4.000068241834438,2.597942264970857,2.2098954315747656,1.4660758873571034,59.25017943946644
2024-03-19,15.522533819312684,15.040500919436859,10.21689935913606,8.339489112380896,0.0,4.000068241834438,2.597942264970857,2.2137949649712225,1.4777379294208828,59.408966611463896
2024-03-20,15.581878624585826,15.086807878519787,10.269421199569589,8.808077152268249,0.0,4.000068241834438,2.5942864524116787,2.22780891311474,1.4700607230466078,60.038409185350915
2024-03-21,15.329440502259903,15.078521370052314,10.274783057989717,8.866559795079521,0.0,3.981789179038546,2.593677150318482,2.2231782172064474,1.475300721048097,59.82324999299302
2024-03-22,15.288812847987657,15.05561161134813,10.282825845619909,8.809517542416566,0.0,3.981789179038546,2.593677150318482,2.221228450508219,1.4484183126962713,59.681880939933784
2024-03-25,15.148770854887395,15.069991140747566,10.222383077974827,8.82053433356365,0.0,3.981789179038546,2.593677150318482,2.2222033338573333,1.4503680793945,59.50971714978229
2024-03-26,15.068647629632068,15.083395786797885,10.28952816864507,8.859773388365499,0.0,3.981789179038546,2.592214825294811,2.2363391424194896,1.3969932160304943,59.508681336223866
2024-03-27,15.081055457457918,15.148103669095345,10.244683534585814,8.878171874371658,0.0,3.990928710436492,2.5919711044575324,2.292882376668117,1.3723774114653593,59.60017413853823
2024-03-28,14.979887547205681,15.162970640169338,10.24383051165534,8.841443144193779,0.0,3.995193825088867,2.591361802364336,2.3254191084448053,1.390778334679891,59.530884913802026
2024-04-02,14.895822137407372,15.197091557388337,10.322796062933595,8.645928460622633,0.0,4.001896148114027,2.591361802364336,2.3316339897954084,1.4257035306619092,59.41223368928762
2024-04-03,14.81783512529079,15.09302275987039,10.351433261313826,8.619606610196549,0.0,4.006039402347763,2.5919711044575324,2.320666552117873,1.4203416722417808,59.220916487836504
