date,DBS BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,BNP PARIBAS,INTERACTIVE BROKERS HONG KONG LTD,ZHESHANG INTERNATIONAL FINANCIAL,THE HONGKONG AND SHANGHAI BANKING,PATRONS SECURITIES LTD,UBS SECURITIES HONG KONG LTD,PLUTUS SECURITIES LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,40.49541713130266,0.0,0.0,59.50458286869734,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,34.42691769786585,14.985644952761573,0.0,50.58743734937258,0.0,0.0,0.0
2024-03-08,87.93177394471351,0.0,0.0,4.154718251645883,1.8085015087418967,0.0,6.10500629489871,0.0,0.0,0.0
2024-03-11,87.93177394471351,0.0,0.0,4.154718251645883,1.809312787007078,0.0,6.104195016633529,0.0,0.0,0.0
2024-03-12,87.93181310734441,0.0,0.0,4.154704769159173,1.8093069156015755,0.0,6.104175207894837,0.0,0.0,0.0
2024-03-19,87.93228029223003,0.0,0.0,4.15471151039159,1.809634362079099,0.0,6.103373835299274,0.0,0.0,0.0
2024-03-20,87.93289015471689,0.0,0.0,4.154724992922052,1.8098024904730363,0.0,6.10258236188803,0.0,0.0,0.0
2024-03-25,87.9341098915651,0.0,0.0,4.154751958245492,1.8098142365957284,0.0,6.101323913593676,0.0,0.0,0.0
2024-03-26,87.93040038829115,0.0,0.0,4.154576689899562,1.8139563927625206,0.0,6.10106652904676,0.0,0.0,0.0
2024-03-27,87.92997238882194,0.0,0.0,4.15455646758043,1.8155700567142468,0.0,6.0999010868833885,0.0,0.0,0.0
2024-03-28,87.92997238882194,0.0,0.0,4.152284976892851,1.8178415474018252,0.0,6.0999010868833885,0.0,0.0,0.0
2024-04-03,87.9277485552704,0.0,0.0,4.152156976798411,1.8268711925113357,0.0,6.093223275419865,0.0,0.0,0.0
2024-04-08,87.93117247553866,0.0,0.0,4.1523186624399,1.8272668324631975,0.0,6.089242029558251,0.0,0.0,0.0
2024-04-09,87.93131514466998,0.0,0.0,4.152325399614896,1.8271075463060074,0.0,6.0892519094091195,0.0,0.0,0.0
2024-04-10,87.93131514466998,0.0,0.0,4.152325399614896,1.8272697972203407,0.0,6.089089658494787,0.0,0.0,0.0
2024-04-12,87.93188582582495,0.0,0.0,4.152352348533503,1.82728165634512,0.0,6.088480169296428,0.0,0.0,0.0
2024-04-18,87.93188582582495,0.0,0.0,2.1242027566036503,3.8554312482749724,0.0,6.088480169296428,0.0,0.0,0.0
2024-04-19,87.92461019592353,0.0,0.0,2.124026996548609,3.8633864091668224,0.0,6.08797639836103,0.0,0.0,0.0
2024-04-24,87.116041394187,0.0,0.0,2.104494103998635,3.8278580887961726,0.0,5.919467792537791,0.0,1.0321386204804046,0.0
2024-04-25,87.09740502076416,0.0,0.0,2.1040206042630016,3.848532035616109,0.0,5.918135944456331,0.0,1.0319063949003922,0.0
2024-04-26,87.09672589016945,0.0,0.0,2.103839607324629,3.849459179149556,0.0,5.918078878645614,0.0,1.0318964447107444,0.0
2024-04-29,87.09672589016945,0.0,0.0,2.103839607324629,3.8496198880035264,0.0,5.917918169791644,0.0,1.0318964447107444,0.0
2024-05-02,87.13173299255365,0.0,0.0,2.1046852111952776,3.8511671796632556,0.0,5.920296780068366,0.0,0.9921178365194565,0.0
2024-05-03,87.13103257472577,0.0,0.0,2.1046682924563362,3.8525831710435554,0.0,5.919606100501062,0.0,0.9921098612732838,0.0
2024-05-07,87.13803725977989,0.0,0.0,2.1048374920870123,3.8528928899916797,0.0,5.912042738636041,0.0,0.9921896195053623,0.0
2024-05-08,87.13621593332296,0.0,0.0,2.104793497565992,3.854902520635721,0.0,5.9119191673439495,0.0,0.9921688811313852,0.0
2024-05-16,87.13593573601038,0.0,0.0,2.104786729341377,3.855211687124554,0.0,5.9119001568344265,0.0,0.9921656906892583,0.0
2024-05-17,87.1345347764774,0.0,0.0,2.104752888871214,3.8647964206467225,0.0,5.903766175218282,0.0,0.9921497387863958,0.0
2024-05-20,87.13845757669803,0.0,0.0,2.1048476449299693,3.8604684099586404,0.0,5.904031963006261,0.0,0.99219440540709,0.0
2024-05-21,87.15947859379966,0.0,0.0,2.1051945873452933,3.8454780579078163,0.0,5.897415001572403,0.0,0.9924337593748355,0.0
2024-05-22,87.17209607296988,0.0,0.0,2.1054993419088093,3.8315584280832504,0.0,5.898268729843166,0.0,0.992577427194891,0.0
2024-05-23,87.1293516178819,0.0,0.0,2.1044669195384365,3.878714201740589,0.0,5.895376539633484,0.0,0.9920907212055963,0.0
2024-05-24,87.12924815695186,0.0,0.0,2.1044838363322342,3.8787453808519086,0.0,5.895423929719951,0.0,0.9920986961440491,0.0
2024-05-29,87.07059498778126,0.0,0.0,2.1029064898141963,3.943612399646976,0.0,5.891455281942118,0.0,0.9914308408154453,0.0
