date,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIC SECURITIES BROKERAGE (HK) LTD,XIN YONGAN INTERNATIONAL SECURITIES,BOCI SECURITIES LTD,CCB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES (INTERNATIONAL)
2024-03-06,83.55030653598014,0.0,0.0,0.0,0.0,0.0,16.449693464019862,0.0,0.0
2024-03-07,79.29823680677583,0.0,0.0,5.089232948981696,0.0,0.0,15.612530244242473,0.0,0.0
2024-03-08,57.39556786520418,0.0,27.617781143803487,3.6942209615190236,0.0,0.0,11.292430029473307,0.0,0.0
2024-03-11,57.38895811506468,0.0,27.625528186596178,3.6934048459934754,0.0,0.0,11.292108852345669,0.0,0.0
2024-03-12,57.39834506317194,0.0,27.630046815406335,3.694008965684217,0.0,0.0,11.277599155737507,0.0,0.0
2024-03-13,57.40569351266903,0.0,27.63358416484387,3.694481892879178,0.0,0.0,11.26624042960792,0.0,0.0
2024-03-15,57.40569351266903,0.0,27.63358416484387,3.6951931454315514,0.0,0.0,11.265529177055548,0.0,0.0
2024-03-19,54.67239153626456,0.0,26.317844808847106,3.5267022958749763,0.0,0.0,10.729134765966473,0.0,4.753926593046878
2024-04-10,36.870854402217724,32.72071903302457,17.74671234813889,2.390457999099665,0.0,0.0,7.232103761087089,0.0,3.039152456432054
2024-04-11,36.88281132033839,32.73133009600834,17.752467462575428,2.39168995428622,0.0,0.0,7.230338331555536,0.0,3.011362835236087
2024-04-12,36.88264285919724,32.731180596633926,17.752386378709534,2.39213577733243,0.0,0.0,7.23030530720076,0.0,3.0113490809261125
2024-04-15,36.885338422134964,32.73357275051674,17.75368380945389,2.393224167050549,0.0,0.0,7.250018509883762,0.0,2.9841623409600846
2024-04-16,36.87287474534136,32.72251196895651,17.74220526885368,2.3915022366525798,0.0,0.0,7.28775179747535,0.0,2.9831539827205122
2024-04-18,36.86546790278571,32.71593883095593,17.738641301522026,2.3928479807023306,0.0,0.0,7.308201517301882,0.0,2.978902466732127
2024-04-19,36.86664606504893,32.716984380808654,17.739208200546273,2.4006857839556006,0.0,0.0,7.328979777206776,0.0,2.94749579243376
2024-04-22,36.869170952063605,32.71922506982812,17.73814020526448,2.420483147764611,0.0,0.0,7.420797754341406,0.0,2.83218287073778
2024-04-23,34.790654862522125,30.87466404529658,16.733405332774584,2.266793711122778,0.0,1.1051052982457532,7.062764582511748,4.528562101310375,2.638050066216057
2024-04-24,34.79185404107141,30.875728245869578,16.733982106647076,2.28238262831095,0.0,1.105143389468054,7.063008024775755,4.528718193644724,2.6191833702124496
2024-04-25,34.79185404107141,30.875728245869578,15.057955679734514,2.28238262831095,0.0,2.7811698163806198,7.063008024775755,4.528718193644724,2.6191833702124496
2024-04-26,34.79845100105524,30.88158266062624,15.06081085183716,2.3448702976923173,0.0,2.7816971601078393,7.073396930443078,4.529576893864213,2.5296142043739147
2024-04-29,34.80040058166111,30.88331279897728,15.061654632634891,2.3730141313521345,0.0,2.781853004482481,7.074224177936472,4.5298306630697684,2.4957100098858565
