date,CCB INTERNATIONAL SECURITIES LTD,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,IMPERIUM INTERNATIONAL SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FOSUN INTERNATIONAL SECURITIES LTD,HUNG SING SECURITIES LTD
2024-03-01,0.0,0.0,26.066246619213533,5.126318769727791,0.0,0.0,0.0,68.80743461105867,0.0,0.0
2024-03-06,0.0,0.0,18.719902709069775,3.6867708838148836,0.0,0.0,0.0,49.43217091537975,28.161155491735595,0.0
2024-03-08,0.0,0.0,18.727360151316752,3.6484026104901632,0.0,0.0,0.0,49.45186319506053,28.172374043132553,0.0
2024-03-11,0.0,0.0,18.72922544035194,3.648765999955113,0.0,0.0,0.0,49.44682848196859,28.17518007772436,0.0
2024-03-15,0.0,0.0,18.72814612469344,3.648814457353228,0.0,0.0,0.0,49.447485160049155,28.175554257904185,0.0
2024-03-18,0.0,0.0,18.745572651190514,3.652209676581048,0.0,0.0,0.0,49.40044608135515,28.201771590873292,0.0
2024-03-20,0.0,0.0,18.70826972649868,3.843937848002406,0.0,0.0,0.0,49.302141209361885,28.14565121613703,0.0
2024-03-21,0.0,0.0,18.81685959663175,3.8662495164686215,0.0,0.0,0.0,49.00787167067213,28.309019216227494,0.0
2024-03-22,0.0,0.0,13.667717833250933,2.8082692115901704,0.0,0.0,27.42024103527293,35.541377605548035,20.562394314337933,0.0
2024-03-28,0.0,0.0,13.675670543767431,2.8099032336240346,0.0,0.0,27.436195801233605,35.503871653899836,20.5743587674751,0.0
2024-04-10,0.0,36.817085007586485,8.64068729431111,1.775378771469752,0.0,0.0,17.334988270245553,22.432381046099124,12.99947961028797,0.0
2024-04-12,0.0,36.817085007586485,8.64068729431111,1.7815060493695614,0.0,0.0,17.334988270245553,22.426253768199317,12.99947961028797,0.0
2024-04-18,0.0,36.819905079969864,8.639817206849031,1.7816425071040507,0.0,0.0,17.336316075574977,22.421843801149453,13.000475329352627,0.0
2024-04-24,0.0,37.11304866225238,8.708603559252197,1.795827146248148,0.0,0.0,17.474340054369556,21.80420129051258,13.103979287365142,0.0
2024-04-30,0.0,37.113621746082366,8.70719387653944,1.7958548766431455,0.0,0.0,17.474609885657628,21.804537981666652,13.10418163341077,0.0
