date,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-01,40.90397630355454,22.05655411560607,14.332887317942294,8.278859071445497,4.983632238384849,2.287493005047619,1.6644616941727375,2.88622696034644,1.7600692941277283,0.8458399993722212
2024-03-04,41.262612564657495,21.923631530746185,14.278817534186722,8.303170581620106,5.041176703102022,2.277641119582054,1.6679860194277771,2.643603217482308,1.7551546578728292,0.8462060713225058
2024-03-05,41.314807487403236,21.981596991674568,14.264575899202445,8.309342841463808,4.944500350041964,2.262625432510957,1.674602480729568,2.6446626700098124,1.755254737540473,0.8480311094231665
2024-03-06,41.43591200186876,21.8952500251775,14.237580136110322,8.343845795271838,4.965593092615346,2.1911241666168584,1.6544844210132952,2.6602907405573046,1.756053555403284,0.8598660653654965
2024-03-07,41.40041534415605,22.011402058404368,14.20357642059907,8.346415143496586,4.95020389636796,2.1768994501887518,1.6487953333794658,2.650789912655101,1.755922064035784,0.8555803767168638
2024-03-08,41.56074723776388,21.81284490973715,14.163582738885822,8.33566942669166,5.043300141016916,2.165244965498205,1.648694688794145,2.6757165877552844,1.7530410206727556,0.8411582831841782
2024-03-11,41.56892537882793,21.880171615887704,14.18326750623528,8.33788934161002,5.042647203637276,2.1711527473283923,1.6510294677795407,2.5885454689526077,1.722829718695166,0.85354155104609
2024-03-12,42.031099971148976,21.862952217148752,14.234433195845375,8.323528643256443,5.058854848788597,2.1645971295485587,1.6284986088027913,2.1156634995750845,1.7282114338867764,0.8521604519986462
2024-03-13,42.36160022952696,21.501621300429562,14.163155204282459,8.210112506195843,4.974155778226376,2.1034287755802787,1.7055141490469414,2.4230424184164927,1.7146133601214424,0.842756278173642
2024-03-14,42.726042329462494,21.473874427103695,14.105399606488191,8.173984451324642,4.914389339035667,2.0256910901152834,1.7394790207375248,2.2981923733648433,1.7093083641682518,0.8336389981994075
