date,BOCI SECURITIES LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL,FOSUN INTERNATIONAL SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),BANK OF CHINA (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,BNP PARIBAS,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,7.736162570281124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.736162570281124
2024-03-04,0.0,0.0,7.736162570281124,0.0,0.0,0.0,0.0,0.0,0.0,0.7803567871485945,8.516519357429718
2024-03-06,0.0,0.0,7.736162570281124,0.0,2.8449301204819277,0.0,0.0,0.0,0.0,0.7803567871485945,11.361449477911647
2024-03-11,0.0,0.2906024096385542,7.736162570281124,0.0,2.839307630522088,0.0,0.0,0.0,0.0,0.7803567871485945,11.646429397590362
2024-03-12,0.0,0.2906024096385542,7.736162570281124,0.0,2.8407534136546184,0.0,0.0,0.0,0.0,0.7803567871485945,11.647875180722892
2024-03-13,0.0,0.2906024096385542,7.715279036144579,0.0,2.8418779116465864,0.0,0.0,0.0,0.0,0.7803567871485945,11.628116144578312
2024-03-14,0.0,0.2906024096385542,7.716242891566265,0.0,2.841395983935743,0.0,0.0,0.0,0.0,0.7803567871485945,11.628598072289156
2024-03-15,0.0,0.2906024096385542,7.716242891566265,0.0,2.840110843373494,0.0,0.0,0.0,0.0,0.7801961445783132,11.627152289156626
2024-03-19,0.0,0.2906024096385542,7.716082248995984,0.0,2.840110843373494,0.0,0.0,0.0,0.0,0.7801961445783132,11.626991646586346
2024-03-20,0.0,0.2906024096385542,7.716082248995984,0.0,2.8404321285140566,0.0,0.0,0.0,0.0,0.7801961445783132,11.627312931726907
2024-03-21,0.0,0.2906024096385542,7.716082248995984,0.0,2.8417172690763053,0.0,0.0,0.0,0.0,0.7801961445783132,11.628598072289156
2024-03-22,0.0,0.2906024096385542,7.716242891566265,0.0,2.841556626506024,0.0,0.0,0.0,0.0,0.7801961445783132,11.628598072289156
2024-03-26,0.0,0.2906024096385542,7.708532048192771,0.0,2.841556626506024,0.0,0.0,0.0,0.0,0.779874859437751,11.6205659437751
2024-03-27,0.0,0.2906024096385542,7.7062830522088355,0.0,2.8431630522088356,0.0,0.0,0.0,0.0,0.779874859437751,11.619923373493975
2024-04-02,0.0,0.2906024096385542,7.702980401606426,0.0,2.8431630522088356,0.0,0.0,0.0,0.0,0.779874859437751,11.616620722891566
2024-04-03,0.0,0.2906024096385542,7.70217718875502,0.0,2.8431630522088356,0.0,0.0,0.0,0.0,0.779874859437751,11.615817510040161
2024-04-05,0.0,0.2906024096385542,7.696875983935743,0.0,2.8483036144578313,0.0,0.0,0.0,0.0,0.779874859437751,11.61565686746988
2024-04-09,0.0,0.2906024096385542,7.697036626506024,0.0,2.8484642570281125,0.0,0.0,0.0,0.0,0.779874859437751,11.615978152610442
2024-04-12,0.0,0.2906024096385542,7.697357911646587,0.0,2.8484642570281125,0.0,0.0,0.0,0.0,0.779874859437751,11.616299437751005
2024-04-15,0.0,0.2906024096385542,7.697518554216868,0.0,2.8483036144578313,0.0,0.0,0.0,0.0,0.779874859437751,11.616299437751005
