date,FIRST SHANGHAI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,FULBRIGHT SECURITIES LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0
2024-04-02,0.0,56.58536585365853,0.0,0.0,0.0,43.41463414634146
2024-04-26,0.0,56.447688564476884,0.0,0.0,0.0,43.552311435523116
2024-04-30,0.0,32.31622746185853,0.0,42.857142857142854,0.0,24.826629680998614
2024-05-03,95.4079358002675,1.4839819119801285,0.0,1.968027514171072,0.0,1.1400547735813005
2024-05-20,95.98351066792937,1.2979778285332293,0.0,1.7213525708874158,0.0,0.9971589326499917
2024-05-22,95.9621275410749,1.3199665831244778,0.0,1.7209690893901421,0.0,0.9969367864104706
2024-05-23,93.62603923273379,1.2878335054067271,0.0,4.113459761995327,0.0,0.9726674998641527
2024-05-29,92.73819104810252,1.4672197115086982,0.0,4.686435956169133,0.0,1.1081532842196495
2024-06-07,93.62603923273379,1.2878335054067271,0.0,4.113459761995327,0.0,0.9726674998641527
2024-06-21,92.41083400375436,1.2711182622687047,0.0,5.358004827031375,0.0,0.9600429069455619
2024-06-25,88.09694242765109,1.2629103180284282,4.617036506800287,5.107884241742509,0.0,0.9152265057776868
2024-07-15,88.8464910019079,1.2736554426855051,3.8054968287526427,5.151343268189553,0.0,0.9230134584643943
2024-08-06,88.09694242765109,1.2629103180284282,4.617036506800287,5.107884241742509,0.0,0.9152265057776868
2024-09-11,88.01593788312219,1.3536984062116877,4.612791172864732,5.103187576624438,0.0,0.9143849611769514
2024-09-23,88.00245160631289,1.368813524694826,4.612084376117268,5.10240563869452,0.0,0.9142448541804996
2024-09-24,88.02942829407858,1.3436877331017216,4.608389107443927,5.103969754253308,0.0,0.9145251111224646
2024-10-08,88.03392601675864,1.3386470468015532,4.60862456570611,5.104230533415083,0.0,0.9145718373186184
2025-02-10,86.07253418128352,1.3887501162157176,4.505944621678336,4.9905085111492875,2.133080838913223,0.9091817307599303
2025-02-14,86.07253418128352,1.3687681001550598,4.505944621678336,4.9905085111492875,2.133080838913223,0.929163746820588
2025-02-25,85.6511248640278,1.5373794115668997,4.58199354035625,5.019091608350761,2.1452980421944203,1.0651125335038651
2025-02-26,85.689871288704,1.5380748835255411,4.533802434444569,5.021362119745149,2.1462685213227664,1.0706207522579747
2025-03-13,75.076516156135,13.733347937171924,3.9722558407340314,4.399427477708755,1.8804365194295027,0.9380160688207857
2025-03-17,75.06659873700161,13.731533796418322,3.9717311157188795,4.398846324393748,1.8801881184904112,0.9511019079770265
2025-03-18,75.04346827862072,13.753714021383768,3.970507296299618,4.397490896899467,1.879608771433868,0.9552107353625469
2025-03-20,75.0467717570556,13.749917385216046,3.970682081467864,4.397684478255429,1.879691513439067,0.9552527845659939
2025-03-21,75.05007552634724,13.746120414771191,3.9708568820251764,4.397878076655378,1.8797742627293352,0.9552948374716888
2025-04-09,74.99725009899672,13.72764658223365,4.047247189762845,4.3947825462750885,1.8784511477550363,0.954622434976671
2025-04-11,75.00054950946662,13.723851137657272,4.0474252433546045,4.394975889251359,1.8785337878701867,0.9546644323999449
2025-04-17,74.96097573397287,13.71660979599533,4.09805428109237,4.392656895720255,1.8775425861408013,0.9541607070783735
2025-04-22,74.9214436983814,13.709376092040168,4.1486299185401245,4.3903403481160845,1.8765524298679799,0.9536575130542447
2025-04-24,74.8030973716949,13.687720685769724,4.300037272657263,4.383405342229189,1.8735882172748062,0.9521511103741082
2025-04-28,74.68512433637919,13.666133585601528,4.450967053364692,4.376492210936345,1.8706333544858313,0.9506494592324192
2025-04-29,74.59036077426462,13.76692692258468,4.4540701119311,4.370939137346923,1.8682598178323608,0.9494432360403227
