date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GET NICE SECURITIES LTD,CMB WING LUNG BANK LTD,CITIBANK N.A.,HANG SENG BANK LTD,HANTEC SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,52.75927775491589,0.0,0.0,0.0,41.03623193795875,0.0,0.0,6.20449030712536
2024-03-14,52.769689351476735,0.0,0.0,0.0,41.04926362896351,0.0,0.0,6.181047019559762
2024-03-20,38.52774447602676,27.03885058023041,0.0,0.0,29.921784839757574,0.0,0.0,4.511620103985258
2024-03-21,38.485204917787144,27.418374078525215,0.0,0.0,29.521474766819587,0.0,0.0,4.574946236868051
2024-03-22,31.920325505412933,22.74129570793057,0.0,17.164025568568892,24.37981000693537,0.0,0.0,3.7945432111522432
2024-04-02,31.949792178176356,22.76228892489285,0.0,17.09966368153635,24.402315788819926,0.0,0.0,3.7859394265745165
2024-04-03,31.99336707948392,22.656947844157475,0.0,17.122985152710875,24.43559702258332,0.0,0.0,3.7911029010644097
2024-04-08,31.99530650065142,22.652259348816003,0.0,17.124023139108914,24.437078295685595,0.0,0.0,3.791332715738064
2024-04-12,32.004036806474865,22.658440291377165,0.0,17.12869563564928,24.41646003983677,0.0,0.0,3.792367226661914
2024-04-15,32.02464558033185,22.651572785572625,0.0,17.123504130179825,24.409059698997172,0.0,0.0,3.7912178049185314
2024-04-16,32.021733957453186,22.649513345526838,0.0,17.121947292141964,24.41593229062815,0.0,0.0,3.7908731142498673
2024-04-17,32.016882429008206,22.646081777504737,0.0,17.119353191072,24.412233097131132,0.0,0.0,3.805449505283919
2024-04-24,32.04365173539108,22.637164565068275,0.0,17.112612205559387,24.402620437832525,0.0,0.0,3.8039510561487333
2024-04-25,32.03394879939639,22.627281911198544,0.0,17.107430443433657,24.39523123431208,0.0,0.0,3.83610761165933
2024-04-29,31.97215154874314,22.647855473839996,0.0,17.122985152710875,24.417412281948366,0.0,0.0,3.83959554275762
2024-05-03,31.911220335902048,22.75412982040618,0.0,17.09035287110718,24.381768631756394,0.0,0.0,3.8625283408281996
2024-05-08,31.89385405113433,22.74174688130378,0.0,17.081052194680005,24.36849992148011,0.0,0.0,3.9148469514017736
2024-05-16,31.91025504617142,22.753441525580293,0.0,17.08983590115286,24.31145788125234,0.0,0.0,3.9350096458430848
2024-05-20,31.96827598336111,22.794813053313142,0.0,17.120909557379306,24.14353268728802,0.0,0.0,3.9724687186584213
2024-05-21,31.994454298114583,22.81347936460146,0.0,17.134929598982175,23.91763819639175,0.0,0.0,4.139498541910033
2024-05-22,32.00901634055156,22.82386275328335,0.0,17.142728437169882,23.928524134909807,0.0,0.0,4.0958683340854005
