date,FUZE SECURITIES (INTERNATIONAL) LTD,KINGKEY SECURITIES GROUP LTD,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,MINERVA HOLDING FINANCIAL SECURITIES LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,57.55469229196484,0.0,0.0,42.445307708035166,0.0,0.0,0.0,0.0
2024-03-08,0.0,57.57823685825322,0.0,0.0,42.42176314174678,0.0,0.0,0.0,0.0
2024-03-19,0.0,57.254740313272876,0.0,0.0,42.745259686727124,0.0,0.0,0.0,0.0
2024-03-21,0.0,27.432972892904754,26.28252604552412,0.0,20.48091640744581,0.0,14.664494149014962,11.139090505110353,0.0
2024-03-22,0.0,25.867126030075887,24.78234554681317,0.0,25.299129382187253,0.0,13.64123096978444,10.410168071139251,0.0
2024-03-25,0.0,25.864717657464737,24.7800381732694,0.0,25.306084446720355,0.0,13.639960895675248,10.409198826870258,0.0
2024-03-26,0.0,22.84468136661013,25.795977707778047,0.0,26.324206445359827,0.0,14.199176157014781,10.835958323237218,0.0
2024-03-28,0.0,22.58203592814371,26.706586826347305,0.0,25.992814371257484,0.0,14.035928143712576,10.682634730538922,0.0
2024-04-02,0.0,20.632002801120446,24.400385154061624,0.0,23.748249299719888,0.0,12.823879551820728,9.76015406162465,8.63532913165266
2024-04-03,0.0,20.628391388062315,24.413618064064416,0.0,23.74409242079468,0.0,12.821634867845265,9.75844565027131,8.633817608962016
2024-04-05,0.0,20.64284463128394,24.430723419162724,0.0,23.690663864074267,0.0,12.830618321947801,9.76528288667017,8.639866876861097
2024-04-10,0.0,20.68088093357901,24.30025445292621,0.0,23.734316048082828,0.0,12.845485654119503,9.783276300780908,8.655786610511539
2024-04-11,0.0,20.681788268327995,24.29693326898609,0.0,23.73535734655377,0.0,12.84604922563945,9.783705523625674,8.65616636686702
2024-04-17,0.0,20.683603176692557,24.299065420560748,0.0,23.72866482383397,0.0,12.847176517046202,9.784564082313194,8.656925979553334
