date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,18.14245816625813,12.6223392890035,12.097608781897785,5.049662071213001,3.744194284256911,3.475620032021763,3.015979214191592,2.17835002904629,1.4672980574408092,1.356481998384743,63.14999192371452
2024-03-04,18.101155758958303,12.622976890488403,12.042124771526135,5.097411337971294,3.7485866500417986,3.4822794253085285,3.018104552474602,2.1789167859217593,1.468006503535146,1.3594468452895418,63.119009521515515
2024-03-05,18.10036229933264,12.62155114272355,12.028380917296003,5.1128554628278335,3.7320090114343203,3.4854621193873356,3.02193016138402,2.1913854371820847,1.468006503535146,1.3598719129461438,63.12181496804909
2024-03-06,18.099471640902845,12.617305779503237,12.005427263839493,5.166130609121952,3.726483131898494,3.4677456536832114,3.0538102356291708,2.1922355724952887,1.4672980574408092,1.3669563738895107,63.16286431840401
2024-03-07,18.091820423084005,12.625240375759809,11.892458449636568,5.225215013389631,3.8296328832339146,3.463778355554926,3.0573524661008546,2.1922355724952887,1.465881165252136,1.3618555620102866,63.205470266517416
2024-03-08,18.14201382886776,12.558935488898651,11.971648270683085,5.089901809371325,3.918046955807133,3.4651895801748447,3.0434669226518554,2.1896851665556767,1.4613471102483813,1.3564713716933279,63.19670650495204
2024-03-11,18.14371409949417,12.561202516400527,11.861662014537314,5.1940433852388175,3.943125947546651,3.4595220114201513,3.040137226008473,2.1801919888915653,1.4527040678974736,1.354870283520127,63.19117354095527
2024-03-12,18.236010456664353,12.526777349561472,11.927410700369808,5.157629255989912,3.979256698357822,3.4568246029159644,3.0407181518058293,2.1886933420236057,1.4463280530484437,1.3686141377502585,63.32826274848746
2024-03-13,18.254571744335973,12.534102682176911,11.786571616815676,5.139918103631494,3.993283931025688,3.456966292134831,3.035475650707738,2.193085707808493,1.4466114314861782,1.3711645436898707,63.21175170381286
2024-03-14,18.25702431386996,12.557003343865567,11.861552276237301,5.132550264250393,3.980815279765362,3.4678864927667656,3.0551704521302976,2.193085707808493,1.456246298369157,1.372581435878544,63.33391586494184
2024-03-15,18.228403091658755,12.552610978080677,11.846510832140783,5.177182368193605,3.9735891296031287,3.4678864927667656,3.054603695254828,2.1908186803066156,1.4556795414936878,1.373431571191748,63.32071638069059
2024-03-18,18.36116588973745,12.561826161497372,11.735861470450713,5.18384176148037,4.007736231350156,3.4707148929537954,3.0560205874435016,2.1904927951032205,1.4612054210295138,1.3775405585389007,63.40640576958499
2024-03-19,18.496379911302547,12.567924111254374,11.712331850319508,5.182566558510563,3.9415673661391106,3.477227283675985,3.0444020714963798,2.201119486518271,1.4573798121200958,1.3790991399464416,63.459997591283276
2024-03-20,18.57983486121541,12.582154667951315,11.756988324808365,5.182141490853961,3.9344829051957437,3.4821247715261343,3.0413840911345056,2.201544554174873,1.4538375816484124,1.3768321124445642,63.59132536095329
2024-03-21,18.576292630743726,12.582863114045653,11.750336015982544,5.213171429785907,3.850461198407413,3.410478484492115,3.0428009833231786,2.203244824801281,1.4535542032106779,1.3776822477577682,63.46088513255026
2024-03-22,18.59995473029457,12.579609221134364,11.703428028961277,5.208920753219887,3.850461198407413,3.4104735253694547,3.0420925372288425,2.2025363787069443,1.4535542032106779,1.3718729897842075,63.422903566317636
2024-03-25,18.64699555095853,12.578872437196253,11.886540090964479,5.188942573359593,3.805829094464202,3.408277342477011,3.0428009833231786,2.203244824801281,1.4535542032106779,1.370456097595534,63.58551319835074
2024-03-26,18.728424345041585,12.596829774572452,11.778693342023605,5.232866231208468,3.794352267735948,3.40472979865962,3.0439344970741176,2.2046617169899543,1.4582299474332998,1.3381509556937814,63.580872876432835
2024-03-27,18.74032623942644,12.628006716068974,11.928307238902192,5.1914929792992055,3.48518639216742,3.417051447355371,3.049602065828811,2.2032911571758502,1.4694233957238194,1.348210890233362,63.46089852218145
2024-03-28,18.684925754849314,12.638024143842893,11.871999943324314,5.1946101421142865,3.5014806523371633,3.4198852317327173,3.053002607081627,2.203999603270187,1.4740991399464414,1.346935687263556,63.388962905762504
2024-04-02,18.76427171741502,12.65942452923757,11.96231534352551,5.204953455091602,3.5126741006276827,3.4206974651798747,3.065046190685351,2.1956399393570143,1.4740991399464414,1.353595080550321,63.612716961616385
2024-04-03,18.747651572041885,12.684248480383129,11.956081017895348,5.1948935205520215,3.534777618770988,3.420654958414214,3.0755311928815336,2.210984881760347,1.4813252901086755,1.359120960086147,63.66526949289428
2024-04-05,18.690550816838346,12.701964946087251,11.877679201439562,5.2715473879592505,3.569208098955751,3.426175524604333,3.0661797044362893,2.2142437337942957,1.4834506283916855,1.3637967043087693,63.66479674681553
2024-04-08,18.68715027558553,12.705507176558935,11.850899939073637,5.252844411068762,3.555322555506751,3.4275924167930065,3.0675965966249628,2.2179272284171896,1.4908184677727871,1.3660637318106466,63.62172279921221
