date,TOYO SECURITIES ASIA LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,NANYANG COMMERCIAL BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,REALINK FINANCIAL TRADE LTD
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,22.94492564144468,8.080218523101347,19.94256764644083,0.0,14.045245488291739,10.818761235495996,11.112926948847852,0.0,8.054537389396026,5.0008171269815325
2024-03-06,22.898949183345373,8.064027586849647,19.944546704256854,0.0,14.01710198280482,10.797082877047462,11.0533796220788,0.0,8.05703767562152,5.167874367995527
2024-03-07,19.321066614188723,6.810981009544426,16.845419659549346,15.5702056479386,11.839023910262718,9.119354521302766,9.335826035619403,0.0,6.805077240972154,4.353045360621864
2024-03-11,19.247288630881172,6.787738531840201,16.984055384494695,15.517072309713859,11.826080134931063,9.084312302653514,9.303967522406793,0.0,6.907372178312969,4.342113004765734
2024-03-12,19.214880078316202,6.776309348996573,17.151248164464022,15.490944689182577,11.904062652961331,9.069016152716593,9.288301517376407,0.0,6.770435633871758,4.334801762114537
2024-03-13,19.210655175790812,6.778963862501223,17.157966898442854,15.497013025168934,11.90872588385075,9.072568798354716,9.291940064636178,0.0,6.733914406032709,4.34825188522182
2024-03-14,19.215924452890814,6.780823259732371,17.13524421543465,15.501263689974726,11.911992319899689,9.075057306870947,9.294488744342782,0.0,6.735761446680121,4.3494445641739
2024-03-19,19.216677442739865,6.781088971178903,17.135915672329002,15.501871118164539,11.912459099903995,9.075412919532122,9.294852955582986,0.0,6.732106820274692,4.349615000293893
2024-03-25,19.219689992357587,6.78215202523956,17.122925280711723,15.504301307048657,11.914326585800787,9.076835648919285,9.296310086026141,0.0,6.713566263643668,4.369892810252591
2024-04-02,19.182100878136552,6.768887758893821,17.281101484422365,15.473978603978017,11.891025014179265,9.059083530539203,9.278128728168822,0.0,6.7043476560208095,4.361346345661145
2024-04-03,19.111085130843126,7.153017283373278,17.20543247403597,15.416691023167903,11.847002201827712,9.025545098497691,9.243779349583992,0.0,6.679526899319967,4.3179205393503635
2024-04-05,18.752270424258647,8.456493891363785,16.844158078886487,15.127239355295108,11.624572204271265,8.944037626904766,9.07022541728008,0.0,6.554117354645049,4.626885647094813
2024-04-08,18.65099739479339,8.863407305988172,16.75318995188925,15.04554357540837,11.56179283853424,8.895734687280127,9.021240991119479,0.0,6.522524578317836,4.6855686766691385
2024-04-09,18.62445124384728,8.915030692335469,16.743001577376994,15.036393698093844,11.554761588019536,8.890324787624241,9.015754765388929,0.0,6.518557935346547,4.70172371196716
