date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,DL SECURITIES (HK) LTD,BOCOM INTERNATIONAL SECURITIES LTD,KINGSTON SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-06-05,266035198.0,338299042.0,50368530.0,0.0,59615993.0,24384000.0,0.0,0.0,0.0
2024-06-06,265751198.0,338601042.0,50380530.0,0.0,54616460.0,24064000.0,0.0,0.0,19727761.0
2024-06-07,265613198.0,338611042.0,50362530.0,0.0,0.0,24840000.0,0.0,0.0,19735761.0
2024-06-11,265543198.0,337899042.0,50622530.0,0.0,60111003.0,24026000.0,0.0,0.0,0.0
2024-06-12,265557198.0,337893042.0,50662530.0,0.0,61770661.0,24736000.0,0.0,0.0,0.0
2024-06-13,265551198.0,337861042.0,50752530.0,0.0,63127161.0,24326000.0,0.0,0.0,18335761.0
2024-06-14,265721198.0,337863042.0,50772530.0,0.0,63029161.0,24400000.0,0.0,0.0,0.0
2024-06-17,265347198.0,0.0,50824530.0,0.0,62841161.0,24234000.0,0.0,0.0,17635761.0
2024-06-18,265623332.0,337788042.0,50824530.0,0.0,62877161.0,24050000.0,0.0,0.0,13951761.0
2024-06-19,265639332.0,337772042.0,50876530.0,0.0,62849161.0,24180000.0,0.0,0.0,0.0
2024-06-21,265413332.0,337778042.0,50980530.0,0.0,61655161.0,24186000.0,0.0,0.0,0.0
2024-06-24,265353332.0,337780042.0,51002530.0,0.0,63241161.0,24210000.0,0.0,0.0,0.0
2024-06-25,264955124.0,337808042.0,51030530.0,0.0,63223369.0,24040000.0,0.0,0.0,13959761.0
2024-06-26,264979137.0,337828042.0,50238530.0,0.0,61625449.0,24472000.0,0.0,0.0,13968761.0
2024-06-27,264975156.0,337772042.0,50248530.0,0.0,61639449.0,24406000.0,0.0,0.0,0.0
2024-06-28,264895293.0,0.0,47486000.0,0.0,62086732.0,24576000.0,0.0,0.0,13940761.0
2024-07-11,264164510.0,337772042.0,50686530.0,80062400.0,61728912.0,0.0,0.0,0.0,0.0
2024-07-19,264416802.0,337784042.0,51052530.0,0.0,60573612.0,0.0,0.0,0.0,15540761.0
2024-07-23,425024047.0,337794042.0,51268530.0,80180400.0,60453612.0,0.0,0.0,0.0,15550761.0
2024-07-24,425130047.0,337800042.0,51288530.0,0.0,60901632.0,0.0,0.0,0.0,13950761.0
2024-07-26,425183942.0,337792042.0,51184530.0,0.0,60753432.0,0.0,0.0,0.0,13956761.0
2024-07-29,425329942.0,337804042.0,51262530.0,0.0,60639432.0,0.0,0.0,0.0,13962761.0
2024-07-31,425379942.0,337802042.0,51336530.0,0.0,60356932.0,0.0,0.0,0.0,13942761.0
