date,ELSTONE SECURITIES LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,SDICS INTERNATIONAL SECURITIES (HONG,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,CHIEF SECURITIES LTD
2024-03-15,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,93.25127764742503,0.0,0.0,0.0,0.0,6.748722352574972,0.0
2024-03-19,0.0,0.0,0.0,71.45554685683146,0.0,0.0,23.37311760274355,0.0,5.171335540424983,0.0
2024-03-20,0.0,0.0,0.0,71.39318231273722,0.0,0.0,23.4399955540892,0.0,5.166822133173575,0.0
2024-03-28,0.0,0.0,0.0,71.38072246487529,0.0,0.0,23.435904704388605,0.0,5.1833728307361095,0.0
2024-04-02,0.0,0.0,0.0,71.25636276965733,0.0,0.0,23.39507460537092,0.0,5.348562624971747,0.0
2024-04-03,0.0,0.0,40.317335402743716,40.515965663640664,0.0,0.0,16.125536415066975,0.0,3.0411625185486457,0.0
2024-04-05,0.0,0.0,40.31334193614783,40.511952522547354,0.0,0.0,16.12393916687656,0.0,3.0507663744282585,0.0
2024-04-08,0.0,0.0,40.40940400181491,40.36027064661116,0.0,0.0,16.16236066280498,0.0,3.0679646887689445,0.0
2024-04-09,0.0,0.0,40.405392276354085,40.356263798963724,0.0,0.0,16.160756111701595,0.0,3.077587812980598,0.0
2024-04-10,0.0,0.0,40.43349109364384,40.38432845120688,0.0,0.0,16.092517811911346,0.0,3.0896626432379337,0.0
2024-04-16,0.0,0.0,36.14395273519173,36.100005695831136,0.0,0.0,14.385282780476752,10.608874580029585,2.761884208470794,0.0
2024-04-18,0.0,0.0,36.169649554209016,36.12567127036542,0.0,0.0,14.395510107045892,10.54532127725449,2.7638477911251806,0.0
2024-04-30,0.0,0.0,36.13753423453993,36.13799039725324,0.0,0.0,14.427123616954333,10.535958002575132,2.761393748677364,0.0
2024-05-02,0.0,0.0,36.10547589517339,36.1946436808776,0.0,0.0,14.414325023060414,10.526611340597421,2.758944060291178,0.0
