date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,54.301915272810554,26.28228208401302,0.0,0.0,9.34338502814453,2.1311942990774333,2.458213423092927,1.632774001988365,2.7745346500061316,1.0757012408670403
2024-03-04,54.33922126430354,26.250348002429362,0.0,0.0,9.326323999444936,2.1039097940871923,2.4609736654568453,1.639486924865375,2.8055693295347646,1.0741670198779916
2024-03-05,54.012124916156665,26.49065154705932,0.0,0.0,9.320229830161603,2.182886098900004,2.456844253024542,1.5547077274863823,2.8542455057815994,1.1283101214298876
2024-03-06,53.99619348878979,26.548803453465876,0.0,0.0,9.307540081225236,2.091080856873112,2.4583255134154114,1.6016881374367902,2.8636313750354003,1.1327370937583903
2024-03-07,53.991285371932776,26.60625328284329,0.0,0.0,9.279731153903475,2.0952584409852935,2.4750059882985527,1.5429139090831938,2.8839907217118497,1.1255611312415752
2024-03-08,53.87390189372733,26.775142121303386,0.0,0.0,9.216316585399191,2.0922279014589105,2.4715020055991386,1.5441601668197695,2.8703504771990183,1.156398848493264
2024-03-11,53.86143336614613,26.79560429004848,0.0,0.0,9.15672692418085,2.101778970469753,2.4749496335190684,1.5611054418340031,2.9028007920066745,1.1456005817950414
2024-03-12,53.80044382699718,26.808814266803243,0.0,0.0,9.158020729649895,2.1040994437303886,2.4747069738226766,1.5465832270068787,2.9422869069148363,1.165044625074898
2024-03-13,53.72693411592705,26.801537053669218,0.0,0.0,9.164314904787672,2.1208726286630784,2.471817279513873,1.5307007250159734,3.0046865808414056,1.1791367115817308
2024-03-14,53.62491193048019,26.594278006058747,0.0,0.0,9.378395984607046,2.115729373847679,2.4716602099381886,1.5687381655471007,3.0400400438696904,1.2062462856513576
2024-03-15,53.57066883886531,26.822896979611382,0.0,0.0,9.124277795670029,2.1093073849287722,2.4727411949638083,1.6007213551309234,3.1019073677243516,1.1974790831054227
2024-03-18,53.5246433444382,26.92166334859901,0.0,0.0,9.049865944380837,2.1365958195612946,2.4770634918155223,1.5482471346981679,3.1310098923712615,1.210911024135695
2024-03-19,53.45282613062976,26.959900557210425,0.0,0.0,9.005412535501168,2.136584842998789,2.479928530702184,1.5317706103378963,3.2241776408483482,1.2093991517714258
2024-03-20,53.45347112216643,27.008164633343927,0.0,0.0,9.129877568196646,2.108850817945181,2.480259563322543,1.5154668718171416,3.2724991057302253,1.0314103174779032
2024-03-21,53.370580161541724,27.10694817236327,0.0,0.0,8.983684943859624,2.1057507295850058,2.481303852526262,1.5096757810991486,3.364146160298609,1.0779101987263493
2024-03-22,53.345761080210295,27.111008775729,0.0,0.0,8.946536001158908,2.0874359796218434,2.483535486370304,1.5177427328483268,3.415342841972523,1.0926371020888013
2024-03-25,53.23329431363122,27.17059325411162,0.0,0.0,8.886275932790417,2.116969705828391,2.4874153038700046,1.544265311072532,3.485794413003972,1.075391765691847
2024-03-26,53.19614719141319,27.213845912429036,0.0,0.0,8.865324755610242,2.093055246953775,2.492145546112286,1.5288456427992692,3.525167017439653,1.085468687242549
2024-03-27,53.126838759537435,27.20469087595453,0.0,0.0,8.842164715895443,2.092583245952924,2.5259822484792327,1.549085767002501,3.59509106045671,1.063563326721229
2024-03-28,53.01886303969401,27.2853178556552,0.0,0.0,8.745750806610648,2.08631149882347,2.5326378011026254,1.6374345244835937,3.6340636787454974,1.0596207948849619
