date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,SDICS INTERNATIONAL SECURITIES (HONG,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-05,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,50.360654813896474,27.260432222253527,0.0,0.0,22.378912963849988
2024-03-07,0.0,50.468095938454574,27.067541577101483,0.0,0.0,22.464362484443942
2024-03-08,0.0,50.518105376404975,27.150986665156708,0.0,0.0,22.330907958438324
2024-03-11,0.0,39.58317157846867,21.27399980034828,0.0,21.645573832314742,17.497254788868307
2024-03-12,75.67775999698519,9.606204046035055,5.216696119375666,0.0,5.253035333829521,4.246304503774568
2024-03-14,75.68285306259244,9.60685053752007,5.210317262692325,0.0,5.253388859800605,4.246590277394545
2024-03-15,75.68794681376608,9.606151038028049,5.205283625364955,0.0,5.253742433359044,4.246876089481881
2024-03-19,75.70934805820471,9.60886723783441,5.1798262799098955,0.0,5.255227962175284,4.246730461875697
2024-03-21,75.70832867689333,9.608737860155998,5.181102977114551,0.0,5.255157203658548,4.2466732821775715
2024-03-22,75.7073093230323,9.608608485961527,5.182379639939734,0.0,5.255086447047228,4.246616104019205
2024-03-26,75.70832867689333,9.608737860155998,5.181102977114551,0.0,5.255157203658548,4.2466732821775715
2024-03-27,75.71444537655577,9.60951417849049,5.1734422781459095,0.0,5.255581783342916,4.247016383464914
2024-03-28,75.71636873787428,9.608220384280346,5.17409211041833,0.0,5.254874188645002,4.246444578782048
2024-04-02,75.6705225723201,9.594329302505823,5.230163525025263,0.0,5.250346816220369,4.254637783928448
2024-04-03,75.67866894358701,9.587288002163882,5.229380884903829,0.0,5.250912046550371,4.253750122794906
2024-04-05,75.69089178978423,9.588836443069816,5.214074501775935,0.0,5.251760120270959,4.254437145099053
2024-04-08,75.72044664123689,9.59258057436458,5.1945673819407325,0.0,5.236307036901895,4.256098365555898
2024-04-16,75.77758344461078,9.58634433711205,5.20926672766153,0.0,5.186359967607147,4.240445523008493
2024-04-22,75.79085967959958,9.588023864939643,5.192659388228445,0.0,5.18726861803563,4.241188449196708
2024-04-23,75.78881687912467,9.587765437738955,5.195214742280962,0.0,5.18712880493889,4.241074135916521
2024-04-26,75.78983826559697,9.58789464959792,5.193937082473629,0.0,5.187198710545148,4.2411312917863295
2024-04-30,27.102409638554214,3.4136867469879517,1.859277108433735,0.0,1.853975903614458,1.5166265060240964
2024-05-03,75.82049266636017,9.549977821789653,5.200082511031806,0.0,5.186600316292289,4.24284668452608
2024-05-06,75.82049266636017,9.535147407576185,5.214912925245275,0.0,5.186600316292289,4.24284668452608
2024-05-07,75.82253717478385,9.53540452393761,5.213705290151395,0.0,5.186740173574456,4.2416128375527
2024-05-09,75.8173645547735,9.537976450406543,5.213762931575093,0.0,5.188139161347487,4.242756901897373
2024-05-10,75.81634208081088,9.537847821132313,5.215041219998678,0.0,5.188069194035407,4.242699684022716
2024-05-16,75.8132748243855,9.537461954125137,5.218875878409632,0.0,5.187859303421668,4.242528039658063
2024-05-17,75.80714105601545,9.536690313767952,5.222498951589741,0.0,5.187439573138583,4.246230105488276
2024-05-21,75.81020781613039,9.53707611833828,5.224058718743637,0.0,5.18764942979008,4.241007916997609
2024-05-28,76.08882504307594,9.42460145598659,5.169112189323564,0.0,5.126469345792151,4.190991965821761
2024-05-31,27.517349397590362,3.4079036144578314,1.8708433734939758,0.0,1.853975903614458,1.514698795180723
2024-06-04,76.0969375175754,9.424273561683453,5.1629996574881485,0.0,5.127015922136527,4.188773341116482
2024-06-06,76.11824099588205,9.426911904485761,5.1364498639567335,0.0,5.128451239720102,4.189945995955362
2024-06-07,76.13448022518264,9.428923062153235,5.116211470074097,0.0,5.129545354541321,4.190839888048706
2024-06-13,76.13448022518264,9.420922731472901,5.124211800754431,0.0,5.129545354541321,4.190839888048706
2024-06-21,76.13752585210264,9.41729927367426,5.124416785898586,0.0,5.129750553044981,4.191007535279536
2024-06-24,76.13752585210264,9.403964855808272,5.137751203764573,0.0,5.129750553044981,4.191007535279536
2024-06-25,76.13955640542513,9.40421565529077,5.135221270563887,0.0,5.12988736116834,4.191119307551882
2024-06-26,76.08476945442723,9.39744876135805,5.20348213559968,0.0,5.1261961013193265,4.1881035472957215
2024-06-27,76.07868688201098,9.396697485340145,5.211060612722663,0.0,5.1257862892211925,4.187768730705018
2024-07-03,76.04930148679624,9.39306801063919,5.247672843559414,0.0,5.123806454104838,4.186151204900314
2024-07-04,76.06449799442889,9.394944975015287,5.228739014652459,0.0,5.12483031576255,4.18698770014081
2024-07-08,75.99161009290917,9.385942380609519,5.319552449562737,0.0,5.119919507997961,4.182975568920611
2024-07-09,75.98964010546223,9.386192219697907,5.323686812828488,0.0,5.117393948831384,4.183086913179985
2024-07-10,71.00997576018378,8.771107233514375,4.962384133305308,6.564276555284566,4.782046865302985,3.9102094524089948
2024-07-11,71.01174211377948,8.771325412391842,4.961263835010926,6.563196103623128,4.782165817402109,3.9103067177925173
2024-07-12,71.01262532353091,8.771434505900979,4.960081789111949,6.563277733486397,4.782225295670874,3.9103553522988888
2024-07-22,71.01527508460936,8.77176180271123,4.9602668693228384,6.563522635259936,4.782403739354643,3.9067698687419856
2024-07-26,71.0161583822463,8.77187090707593,4.961572379378068,6.563604273245943,4.7824632235419084,3.9043308345118466
2024-07-29,71.02322378748515,8.772743621456337,4.952114508113221,6.564257286941337,4.782939031322615,3.9047217646813404
2024-07-31,27.51590361445783,3.3987469879518075,1.9185542168674699,2.543132530120482,1.853012048192771,1.5127710843373494
2024-08-01,71.02178367101693,8.773180371184498,4.952361048392815,6.564584087507884,4.783177149226419,3.9049136726714515
2024-08-05,71.02266719247022,8.773289510840966,4.951178641759833,6.564665751901165,4.783236652654914,3.9049622503728934
2024-08-09,71.02355073590607,8.773398653212896,4.949996205707859,6.564747418326307,4.783296157563891,3.905010829282978
2024-08-14,71.02355073590607,8.773398653212896,4.951240235917889,6.564747418326307,4.783296157563891,3.9037667990729488
2024-08-28,71.01471629066384,8.77230735167718,4.963063117972881,6.563930845499471,4.782701175089155,3.903281219097469
2024-08-29,71.01471629066384,8.77230735167718,4.964306993441045,6.563930845499471,4.782701175089155,3.9020373436293054
