date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIBANK N.A.,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,TOTAL_CCASS_PCT
2024-03-01,27.26259968358411,26.872340373493742,10.674633258981189,5.020982585013478,4.3151465822704616,2.795076919063312,2.5804875935341585,1.4254651201793396,0.0,0.0,80.94673211611979
2024-03-04,27.355656330041526,26.91485060623086,10.646500336354938,5.020982585013478,4.226993636742258,2.801482570571645,2.5886402409084006,1.418943002279946,0.0,0.0,80.97404930814305
2024-03-05,27.325608001147895,26.8334405988795,10.69546181719249,5.035890283069234,4.348740555740349,2.8156914702810383,2.5820016566179467,1.4289591119111575,1.1049870559252974,0.0,82.1707805507649
2024-03-06,27.20018825627451,26.863372461382074,10.687076237036127,5.035890283069234,4.3429768669795425,2.804044831174978,2.5561461178024936,1.4314049061234302,1.1059187870537823,0.0,82.02701874689618
2024-03-07,27.51395022785485,26.765773625673294,10.721915177993257,5.035890283069234,4.312041646517981,2.8046271631302813,2.5032703762609816,1.4248827882240367,1.101376597802419,0.0,82.18372788652633
2024-03-08,27.64905124148514,26.785339979371475,10.678414980932123,5.034026820812264,4.327720352082559,2.8068400245604326,2.467748126987499,1.4484089992182776,1.1006777994560555,0.0,82.29822832490582
2024-03-11,27.907672025518256,26.93697922053237,10.677992091466182,5.034026820812264,4.121576353968383,2.804976562303463,2.4074185364181084,1.4452644066596414,1.1700917685281724,0.0,82.50599778620685
2024-03-12,27.976562827561725,27.0202526901407,10.64620783101379,5.034026820812264,4.108532118169596,2.804976562303463,2.36094844638493,1.439557553497672,1.1580957302489305,0.0,82.54916058013308
2024-03-13,27.8273693806131,27.604331641309603,10.625173185523506,5.033444488856961,3.9371872877400023,2.804976562303463,2.3603661144296266,1.4583086424584284,1.1587945285952943,0.0,82.80995183182999
2024-03-14,27.755686471543534,27.54703017690779,10.650444761854182,5.033444488856961,3.957335973393486,2.804976562303463,2.3601331816475057,1.4526017892964591,1.1613567891986274,0.0,82.72301019500202
2024-03-15,27.917807687899888,27.56240374052779,10.680609557138878,5.0328621569016585,3.8439024253893006,2.7943781207169485,2.3536110637481125,1.454931117117671,1.1596097933327185,0.0,82.80011566277297
2024-03-18,28.138045633395482,27.655343920594145,10.944872497253723,5.03111516103575,3.513583649888984,2.7943781207169485,2.3356752395247797,1.4548146507266106,1.1587945285952943,0.0,83.02662340173171
2024-03-19,28.16110597882548,27.992164723541396,9.780414557460325,5.114272164253017,4.331740888368362,2.7935628559795243,2.2286426261400893,1.4544652515534287,1.1571639991204459,0.0,83.01353304524207
2024-03-20,28.25261001182367,28.44521898476713,9.785812774685983,5.111244038085442,4.174449824415269,2.7801692210075553,2.136750643593277,1.4505053942573685,1.1533204917490552,0.0,83.29008138438473
