date,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,EMPEROR SECURITIES LTD,REALINK FINANCIAL TRADE LTD,QUAM SECURITIES LTD
2024-03-01,0.0,0.0,0.0,61.146496815286625,0.0,38.853503184713375,0.0
2024-03-07,0.0,0.0,0.0,61.15688293855133,0.0,38.84311706144868,0.0
2024-03-12,0.0,0.0,0.0,61.1937745852574,0.0,38.8062254147426,0.0
2024-04-05,0.0,37.44952441400206,15.364127699320132,28.605153364240536,0.0,18.58119452243727,0.0
2024-04-16,0.0,38.072735290086335,15.619807621391022,27.417046289023904,0.0,18.890410799498742,0.0
2024-04-29,0.0,38.072735290086335,15.56213955527829,27.47471435513663,0.0,18.890410799498742,0.0
2024-05-03,0.0,38.0413956655112,15.425856851711439,27.657886350987425,0.0,18.87486113178993,0.0
2024-05-17,0.0,37.86365859115958,15.56909522241925,27.67839150652311,0.0,18.888854679898063,0.0
2024-05-21,0.0,36.55405010560411,16.770508393138563,27.69524960302479,0.0,18.980191898232533,0.0
2024-05-22,0.0,36.790657016806556,16.356257715619574,27.716844632252347,0.0,19.13624063532153,0.0
2024-05-23,0.0,36.90396802662686,16.20685676149835,27.802209339190803,0.0,19.086965872683987,0.0
2024-05-24,0.0,36.87722601740702,16.323564327645634,27.663532818257764,0.0,19.135676836689584,0.0
2024-05-27,0.0,36.7825531678663,16.348046748997803,27.705023160253667,0.0,19.164376922882234,0.0
2024-06-11,0.0,36.75193021815568,16.41769035274411,27.681957618090347,0.0,19.148421811009865,0.0
2024-06-13,0.0,36.74887072738278,16.41632362800752,27.596406098805748,0.0,19.238399545803947,0.0
2024-06-19,0.0,36.76417327724169,16.423159528154798,27.566256611659423,0.0,19.246410582944087,0.0
2024-06-24,0.0,36.74887072738278,16.45794716661809,27.55478256019518,0.0,19.238399545803947,0.0
2024-06-25,0.0,36.70609127996901,16.55519866810059,27.5227059725831,0.0,19.216004079347297,0.0
2024-06-27,0.0,36.57531779401001,16.844203647913474,27.424650307227544,0.0,19.15582825084897,0.0
2024-07-10,0.0,36.44367050464286,16.879166278780023,27.481574216803672,0.0,19.195588999773445,0.0
2024-07-16,0.0,36.57424472305236,16.58135220718941,27.580038093365307,0.0,19.264364976392926,0.0
2024-08-19,0.0,36.51339633261299,16.55376589335694,27.534153320106263,0.0,19.39868445392381,0.0
