date,KINGSTON SECURITIES LTD,FIRST SHANGHAI SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,BOCI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-05,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,58.44353400604733,0.0,41.55646599395268,0.0,0.0,0.0,0.0
2024-03-07,0.0,53.28955631334614,0.0,27.29923404038513,0.0,19.411209646268723,0.0,0.0,0.0,0.0
2024-03-08,0.0,53.32904882794668,0.0,27.319465310328226,0.0,19.3514858617251,0.0,0.0,0.0,0.0
2024-03-12,0.0,42.170599766608355,0.0,21.591481867023017,21.029257992591546,15.208660373777082,0.0,0.0,0.0,0.0
2024-03-13,0.0,38.906716928925654,0.0,19.920363422041476,19.401654054514065,14.031553909727656,7.739711684791145,0.0,0.0,0.0
2024-03-18,0.0,38.94040327127527,0.0,19.937610936993444,19.418452458805614,13.957120425361675,7.746412907564,0.0,0.0,0.0
2024-03-22,0.0,36.34161212361029,0.0,18.637323074022834,18.117460251791012,13.025654956048466,7.229435485679284,0.0,6.648514108848118,0.0
2024-03-25,0.0,36.29761721779793,0.0,18.594584306734273,18.07535082686133,13.009886187701413,7.220683580777895,0.0,6.801877880127149,0.0
2024-03-26,0.0,35.878279241669,0.06009762017029983,18.787392488863212,18.042843072573366,12.967108251960155,7.072738673792162,0.0,7.191540650971813,0.0
2024-03-27,0.0,32.90656238252428,0.009135636419357102,17.01683576288123,16.42910372947831,12.33863165834759,6.4509012666185335,0.0,6.6780214100765285,8.17080815365417
2024-03-28,0.0,32.91783958555544,0.009138767236411839,17.013528729437468,16.44387281252297,12.342860153950394,6.45311201481131,0.0,6.646039616062477,8.17360832042353
2024-04-02,0.0,32.93891105843832,0.009144617173358778,16.942117929367143,16.454398917043225,12.350761105115646,6.4572428015379675,0.0,6.668583134569745,8.178840436754598
2024-04-03,0.0,32.93213514364505,0.009142736019890352,16.96606094791028,16.451014056965775,12.357363146795889,6.455914472045074,0.0,6.6512115418923505,8.177157954725702
2024-04-05,0.0,32.90205366452834,0.009134384693095042,16.941429110474708,16.52733091479794,12.346075455918378,6.450017391411736,0.0,6.654270454095565,8.169688624080235
2024-04-11,0.0,32.94117031637671,0.009145244396551002,17.034732421900596,16.537834712858395,12.36075347997812,6.4576856995145775,0.0,6.479276707010394,8.179401417964655
