date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHIEF SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,30.373829085605326,23.9834491830425,20.21669313436392,11.672940290258207,6.550587972544082,2.659677544759221,3.0048927742314087,0.8840352874339168,0.0,0.6538947277614209
2024-03-04,30.068269274109234,23.502886698634967,19.611696869607876,11.031748279344997,6.400621835759863,2.6349877101150354,2.9296390045647396,0.874136225949874,2.310475589771247,0.6355385121421695
2024-03-05,30.108225301776354,23.639196216247708,19.63464435004244,10.85405843229587,6.375242942060212,2.632533256031329,2.9303679022394604,0.8774599656956653,2.3111076784900453,0.6371639551209181
2024-03-06,30.075454760810423,23.666810800416744,19.632138004765313,10.871617723730768,6.359079353401159,2.638625458369038,2.930302548490803,0.8751164033656526,2.311564175697708,0.6392907709523925
2024-03-07,29.98540831657253,23.777339316360013,19.677833712650322,10.802648376117657,6.36951244074356,2.6335616801301054,2.9298769537779696,0.8655919259490787,2.313641285877474,0.6445859918212878
2024-03-08,29.96488757620639,23.783077604246188,19.655361607973838,10.83892337944354,6.3638708355535325,2.6346237899541594,2.932351522633932,0.8646345498939695,2.315595383186072,0.6466737509083825
2024-03-11,29.916249612196655,23.765637783776185,19.683417929327586,10.852315625683874,6.3886929095657825,2.624070075868454,2.9340495396215784,0.8673169239789965,2.3166493677997715,0.6516002321811203
2024-03-12,29.94053509852648,23.700667199339502,19.673393794924426,10.907286202279732,6.368460660162728,2.6540137683150693,2.932121410054063,0.8669324638065419,2.3153563234781482,0.6412330791133019
2024-03-13,29.9167659951821,23.699714517120842,19.706744610178525,10.891506307636762,6.3819516408901915,2.652271581096095,2.930196663277666,0.8603761286319555,2.313636867804087,0.6468356881817766
2024-03-14,30.015779665635982,23.70688689170207,19.57632789217115,10.891608163516182,6.39014630104771,2.6483004748462458,2.9355649118298297,0.8654183353763802,2.3153021809331884,0.6546651829412622
2024-03-15,29.999879148265133,23.69698134287168,19.613957562626666,10.923913794499393,6.362276274170382,2.647170498796612,2.9336680531372807,0.8644769524381565,2.313896936441653,0.643779436753041
2024-03-18,29.9790549122382,23.60240699207534,19.626816180273877,11.029366575180239,6.35817565246215,2.6567962002246435,2.9300205333181553,0.8638174978353875,2.311001855266883,0.6425436011251168
2024-03-19,29.89520957429849,23.695638203893832,19.776208862849522,10.860035390693882,6.3530552154269575,2.6568246949604846,2.9299793901960176,0.8710354747525892,2.3111173515936065,0.6508958413346179
2024-03-20,29.95955604050136,23.618605271073868,19.680688425762728,10.962120378531864,6.355917754560016,2.6650288734909595,2.9329273667469087,0.8716280265123258,2.31091118966781,0.6426166731521593
2024-03-21,29.878340319604646,23.671805114717245,19.94192568397331,10.75055019412446,6.342755644053175,2.661981827240517,2.9271687281648058,0.8659018759068162,2.305748588432061,0.6538220237829634
2024-03-22,29.844148343135164,23.730603618722096,19.996796871421893,10.727322879067987,6.302409212834769,2.658703527216684,2.924300129455295,0.8606014840691413,2.303525169428159,0.6515887646488137
2024-03-25,29.772533731865973,23.716868413413586,19.95270747563915,10.85881741616754,6.279291004784697,2.695940458699117,2.918800275068882,0.8592314467839053,2.298566954225809,0.6472428233513383
2024-03-26,29.770352683959324,23.715651972978993,20.20191395276664,10.595055888835974,6.311020413668624,2.694712778362408,2.9153723790182386,0.860360470266211,2.296922872967397,0.6386365871761935
2024-03-27,29.767815543417083,23.74862641608203,20.250079301399786,10.51270533512813,6.320308696553953,2.694934417265432,2.9153145720046623,0.8560124961729966,2.2971097314400444,0.6370934905358888
2024-03-28,29.66769845014762,23.866254697730362,20.267805808761366,10.48134954022626,6.321389834541462,2.702968852522938,2.914681906803336,0.8421766976886014,2.296270096155583,0.6394041154224743
