date,BOCOM INTERNATIONAL SECURITIES LTD,KINGSTON SECURITIES LTD,FULBRIGHT SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,KAM FAI SECURITIES CO LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,CHIEF SECURITIES LTD,BOCI SECURITIES LTD
2024-03-07,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,51.545328082876274,48.45467191712373,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,51.552698520583576,48.44730147941643,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,34.8325242128331,33.50882203016513,18.04963017815486,13.609023578846907,0.0,0.0,0.0
2024-03-22,0.0,0.0,0.0,34.80565888158885,33.52263606228117,18.057071149094966,13.614633907035016,0.0,0.0,0.0
2024-03-25,0.0,0.0,0.0,30.537241383401227,29.397095250365275,15.842628988381088,11.944993294917577,12.27804108293483,0.0,0.0
2024-03-27,0.0,0.0,0.0,25.238446461678283,24.92798514457442,13.434144316298077,10.129048903362198,10.411464912203218,15.858910261883802,0.0
2024-04-03,88.79137365950963,0.0,0.0,2.51850611152417,2.6088252938612695,1.431001160902191,0.8175804405299365,1.0763558620999865,1.6566161627048437,1.0997413088679697
2024-04-08,88.79138526289725,0.0,0.0,2.5184933724988325,2.6088256347864047,1.4310013479075325,0.8175805473725539,1.0763560027597576,1.6566163791938864,1.0997414525837854
2024-04-15,88.84947499775097,0.0,0.0,2.520141039238192,2.6104931692533038,1.43193754783987,0.8181154307632996,1.077060184078963,1.5923166977762377,1.1004609332991622
2024-04-17,88.85121781842665,0.0,0.0,2.520190472888857,2.610544375199869,1.431965635910899,0.8181314784494323,1.077081311077832,1.592347931753289,1.098520976293177
2024-05-03,88.85125267553757,0.0,0.0,2.520191461581651,2.6105061684634876,1.4319661976835591,0.8181317994095766,1.0770817336262632,1.5923485564453284,1.0985214072525766
2024-05-13,88.85227516295859,0.0,0.0,2.5202204635820786,2.6106931351016214,1.4319826765443564,0.8181412143525116,1.0770941285277522,1.591059170054341,1.098534048878742
2024-05-16,88.85285613220483,0.0,0.0,2.5202369422887907,2.610056345642964,1.431992039702415,0.8181465638484446,1.0771011712125098,1.5910695733495301,1.0985412317505052
2024-05-20,88.64997985067338,0.0,0.0,2.514482526261139,2.6040968464322267,1.4287223955644122,1.044606876959665,1.0746418436234941,1.5874367100657802,1.0960329504199091
2024-05-28,88.70784990529383,0.0,0.0,2.516123961954435,2.5405175174261854,1.429655055032672,1.0452887886434397,1.0753433619125299,1.5884729770708348,1.0967484326660808
2024-06-05,88.70778041595014,0.0,0.0,2.5163569961146006,2.5403588571988553,1.4296539351115876,1.0452879698158841,1.075342519541708,1.5884717327396425,1.0967475735275845
2024-06-07,88.71067589750962,0.0,0.0,2.5131750645033533,2.540441776218935,1.4297005999766776,1.0453220887175945,1.0753776194441163,1.5885235815243637,1.0967833721053377
