date,EVER-LONG SECURITIES CO LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,OCBC BANK (HONG KONG) LTD,TELECOM KING SECURITIES LTD,GET NICE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CCB INTERNATIONAL SECURITIES LTD
2024-03-05,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-08,97.90844142336587,0.0,0.0,0.0,2.0915585766341316,0.0,0.0
2024-03-27,97.90878658942039,0.0,0.0,0.0,2.0912134105796025,0.0,0.0
2024-03-28,97.90913164156949,0.0,0.0,0.0,2.0908683584305106,0.0,0.0
2024-04-03,92.97577955081091,0.0,0.0,0.0,1.9855156746244103,5.038704774564675,0.0
2024-04-08,92.98603685575489,0.0,0.0,0.0,1.9826162724924583,5.031346871752644,0.0
2024-04-19,92.9860370982287,0.0,0.0,0.0,1.9826162776624017,5.031346624108886,0.0
2024-05-03,92.98603806812399,0.0,0.0,0.0,1.982616298342175,5.031345633533839,0.0
2024-05-08,92.99088779747163,0.0,0.0,0.0,1.9827197026020715,5.026392499926311,0.0
2024-05-16,92.99331285185526,0.0,0.0,0.0,1.9827714087769475,5.023915739367783,0.0
2024-05-21,89.98532102862995,0.0,0.0,3.2346323955758574,1.918636042458433,4.861410533335758,0.0
2024-05-23,81.95732957654593,8.921445587252846,0.0,2.946056426456904,1.747465971913082,4.42770243783123,0.0
2024-05-24,81.95736838017939,8.921402465071356,0.0,2.9460578213009563,1.7474667992707984,4.427704534177503,0.0
2024-05-28,81.95703478315195,8.921366151639118,0.0,2.946045829747893,1.747459686429802,4.428093549031241,0.0
2024-06-06,81.98188191618371,8.909080456414928,0.0,2.9419888029915,1.7450532436542086,4.421995580755654,0.0
2024-06-12,81.9856453556782,8.909489434404524,0.0,2.942123857183899,1.7451333516261613,4.41760800110721,0.0
2024-06-13,82.00635045075285,8.91173948470303,0.0,2.9428668769396147,1.745574076972734,4.393469110631774,0.0
2024-06-17,82.015765315176,8.912762610577571,0.0,2.943204737270058,1.7457744802730262,4.382492856703345,0.0
2024-06-21,82.04503644311765,8.89825620431343,0.0,2.93841437927413,1.7429330589356782,4.375359914359117,0.0
2024-06-27,82.06949406668912,8.90090877429356,0.0,2.9392903205364043,1.7434526272424737,4.346854211238441,0.0
2024-07-08,82.08266959700426,8.902337736354575,0.0,2.967283536220107,1.7437325231185783,4.303976607302482,0.0
2024-07-09,81.82931371831324,8.874859833763544,0.0,3.266784140454278,1.7383503287069464,4.290691978761983,0.0
2024-07-15,81.84802717259343,8.87688941553804,0.0,3.2675312176675373,1.7387478701003791,4.26880432410061,0.0
2024-07-16,81.88547977025708,8.880951365218069,0.0,3.2690263976526404,1.7395434986166296,4.224998968255589,0.0
2024-07-17,81.9079677856844,8.883390319863883,0.0,3.269924162632085,1.740021225328901,4.198696506490726,0.0
2024-07-19,81.93797102698692,8.886644343990678,0.0,3.271121949933427,1.740658602596417,4.163604076492563,0.0
2024-07-25,81.95673421739718,8.888679319934612,0.0,3.2718710127089943,1.7410572005649834,4.14165824939422,0.0
2024-07-26,81.95662780588381,8.888667778993806,0.0,3.2718667645559982,1.7410549399999018,4.14178271056647,0.0
2024-07-29,81.96976711886029,8.890092813076086,0.0,3.2723913112898955,1.7413340664888546,4.126414690284876,0.0
2024-08-02,81.99042312480054,8.892333075753541,0.0,3.2732159389146975,1.741772874699316,4.102254985831912,0.0
2024-08-06,82.01296882578876,8.8947782867303,0.0,3.274116006813071,1.7422518268613585,4.075885053806502,0.0
2024-08-08,82.03176638374268,8.896816990032056,0.0,3.2748664416073123,1.7426511549207448,4.053899029697208,0.0
2024-08-22,82.05057256055765,8.898856628098878,0.0,3.275617220483122,1.7430506660758862,4.031902924784462,0.0
2024-08-26,82.078797999116,8.901917839290435,0.0,3.2767440344676215,1.743650276388698,3.9988898507372395,0.0
2024-08-29,82.10752143370587,8.887650177178893,0.0,3.271492191263291,1.7408556187167967,3.9924805791351403,0.0
2024-08-30,82.15643013176218,8.892944252451846,0.0,3.273440909492536,1.7418925880507714,3.935292118242664,0.0
2024-09-10,82.20944585919746,8.881346242715711,0.0,3.269171749756322,1.7396208446751233,3.900415303655378,0.0
2024-09-12,82.21885184795997,8.882362401407475,0.0,3.269545791843816,1.7398198832885698,3.8894200755001758,0.0
2024-09-13,82.23767028407669,8.884395416533074,0.0,3.270294132853592,1.7402180971846821,3.867422069351968,0.0
2024-09-16,82.27533301138207,8.88846423998941,0.0,3.271791843035661,1.7410150720919209,3.8233958335009235,0.0
2024-09-17,82.25649733657768,8.8864293625139,0.0,3.271042816505746,1.7406164934107147,3.8454139909919567,0.0
2024-09-20,82.28475408399927,8.889482028237666,0.0,3.2721664849533947,1.7412144298923873,3.812382972917284,0.0
2024-09-23,82.3139165914981,8.874848328680885,0.0,3.266779905500456,1.7383480751655276,3.806107099155029,0.0
2024-09-25,82.27817421472606,8.870994689030464,0.0,3.265361403222242,1.781015282981315,3.80445441003992,0.0
2024-09-26,82.1692576542357,8.85925162060583,0.0,3.261038848228876,1.892774892281365,3.8176769846482337,0.0
2024-09-27,82.10060159901815,8.846934649209217,0.0,3.2565050428989246,1.9835894206579834,3.812369288215721,0.0
2024-09-30,81.72805703467559,8.806790273279379,0.0,3.241728132269068,2.4283545047927655,3.7950700549832046,0.0
2024-10-02,81.35887815865406,8.767008574650877,0.0,3.2270847210384463,2.869101437026914,3.7779271086296995,0.0
2024-10-03,80.81075510342527,8.708669621054648,0.0,3.2056104924930215,3.532049041102805,3.7429157419242536,0.0
2024-10-04,80.82956371325307,8.708278871599562,0.0,3.2054666598977266,3.513942954279666,3.7427478009699824,0.0
