date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,HANG SENG BANK LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,TOTAL_CCASS_PCT
2024-03-01,28.367783163401093,20.07615296470357,4.107279180795017,7.356759664434145,0.0,0.0,5.502309960272207,0.0,3.4684039099330515,3.3579318941535874,72.23662073769268
2024-03-04,28.367574164097725,19.96013598840633,4.111668166165841,7.375728789540413,7.063060676378886,0.0,5.512885325022859,0.0,3.4693931733023486,3.347872061017921,79.20831834393233
2024-03-05,28.368438027884995,19.976512755819996,4.107850445557569,7.359036711844389,7.051983713300139,0.0,5.509945401488752,0.0,3.4758164185593325,3.3537101082254615,79.20329358268064
2024-03-06,28.370653420500748,19.831736151716434,4.107150646223443,7.347218776568754,7.065303935568419,0.0,5.4920369478471,0.0,3.512460963083991,3.4107808513330666,79.13734169284196
2024-03-07,28.370653420500748,19.763552776315642,4.116356995870571,7.421809234613738,7.0607059508942225,0.0,5.495840735168481,0.0,3.5137706920517924,3.4123135128911324,79.15500331830633
2024-03-08,28.37135008484532,19.638443006659436,4.117672994817473,7.3744633684249274,7.065805533896513,0.0,5.496453799791707,0.0,3.5407734020475297,3.42571733488076,79.03067952536367
2024-03-11,28.375878403085064,19.5570367329993,4.103280466790023,7.420869155747168,7.06085643039265,0.0,5.510986218019547,0.0,3.557089280997482,3.455450969107233,79.04144765713846
2024-03-12,28.37692339960192,19.55695313327795,4.101764037511186,7.475520104920326,7.058780370645816,0.0,5.500466586416461,0.0,3.5712176339054684,3.4700112539088557,79.11163652018799
2024-03-13,28.375530070912774,19.615133523353595,4.101725929971538,7.4270260662252205,7.056941176776137,0.0,5.504075307721361,0.0,3.5673999132971965,3.475863234403288,79.12369522266111
2024-03-14,28.3738441431989,19.57567598753841,4.106965960505696,7.461023982904838,7.061176895991155,0.0,5.492021830230823,0.0,3.5659508514604794,3.457485228993393,79.09414488082369
2024-03-15,28.3738441431989,19.84954951067505,4.108287811433093,7.204741095135854,7.064757611389402,0.0,5.492021830230823,0.0,3.556685215677629,3.4703038529335775,79.12019107067432
2024-03-18,28.3738441431989,19.858188148547782,4.114274944810373,7.167206770910303,7.061236669791919,0.0,5.492078747707775,0.0,3.5504431031502346,3.4769918306414995,79.09426435875879
2024-03-19,28.375237471888052,19.103823067298116,4.137265077180659,7.69858743006865,7.061699115583848,0.0,5.527260297108826,0.0,3.549439906494046,3.4965262988633903,78.9498386644856
2024-03-20,28.374248208518754,19.105202462700376,4.134464486515467,7.683149348192862,7.0543005402444585,0.0,5.5188445918263564,0.0,3.5513487667981827,3.4930011772798393,78.9145595820763
2024-03-21,28.374248208518754,19.103168202814217,4.134464486515467,7.667293267710329,7.0555824026384775,0.0,5.518454459793394,4.740020182770128,3.563192060655962,3.4983794260199605,83.6548026974367
2024-03-22,28.373063879132975,19.147279317118297,4.136223912317692,7.678609116992831,7.067007697889512,0.0,5.500856718449423,4.740020182770128,3.57595495144858,3.4668623310713755,83.68587810719082
2024-03-25,28.373063879132975,19.19564175591871,4.139540034597871,7.642424370935593,7.062200713911943,0.0,5.502263980425465,4.740020182770128,3.5712455004792516,3.4543502394428036,83.68075065761474
2024-03-26,28.373063879132975,19.195906488369648,4.141156295877284,7.641031042246442,7.062562979371122,0.0,5.501901714966286,4.740020182770128,3.5717610320942375,3.452594645294474,83.6799982601226
2024-03-27,28.373063879132975,19.196268753828825,4.139940407596698,7.687272625782665,7.062312180207074,0.0,5.502110714269659,4.740020182770128,3.578281810359462,3.4465475987835608,83.72581815273105
