date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),TOTAL_CCASS_PCT
2024-03-01,16.91856,45.3904,14.2006452,6.1493199999999995,6.1479412,4.442469200000001,3.6061568000000004,4.1700568,0.0,0.0,101.0255492
2024-03-04,16.8904,45.365919999999996,15.127513200000001,6.15348,6.1140212,4.4344692,2.314648,4.1658168,1.9816799999999999,0.0,102.54794840000001
2024-03-05,16.96528,45.44688,15.2103872,6.1637200000000005,6.1513012,4.4344692,2.302768,4.1941768,1.9816799999999999,0.0,102.8506624
2024-03-06,16.9936,45.48416,15.249666000000001,6.13732,6.1625012,4.4344692,2.5251768,4.1972168,1.9216799999999998,0.0,103.10579
2024-03-07,16.84848,45.56752,15.256830800000001,6.119079999999999,6.1482612,4.4344692,2.5136568,4.1979368,1.9216799999999998,0.0,103.0079148
2024-03-08,16.68064,45.5768,15.033870799999999,6.11444,6.0733812,4.4127092,2.6785808,4.200896,1.9216799999999998,3.01008,105.703078
2024-03-11,16.72816,45.794560000000004,14.8256036,6.12052,6.0877812,4.4127092,2.6851408,4.169456,1.9221599999999999,3.01008,105.75617079999999
2024-03-12,16.77312,45.88352,14.725626799999999,6.2634,6.0253812,4.3747891999999995,2.8246292,4.194496,1.51672,3.01008,105.59176240000001
2024-03-13,16.755039999999997,46.06416,14.591786800000001,6.145,6.0845812,4.3547892,2.7486692,4.209856,1.51688,3.01008,105.4808424
2024-03-14,16.77728,46.17056,14.5665868,6.13012,6.2007411999999995,4.3507892,2.53736,4.207456,1.51528,3.01008,105.46625320000001
2024-03-15,16.764319999999998,46.14832,14.586247599999998,6.11812,6.2349812,4.3507892,2.6141988,4.220576,1.51928,3.01008,105.56691279999998
2024-03-18,17.02368,46.24048,14.307367600000001,6.117319999999999,6.2333812,4.350149200000001,2.660548,4.276256,1.52184,3.01008,105.741102
2024-03-19,17.13712,46.22208,14.2670476,6.13092,6.150276,4.3517491999999995,2.659404,4.270976,1.5268,3.01008,105.72645279999999
2024-03-20,17.14624,46.1552,14.1816956,6.10836,6.189316,4.3517491999999995,2.8553372,4.270656,1.5154400000000001,3.01008,105.784074
2024-03-21,17.96432,46.19216,14.0725836,6.12772,6.182928,4.3493492,2.7240944,3.568656,1.51656,3.01008,105.70845120000001
2024-03-22,19.08016,46.258559999999996,13.107783600000001,6.15236,6.197328,4.3549492,2.6075344,3.570736,1.51864,3.01008,105.8581312
2024-03-25,20.56032,46.007999999999996,11.774118,6.1146,6.118728,4.3549492,2.6165992,3.5486560000000003,1.51864,3.01008,105.62469039999999
2024-03-26,21.22176,46.16816,12.057078,6.1482,6.048008,4.3691892,2.51553,3.5475359999999996,1.5183200000000001,3.01008,106.60386120000001
2024-03-27,21.70768,46.16784,11.733238,6.1902800000000004,5.852488,4.3691892,2.5890608,3.5464160000000002,1.51864,3.01008,106.68491200000001
