date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,99.50603596935686,0.0,0.0,0.0,0.0,0.48627713002129647,0.0,0.0,0.0,0.007686900621841841
2024-03-04,92.23010543902346,0.0,5.667636945139671,0.0,0.0,0.4501883061838772,0.0,1.540056679217607,0.0839294326015517,0.02808319783383356
2024-03-05,81.46679363831186,10.002667865324948,5.004449922674668,0.0,1.6855492469876443,0.40116909724406447,0.0,1.3601579675044824,0.074408538440817,0.004803723511525536
2024-03-06,81.51495751146034,10.00408026813546,5.004589940429826,0.0,1.6428258468576393,0.39793932627876255,0.0,1.3612566231772714,0.07430572039345407,4.476326724567284e-05
2024-03-07,81.5182804250759,10.006682384581158,5.000450823807328,0.0,1.6431600875594854,0.3950736999360876,0.0,1.3611935339355834,0.07432083824431025,0.0008382068601426962
2024-03-08,81.50079025321921,10.006149322402297,4.997124219559767,0.0,1.6543500590844287,0.40882367619932597,0.0,1.3585708330366566,0.07414686650882249,4.476998949230212e-05
2024-03-11,80.61213144694278,9.896632546763982,4.942430959009971,0.0,1.6418987919571673,0.40720770393077,1.0812723766728813,1.3450465617655454,0.07333533297258486,4.427998432282289e-05
2024-03-12,80.63515412279337,9.898309643059939,4.943268509824877,0.0,1.6278657247155972,0.3995404144970616,1.0780920038154893,1.3443214732200839,0.07334776047403144,0.00010034759954395121
2024-03-13,80.6255352596912,9.898326290098197,4.943501064267409,0.0,1.6280927032932588,0.4082304183392899,1.078093816957276,1.3448282759600696,0.07334788383074775,4.4287562549854306e-05
2024-03-14,80.63173440211692,9.898997317786936,4.943836194267797,0.0,1.6150280335560703,0.4079777730793898,1.0781669031317502,1.3373508037702027,0.07413775231983018,0.012770819971108177
