date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,EVERBRIGHT SECURITIES INVESTMENT,CHINA INDUSTRIAL SECURITIES,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,57.95184784096685,10.412394867568155,10.80705526450529,5.753505305738983,4.716020900900766,1.5101038979846448,0.0,4.280841039123271,0.0,4.56823088321204
2024-03-04,55.48332112315438,10.018347143401463,10.349251287167197,5.5645994099317395,4.516791995284759,1.4496898696828173,4.099381246905217,4.1029995272994695,0.0,4.415618397172951
2024-03-05,55.51533952414604,10.0110302938575,10.346934407838297,5.5267250303852835,4.524833187460252,1.4564363097863564,4.098517021939275,4.098633545795208,0.0,4.421550678791781
2024-03-06,55.51320841863291,10.000930670238848,10.346075059500778,5.5155414164482215,4.53372555783609,1.46147904429812,4.09817662606449,4.096307103113825,0.0,4.434556103866718
2024-03-07,53.546920762309725,9.594465745957445,9.925658343956496,5.321125990871637,4.374276987157915,1.4082962062472313,3.9468996437737704,3.945099130974719,3.6670324993287067,4.270224689422349
2024-03-08,53.51740038149641,9.579809467320283,9.926736863476426,5.329100860810689,4.401788427406693,1.407428999943983,3.9473285128886952,3.9446351019608112,3.66743095815065,4.278340426545363
2024-03-11,53.73813647746773,9.132587042324378,9.962837214772794,5.359616453364343,4.448898545182145,1.4151072210019937,3.961683677930064,3.9589804719323585,3.6807682257507945,4.341384670273403
2024-03-12,53.681545615227,9.186786744063392,9.953695497190203,5.338586283811671,4.464381232541286,1.414959621825171,3.957680740036866,3.955603534241111,3.6773908200096983,4.369369911053598
2024-03-13,53.63388529206941,9.19770553406071,9.9486471435722,5.387614735037831,4.457885267223396,1.3993342130133162,3.9572494722852856,3.9549167701824532,3.6769900953998063,4.3857714771555925
2024-03-14,53.66151613499258,9.282477827220955,9.930004342094053,5.320335943703001,4.439789348705937,1.3986965342133302,3.9540009921482997,3.9567804597205383,3.6739716783471397,4.38242673885416
2024-03-15,53.787413776875525,9.311638227683241,9.929609862821403,5.330839767615816,4.403534865969097,1.4091254025270135,3.9772618211752153,3.959319031076649,3.6775162016258904,4.213741042630149
2024-03-18,53.80693360129217,9.302481637284124,9.936236708462504,5.2385051423794735,4.445149434636756,1.3969753915836243,3.9801724707742783,3.957353567774708,3.6804634370622313,4.25572860875013
2024-03-19,53.745127486566844,9.258491066143929,9.93901529255051,5.295670762333486,4.451486155401839,1.3967979588170003,3.981490609704337,3.958664149624111,3.681682319453051,4.291574199404894
2024-03-20,53.70263459388964,9.268129248808082,9.953272169877476,5.289189300942504,4.455908295096958,1.3959608741994367,3.987509958916577,3.964648989038898,3.6872484085743715,4.295498160656058
2024-03-21,53.68859475715107,9.273398385394644,9.9480010915954,5.298977008731811,4.464703802363935,1.3966740919466498,3.9873499793978118,3.9644899267057943,3.687100475595634,4.290710481117238
2024-03-22,53.6892436225209,9.274985904003493,9.947375523265809,5.297430099730112,4.4642241851723945,1.3966042623558212,3.987150623643196,3.964291713886481,3.686916131431852,4.291777933989942
2024-03-25,53.69638575355062,9.277688506429293,9.949173921836021,5.292874336426671,4.457338032721374,1.3978825222254552,3.9878714656345347,3.9650084231866867,3.6875826936505756,4.288194344338763
2024-03-26,53.66932947252809,9.318275313957306,9.945682061847037,5.3157568195912,4.449840541675666,1.3965082899958798,3.987242631514367,3.9643831942632524,3.686873010528824,4.266108664098372
2024-03-27,53.44744238693716,9.261836783484828,9.941507530262887,5.437315356268423,4.434901830613374,1.3959221292954007,3.9855690539562447,3.9627192115667205,3.6854536547555945,4.447332062859371
2024-03-28,53.439512617506665,9.217341182154822,9.936284821285243,5.421092114592923,4.436201675325447,1.3962674194884472,3.9836293078883687,3.9607905863429007,3.6836599725640746,4.525220302851105
2024-04-02,53.44045413640933,9.189681916172722,9.921063012972008,5.46529236175915,4.43877241356241,1.3962702666272668,3.983637430935205,3.960798662819138,3.683667483941308,4.520362314801459
2024-04-03,50.322446327096095,9.148364149432766,9.91547090210782,5.489094401025369,4.465969334790943,4.539564571766224,3.9813446474636813,3.9585661172537834,3.682103195945944,4.497076353117373
2024-04-05,50.33470185792853,9.280144976558123,9.866361027310374,5.431637306711208,4.460976138051421,4.531554166873332,3.9760566249231037,3.9544802782615838,3.678302708505371,4.485784914876956
2024-04-08,50.38480132039859,9.197688151006993,9.86149631871752,5.398653448204366,4.459810623862285,4.532692349308563,3.9761576278413333,3.9545807330804825,3.6783961476443827,4.555723279935483
2024-04-09,50.3701230700288,9.215460145594838,9.863956122118282,5.394371782547733,4.463993027769391,4.534206708235143,3.9771494211492473,3.9555671443533185,3.6788020070249776,4.546370571178282
2024-04-10,50.39713642938235,9.2428595700111,9.865140789578284,5.345553273756831,4.486998752229235,4.531383447870512,3.9780397759990427,3.9577321083928245,3.6796255715586543,4.515530281221169
2024-04-11,50.35686448263932,9.356113638351694,9.854700267858133,5.314599871032595,4.482238505241902,4.525810505644152,3.973932796764987,3.9536460950550003,3.6758266789727454,4.506267158439469
2024-04-12,50.500559286426764,9.359233359029307,9.861196690394173,5.265154321408212,4.496320262706656,4.533654070845406,3.993496701222125,3.957531382866369,3.678249860056572,4.354604065044416
2024-04-15,50.56396486292173,9.272648690413295,9.870728029456387,5.247839880584304,4.518332921395297,4.545333205904072,3.9973566152161593,3.961356534584131,3.6818050722354236,4.340634187289209
2024-04-16,50.56275771187113,9.299453410291703,9.867519403799117,5.248437601274785,4.515456409978901,4.5324656145556395,3.996057215520558,3.960068837245441,3.680608247220633,4.3371755482421
2024-04-17,50.51372854845367,9.219505159200434,9.871534101292786,5.226631311112534,4.5222867501548425,4.53494984441897,4.11378682887684,3.9616800302702586,3.6827458905207515,4.353151535698906
2024-04-18,50.355749049287255,9.291871737200678,9.881752571255664,5.23041136252127,4.543669477843219,4.547637245270442,4.124946579179434,3.9724271500787625,3.692736326650698,4.358798500712572
2024-04-19,50.2981840968793,9.294603769995486,9.84833785397264,5.245606440068147,4.528944974412478,4.529828680354573,4.110998251415006,3.958994560141892,3.694835061186145,4.489666311574333
2024-04-22,50.22074690084162,9.208900916389275,9.918500030541862,5.144329521434283,4.564818323071995,4.574985886991676,4.140286095665313,3.987199489692844,3.7211580482526916,4.519074787118442
2024-04-23,50.24501300038825,9.133248957990899,9.920696204257299,5.157454760242517,4.577170827563995,4.576514423581768,4.141202845926912,3.9880823432181245,3.722755295733741,4.537861341096488
2024-04-24,50.21433083098088,9.12541126455401,9.921423149958564,5.209132092691317,4.573381646642568,4.575818626711141,4.136319383000521,3.9883745726399322,3.723028083137304,4.532780349683761
2024-04-25,50.20409619647642,9.110712407877175,9.91876290779742,5.224941414873938,4.59296125948706,4.577614921208125,4.135264029908125,3.987356966635866,3.7220781784426205,4.526211717293242
2024-04-26,50.187889343221904,9.130396201578371,9.916250670917425,5.233022441270739,4.584197126969364,4.575167222258802,4.134216644977057,3.9863470437938338,3.7204913083382856,4.5320219966742155
2024-04-29,33.03647826755302,6.022332656363916,6.520921012406171,3.4537409876170955,3.0172183023203245,3.0108562442523117,2.7196824356937466,2.6215899262217053,2.4467519830517546,2.9735862739684595
2024-04-30,33.028599085734136,6.015235377437578,6.520921012406171,3.461111835125081,3.00527244601428,3.008484017468133,2.7196824356937466,2.6215899262217053,2.4467519830517546,3.0004432700607726
2024-05-02,33.07318195341453,6.009135365706832,6.520921012406171,3.4360340091209016,2.996037706033011,3.0074673488463417,2.7201060476194927,2.6224371500731976,2.4467519830517546,3.0017988282231607
2024-05-03,50.26531085344408,9.103013154126439,9.911977318002895,5.186549106245644,4.5218637275317395,4.570401935373644,4.1291061287881625,3.9848879991610424,3.719129569680025,4.607760207646331
2024-05-06,33.07804061275807,6.081614095366239,6.520921012406171,3.3117462701069487,2.967740429393161,2.998232608865073,2.716892188661241,2.6215899262217053,2.4467519830517546,3.0288252690857718
2024-05-07,33.100490350374926,6.104292583422992,6.520921012406171,3.2522711557321733,2.971044602413982,2.998232608865073,2.716892188661241,2.6215899262217053,2.445989481585411,3.0333155554986826
2024-05-08,33.092865335711494,6.089905366866486,6.513465442513036,3.20059050079113,2.9602001371148776,2.981118687064924,2.7134185708701213,2.6224371500731976,2.445989481585411,3.03246833164719
2024-05-09,33.13869760440568,6.155179728504727,6.50516264876841,3.1506042935530707,2.9623181967436087,2.982813134767909,2.713842182795868,2.6224371500731976,2.445989481585411,3.0538183727048014
