date,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,CMB WING LUNG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,SINOPAC SECURITIES (ASIA) LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-06,29.09146881421933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.09146881421933
2024-03-07,29.09146881421933,16.85607564501221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.947544459231544
2024-03-08,29.09146881421933,16.85607564501221,0.0,0.0,0.0,0.0,0.9563618230270075,0.0,0.0,46.90390628225855
2024-03-13,29.09146881421933,16.85607564501221,0.0,0.0,0.0,1.3356032765953392,0.9563618230270075,0.0,0.0,48.23950955885389
2024-03-14,29.09146881421933,16.85607564501221,0.0,0.0,0.0,1.3435438430435873,0.9563618230270075,0.0,0.0,48.24745012530214
2024-03-18,29.09146881421933,16.85607564501221,0.0,0.0,0.0,1.3514844094918355,0.9563618230270075,0.0,0.0,48.255390691750385
2024-03-19,29.09146881421933,16.85607564501221,0.0,0.0,0.0,1.3689536556779813,0.9563618230270075,0.537417537217435,0.0,48.81027747515397
2024-03-20,29.09369217282484,16.85607564501221,0.0,0.0,1.6059001584937065,1.3689536556779813,0.9547737097373579,0.537417537217435,1.0983391511216845,51.51515203008522
2024-03-26,29.09369217282484,16.85607564501221,0.0,0.0,1.6059001584937065,1.3714946369414207,0.9547737097373579,0.5380527825332948,1.0983391511216845,51.51832825666452
2024-03-28,29.09369217282484,16.85607564501221,0.0,0.0,1.6059001584937065,1.387375769837917,0.9547737097373579,0.5380527825332948,1.1056444722540728,51.541514710693406
2024-04-02,29.09369217282484,16.85607564501221,0.0,0.0,1.6059001584937065,1.4032569027344133,0.9547737097373579,0.5380527825332948,1.1056444722540728,51.5573958435899
2024-04-05,29.095280286114487,16.85607564501221,0.0,0.0,1.6059001584937065,1.4191380356309098,0.9547737097373579,0.5380527825332948,1.1056444722540728,51.57486508977605
2024-04-11,29.095280286114487,16.85607564501221,0.0,0.0,1.6059001584937065,1.4191380356309098,0.9547737097373579,0.5380527825332948,1.1142202840181807,51.58344090154016
2024-04-12,29.095280286114487,16.85607564501221,0.0,0.0,1.6059001584937065,1.4191380356309098,0.9547737097373579,0.5380527825332948,1.1151731519919705,51.58439376951394
2024-04-29,29.095280286114487,16.85607564501221,0.0,0.0,1.636709556312909,1.4191380356309098,0.9547737097373579,0.5380527825332948,1.1167612652816201,51.6167912806228
2024-04-30,29.095280286114487,16.859251871591514,2.8751044184487946,0.0,1.636709556312909,1.4191380356309098,0.9547737097373579,0.5380527825332948,1.1167612652816201,54.49507192565088
2024-05-02,29.095280286114487,16.859251871591514,2.8751044184487946,0.0,1.6363919336549793,1.4191380356309098,0.9547737097373579,0.5380527825332948,1.1167612652816201,54.49475430299295
2024-05-06,29.095280286114487,16.859251871591514,2.8751044184487946,0.0,1.6363919336549793,1.4254904887895083,0.9547737097373579,0.5380527825332948,1.1294661715988172,54.51381166246876
2024-05-08,29.095280286114487,16.859251871591514,2.8751044184487946,0.0,1.603994422546127,1.4254904887895083,0.9547737097373579,0.5380527825332948,1.126289945019518,54.4782379247806
