date,HSBC BROKING SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,THE BANK OF EAST ASIA LTD,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,GET NICE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2025-04-08,68.43725776950264,11.562819560187183,3.410103839685434,2.7758667015486638,2.839455974937612,2.736039597572592,2.5050693365043717,2.4032514831130105,1.8684724602598148,1.4616632766886843
2025-04-10,68.49245899759205,11.402979590333755,3.570828907903506,2.7781057049209803,2.8417462691725204,2.688075424658589,2.507089915766766,2.405189936487668,1.8699795629377889,1.4435456902263684
2025-04-11,68.47306380406447,11.389461994430192,3.569817746693406,2.8660902062469007,2.840941564250934,2.686671198650541,2.5063799763833794,2.354986555959313,1.8694500358037565,1.443136917517115
2025-04-14,68.64047164970579,11.403642063420433,3.5785454925412643,3.0742153161296266,2.847887301456808,2.693239764628539,2.5125077534813274,2.3579079176904725,1.471733257366466,1.4198494835792865
2025-04-15,68.69360823959946,11.412469955144584,3.581315748917466,2.9991822409323388,2.850091934029457,2.695324680035134,2.514452758969966,2.359733242939821,1.4728725689803002,1.4209486304514807
2025-04-16,68.60871754662597,11.393212085729283,3.5767611420908154,3.124337971055597,2.846569826434322,2.691993831856674,2.511345430025859,2.356817114418415,1.471052411672414,1.4191926400906596
2025-04-17,68.62083194047493,11.37756658811806,3.5773926987607023,3.1248896423599457,2.8470724515995944,2.692469163194793,2.511788863873889,2.3572332628580743,1.4713121586684914,1.4194432300915283
2025-04-22,68.62967726511219,11.366143028077962,3.5778538298615756,3.1252924451613797,2.8474394433627093,2.692816226370083,2.512112637096874,2.3575371136402077,1.4715018129370012,1.4196261983800098
2025-04-25,68.63056192299682,11.366289541196604,3.6088366959393943,3.1253327311530015,2.8474761477427224,2.6928509376087395,2.5121450190100636,2.351122347520743,1.4715207810530249,1.3938638757788984
2025-04-29,68.64117959683576,11.352577226996953,3.609395010630428,3.1258162440756374,2.847916674122717,2.6932675422838477,2.512533667094832,2.351486084164331,1.471748436593977,1.3940795172015272
2025-04-30,68.63694566535072,11.352943141017878,3.614668436249322,3.1239830866481397,2.8480084676089574,2.6933543511498974,2.51261465058241,2.351561876798109,1.4717958736981214,1.3941244508964434
