date,DBS VICKERS (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,MERRILL LYNCH FAR EAST LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,DEUTSCHE BANK AG
2024-03-01,0.0,10.396815379508114,9.918889970263134,4.1881538259466025,3.414013754888959,0.0,1.0139339162547671,0.0,0.0
2024-03-04,0.0,10.392208595722622,9.922961599332213,4.1633201901536,3.451098364362185,0.0,1.0110930662537125,0.0,0.0
2024-03-05,0.0,10.408946576809916,9.948858634382367,4.121477540827256,3.513750623844902,0.0,1.0127054405786353,0.0,0.0
2024-03-06,0.0,10.418927941678485,9.951853043842938,4.127082461099608,3.5060726508690787,0.0,1.0121679824703278,2.511191624553817,4.592521950691305
2024-03-07,0.0,10.984026752699071,9.9431001546505,4.0945309268713075,3.4036484913715976,2.9578991634763985,0.5944094728557896,0.0,0.0
2024-03-08,0.0,11.048982404074534,9.951853043842938,4.100596525522207,3.2168434088698197,2.9618149296940683,0.6142954228631716,0.0,4.688496612889095
2024-03-11,0.0,11.071478864893697,9.975577980338231,4.099828728224626,2.9752943790504234,2.9598954364501124,0.6169059336749515,0.0,0.0
2024-03-12,0.0,11.179725999096043,9.981867775800026,4.144982887295442,2.944966385795922,2.994074700949287,0.5237721214782165,0.0,0.0
2024-03-13,0.0,11.199300223400604,9.989852867694882,4.2075606704402935,2.9093405911881027,3.022564587473376,0.5201634741795796,0.0,0.0
2024-03-14,0.0,11.205204584619013,9.973696876959155,4.227862766582965,2.8977468519946097,3.0361622776135593,0.520317033639096,0.0,0.0
2024-03-15,0.0,11.22282169361204,9.981067731015946,4.242758034156062,2.8495291817064405,3.044496717278815,0.5200866944498214,0.0,0.0
2024-03-18,0.0,11.23026241722291,9.98129807020522,4.238304809830084,2.847149010083935,3.0492639706995037,0.520624152558129,0.0,0.0
2024-03-19,0.0,11.231233680804351,9.981835528313528,4.237076334153953,2.8456901952185287,3.050519319281051,0.5202402539093378,0.0,0.0
2024-03-20,0.0,11.249799019459891,9.960470800711002,4.2019311806544195,2.46570731264504,3.0528380671197493,0.520624152558129,0.0,4.592521950691305
2024-03-21,0.0,11.260061398139378,9.960607468629972,4.194873587895042,2.8433100235960236,3.0619241803393384,0.5202402539093378,0.0,0.0
2024-03-22,0.0,11.300064405140713,9.961375265927554,4.567404229898197,0.0,3.074822407141424,0.5176297430975579,0.0,0.0
2024-03-25,0.0,11.343094069089119,9.961298486197794,4.549130654215738,2.8405459533247273,3.091220254025889,0.5119480430954488,0.0,0.0
2024-03-26,0.0,11.36432980674565,9.183960539395722,5.441135288425243,2.4645556166986666,3.102539121786848,0.5118712633656906,0.0,0.0
2024-03-27,0.0,11.415114991196935,9.960914587549004,4.610665768630473,2.8393942573783533,3.125539257633224,0.5107963471490754,0.0,0.0
2024-03-28,33.666495680767824,11.430808767959517,9.959071874034807,4.566824542938522,0.0,3.132649060608836,0.5069573606611638,0.0,0.0
2024-04-02,0.0,11.675228399340003,9.94904593259621,4.523109089773091,2.8351197496890443,3.131862473776417,0.28663835289219847,0.0,0.0
2024-04-03,0.0,11.786517662857484,9.949429574907516,4.492812089164642,2.377281015376591,3.133857413795208,0.27670738802173406,0.0,0.0
2024-04-05,0.0,11.810503747444951,9.958562563770464,4.474167072835176,2.3499656828116113,3.1358469828216404,0.27716775879530114,0.0,0.0
2024-04-08,0.0,11.83068333301964,9.962629172270306,4.459665393467812,2.343827405830717,3.1451311267552433,0.27670738802173406,0.0,0.0
2024-04-09,0.0,11.849880026992766,9.970931959171589,4.056461927993054,0.0,3.1415870390833995,0.28069726805931533,0.0,0.0
2024-04-10,0.0,11.8689854140958,9.980983387727802,4.057689583389233,2.687647645223059,3.1417404960079214,0.28085072498383773,0.0,0.0
2024-04-11,0.0,11.946327704055069,10.009910018000268,4.075797500482872,2.6633247226862657,3.134758205942154,0.2830758503894119,0.0,4.685366001632183
2024-04-12,0.0,11.950547769479433,10.037148622102986,4.074953487397998,2.6539638502904017,0.0,0.28606826041759786,0.0,0.0
2024-04-15,0.0,11.953770364894401,10.021712390065282,4.110569305010393,2.6322496954704877,0.0,0.28553116118176963,0.0,0.0
2024-04-16,0.0,11.965049448846795,9.985726741264788,4.1356595121697985,0.0,0.0,0.2856078896440308,2.5494428044289785,0.0
2024-04-17,0.0,11.987377431364798,10.001604161960495,4.074016632873789,0.0,3.1462674752813315,0.2857613465685532,0.0,0.0
2024-04-18,0.0,12.027352960202872,9.976533136916654,4.217714464281148,2.623425922310452,3.1392084567533027,0.0,0.0,0.0
2024-04-19,0.0,12.064412807475023,9.9847430823786,4.190015489404862,2.592350895094675,3.134758205942154,0.2547124070299446,0.0,0.0
2024-04-22,0.0,12.07581082054392,9.99155273340428,4.167227136113292,2.298173970785316,3.139815378889789,0.0,0.0,0.0
2024-04-23,33.68608220811747,12.118098945234546,9.99216656110237,4.204666789273634,2.2460753449099755,3.139887503644314,0.2534847516337657,0.0,0.0
2024-04-24,33.707412720626074,12.102446338933266,10.002432829352916,4.184962920164963,2.245921887985453,0.0,0.2515665400772363,0.0,0.0
