date,DEUTSCHE BANK AG,UBS SECURITIES HONG KONG LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA RENAISSANCE BROKING SERVICES (HONG,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,THE BANK OF EAST ASIA LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,24.02569103296123,0.0,4.703134649620016,4.031157963862113,9.388289025867772,5.210434245190634,4.141779468435041,2.0310761668909985,0.0,53.53156255282781
2024-03-04,0.0,24.02769446376913,0.0,4.66859273913895,4.088583890036885,9.388289025867772,5.149295063639148,4.162669811410556,2.0356702409849805,0.0,53.52079523484742
2024-03-05,0.0,24.021131500777727,0.0,4.697158899106792,4.075337067367396,9.371018070627239,5.1477234067122595,4.161930959945366,2.0278810401714997,0.0,53.50218094470828
2024-03-06,0.0,24.02151128908347,0.0,4.671010672872625,4.065268100462165,9.371018070627239,5.157101708117421,4.171084566222848,2.021128096672452,0.0,53.47812250405822
2024-03-07,0.0,24.02237492320027,0.0,4.637004162004016,4.075371609277878,9.371018070627239,5.167438374828881,4.159944800092704,2.017449383206218,1.10954842644547,54.56014974968267
2024-03-08,0.0,24.02059653293915,0.0,4.64006112108159,4.090138276008533,9.336078928175642,5.1800634431097095,4.155392780774733,2.017311215564294,1.10954842644547,54.54919072409913
2024-03-11,0.0,24.01527751049895,14.248091360182274,4.71071659897061,4.087547632722453,9.301934249665107,5.187714476281266,4.153596601429718,2.021318077180098,1.10954842644547,68.83574493337593
2024-03-12,0.0,23.99861112504661,14.248143173047998,4.725172388506936,4.097668412493405,9.301934249665107,5.188263779012691,4.1504360166207,2.022008915389719,1.10954842644547,68.84178648622864
2024-03-13,0.0,23.98267029242393,14.248143173047998,4.7886776909263755,4.116234689376978,9.301934249665107,5.171528223384614,4.1570335215225835,2.017155776967129,1.10954842644547,68.89292604376018
2024-03-14,0.0,23.97847345030048,14.246416077523943,4.967017574740117,4.032764162699483,9.215579473462443,5.1561398022653,4.202032995401792,2.006879558599012,1.10954842644547,68.91485152143804
2024-03-15,0.0,24.044085809259265,14.23073405016554,5.0048927795826055,4.213694689799305,9.140777325574948,5.269221381702689,4.207715485095032,1.9839955429053062,1.10954842644547,69.20466549053016
2024-03-18,0.0,24.156830605069462,14.23073405016554,5.017759641236803,4.220240381835467,9.054422549372283,5.254420173061551,4.220140555714176,1.9893452212910612,1.10954842644547,69.2534416041918
2024-03-19,0.0,24.149507720047477,14.23073405016554,5.0880178871552895,4.248288413146092,8.881712996966955,5.288858803230279,3.9130035594514756,1.983075864538748,1.10954842644547,68.89274772114733
2024-03-20,0.0,24.14087224242721,14.23073405016554,5.273369778796688,4.240257418959245,8.691732489321094,5.276207828516589,3.943383169719573,1.9748376188890138,1.1086848786834433,68.8800794754784
2024-03-21,0.0,24.135276452929276,14.230129566732122,5.347790324928145,4.176164904061626,8.656689721138052,5.267002409373385,3.92189810140035,1.9774282621750936,1.1086848786834433,68.82106462142148
2024-03-22,0.0,24.135259268328813,14.231269449777997,5.463643892681638,4.193021356376387,8.529044581403637,5.256622565273824,3.8965663595751794,1.975165767038584,1.1086848786834433,68.78927811913951
2024-03-25,24.046750372233774,24.14223673424599,14.224671944876114,5.473004750422008,4.251708062283718,8.529044581403637,5.255655391780355,3.899675563292356,1.9673074824041414,1.034162261206516,92.8242171441486
2024-03-26,24.046750372233774,24.152599307390307,14.228989683686248,5.579721982853259,4.227632350678415,8.529044581403637,5.203013520207211,3.870845157709335,1.9800879892821355,1.034162261206516,92.85284720665084
2024-03-27,24.046750372233774,24.152303110507933,14.228989683686248,5.6182016711291665,4.264143150056901,8.529044581403637,5.168903383607158,3.83535334469004,1.9763574629501808,1.034162261206516,92.85420902147156
2024-03-28,24.046750372233774,24.154289270360593,14.23762516130651,5.641845608853456,4.300343072241057,8.529044581403637,5.124689738191394,3.7938512392470396,1.980934266088922,1.034162261206516,92.8435355711329
2024-04-02,24.046750372233774,24.14188855178834,14.238056935187526,5.581863581303085,4.312726347148519,8.529044581403637,5.124741551057116,3.8094263593925044,1.9858219464219926,1.034162261206516,92.80448248714302
2024-04-03,24.046750372233774,24.136636454299694,14.238056935187526,5.609635277329862,4.348200889212574,8.529044581403637,5.123656416939353,3.7711744750162204,1.9810551627756054,1.034162261206516,92.81837282560477
2024-04-05,24.046750372233774,24.134667479047497,14.238056935187526,5.636992470430866,4.395868725676444,8.529044581403637,5.120720354548463,3.7253891726735677,1.9783263518476015,1.034162261206516,92.83997870425588
2024-04-08,24.046750372233774,24.157767468036486,14.238056935187526,5.629410521080272,4.535798005035241,8.529044581403637,5.111635313963285,3.6191301386848465,1.9677219853299142,1.034162261206516,92.8694775821615
2024-04-09,24.046750372233774,24.196022633894266,14.238056935187526,5.629410521080272,4.535798005035241,8.529044581403637,5.112999719427287,3.5623082641696127,1.9777391393694232,1.0350258089685427,92.86315598076959
2024-04-10,24.046750372233774,24.21676496478337,14.238056935187526,5.64718233402278,4.600477732411036,8.529044581403637,5.1155385498476456,3.553664151071726,1.9697254161378157,1.0350258089685427,92.95223084606785
2024-04-11,24.046750372233774,24.219182898517044,14.238056935187526,5.658097577734797,4.614795354305438,8.529044581403637,5.112740136970022,3.5528869580859017,1.9727651042601497,1.0350258089685427,92.97934572766682
2024-04-12,24.046750372233774,24.129556053489285,14.238056935187526,5.70486732452616,4.611755666183106,8.529044581403637,5.04797621368743,3.637417230576956,1.970278086705513,1.034162261206516,92.9498647251999
