date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,OCBC BANK (HONG KONG) LTD,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,ICBC (ASIA) SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,70.28087663361075,0.0,0.0,29.71912336638925
2024-03-05,43.944445389452895,0.0,18.074336586764726,16.235464287731933,12.126721772517591,0.0,4.444867492553869,3.3018373550444555,0.0,1.8723271159345314
2024-03-06,43.95196971397613,0.0,18.077431339077922,16.238244181777784,12.128798153029638,0.0,4.428506202282134,3.302402707401554,0.0,1.8726477024548323
2024-03-08,33.687429296702675,23.34390494609395,13.85735198441015,12.447513201130073,9.297395299246555,0.0,3.3946951897700943,2.536221938951124,0.0,1.4354881436953757
2024-03-12,33.68686485246335,23.343513811093587,13.857119799804101,12.447304638848326,9.297239518252667,0.0,3.3946383105072906,2.537854977423286,0.0,1.4354640916073937
2024-03-13,33.71087042510534,23.360148615756046,13.891307064064254,12.190692813584924,9.37372847274073,0.0,3.4987788433882394,2.5396634764415884,0.0,1.4348102889188827
2024-03-14,34.008905260186815,23.37068117147473,13.898900502974811,12.197356641598402,9.376755401345624,0.0,3.1707546808141815,2.5410517388543905,0.0,1.4355946027510442
2024-03-15,34.03840917046344,23.39095605168953,13.910958283436903,12.205139773981594,9.38489006336813,0.0,3.088151186450026,2.544655439521402,0.0,1.4368400310889786
2024-03-18,34.05375237527169,23.40149979442335,13.917228808036128,12.210641381249072,9.389120410609806,0.0,3.0472668158269176,2.543002711308101,0.0,1.437487703274929
2024-03-19,34.10024750288244,23.433450920021325,13.950248547637866,12.227313121942252,9.401939801167217,0.0,2.9008749482539073,2.546474787873226,0.0,1.4394503702217638
2024-03-20,33.171392064626424,22.7414372741611,13.55695651475254,11.89454714772279,9.146066280444687,2.8071338400401813,2.8050185584594938,2.4771725499112907,0.0,1.400275769881495
2024-03-21,33.17871904590316,22.738650705983737,13.558810021979163,11.883730423941383,9.148236916652737,2.807800057205813,2.8056842736052787,2.4777604573531953,0.0,1.4006080973755413
2024-03-22,33.17763297021863,22.737906376596083,13.558366186463525,11.883341420657771,9.147937457301769,2.8077081463829474,2.8088658425753805,2.47767935008136,0.0,1.400562249722532
2024-03-25,33.4807387976303,22.75414897818569,13.570656364293368,11.89411324797561,9.154864580590392,2.8102532341862103,2.453467708943593,2.479925278491837,0.0,1.4018318097029994
2024-03-26,33.572822987454124,22.733735628441302,13.563845831243599,11.89771902951844,9.157639940219441,2.8111051816186285,2.3801975321767643,2.4806770847518202,0.0,1.4022567845758793
2024-03-27,33.56402284698679,22.725319255952627,13.552099183118607,11.894600388028573,9.155239530880815,2.8103683320401487,2.416434392003834,2.4800268473020814,0.0,1.401889223686521
2024-03-28,33.60376745487287,22.68525021641891,13.540648906631581,11.889341386189974,9.149008316837657,2.809125773926114,2.442658199449019,2.478930344239829,0.0,1.401269401434039
2024-04-02,33.22740689770847,22.276969176876918,13.33439405156858,11.699491985753301,9.006017667405027,2.7652217020484664,2.3601533718669745,2.429440668723228,1.5215356383810643,1.379368839667976
2024-04-03,33.3440932785985,22.262610766715728,13.334322404541998,11.699429123218263,9.005969277175616,2.7652068442370035,2.2486488750158804,2.4388305392964966,1.5215274630186215,1.3793614281818942
2024-04-05,33.313306016594545,22.13522930185921,13.331136395830553,11.572675017901132,8.986112389622752,2.7626536739679146,2.57859201630265,2.4220847449121803,1.5201226065644733,1.3780878364445883
2024-04-08,33.86832388998837,21.985575143776526,13.255895427248527,11.522956826762137,8.88997145829297,2.746970488154023,2.4273338039916954,2.4141987351723566,1.5151732745040345,1.373600952109363
2024-04-09,33.13109210796462,22.3077155941845,13.424337475899929,11.662546218064795,9.020230475442187,2.7872200747363345,2.2465519101955693,2.4495724319183765,1.5414459262804958,1.4292877853131987
2024-04-10,33.0489156623596,22.268902388629645,13.392394423841989,11.633619112620105,8.993795521488723,2.7803068151880406,2.468434653497631,2.4434966540644165,1.544392105794328,1.425742662515527
2024-04-11,33.05231662317506,22.284734390923234,13.393501785794552,11.618567837252833,8.994721044929896,2.780592927889287,2.454606678230836,2.443748106682653,1.5505088011353294,1.426701803986321
2024-04-12,33.029597173339646,22.294042895369838,13.394849617320457,11.597050412567517,8.9936800748383,2.7786816082605266,2.493512649476328,2.442068326921581,1.55079612197971,1.4257211199260993
2024-04-15,33.00074288488257,22.288634171165526,13.383476990353198,11.59098965410638,8.986314563791103,2.776322424671734,2.5527744913323,2.4399949380516737,1.5562392414873443,1.4245106401581669
2024-04-16,34.02173225335694,21.876849408952744,13.231758519839895,11.381091290752774,8.831172739041032,2.725029588121504,2.611770186999842,2.3949157857065813,1.5274875646873767,1.3981926625413073
2024-04-17,34.02356055075234,21.850478250309934,13.202943381502738,11.388666472189323,8.83231360576712,2.7253816246716385,2.655372753641287,2.3952251760687036,1.5276848951879296,1.398373289908984
2024-04-18,34.000733046513545,21.716623919899572,13.185434637714621,11.402865099497026,8.826456580141407,2.7235743258450746,2.82655776409365,2.3936368158879207,1.526671832248986,1.3974459781581923
2024-04-19,34.541708216958284,21.683896465541064,13.165299028175879,11.385680718145833,8.812890051319593,2.719469836364119,2.3813150363740423,2.390029549862973,1.5243711024995261,1.3953399947586846
2024-04-22,34.54105503976348,21.728292689690228,13.160105610019393,11.3745705649177,8.789557296921751,2.7183970658942678,2.3803756604647104,2.389086736271559,1.5237697719453167,1.394789564111592
2024-04-23,34.546451285882235,21.718447658100164,13.159778450066486,11.37634758018816,8.790930463271026,2.7188217529687986,2.3807475394621576,2.389459976174426,1.5240078259569345,1.395007467929618
2024-04-24,34.54965324569036,21.70059943852472,13.159674091987492,11.377402004198707,8.791745256251831,2.7190737486920766,2.394209005701308,2.3896814447919557,1.5241490795915151,1.3938126845700378
2024-04-25,34.54718311008412,21.684484104717104,13.158733237984993,11.376588574159417,8.78714473080602,2.7188793478732065,2.419723156624499,2.3895105939535295,1.5240401101936476,1.3937130336034678
2024-04-26,34.56054435020174,21.692870652414108,13.16302772390537,11.380988508335651,8.777298209757507,2.7199308836728697,2.3960233317299227,2.3904347452716754,1.5246295378698864,1.3942520568412726
2024-04-29,34.54788172588173,21.689078670033236,13.173969448819756,11.378999075558776,8.775763910277448,2.7194554311542367,2.406463483575777,2.3900168897198713,1.524363027805931,1.3940083371732424
2024-04-30,34.54925429835738,21.689940367796385,13.170519887985604,11.379451158295872,8.776112567601551,2.719563473948385,2.4065590913345223,2.3901118440625195,1.5244235900931202,1.394063720524662
2024-05-02,34.54779022492767,21.687432110505203,13.19644702602487,11.372347623633189,8.77362184684767,2.7194482286065247,2.394538744158772,2.3900105596986165,1.5243589904912127,1.3940046451062775
2024-05-03,34.54774639614235,21.68740459691317,13.186492763627694,11.390343148386487,8.773610716260565,2.719444778599685,2.386590139201569,2.3900075276303125,1.5243570566250377,1.394002876613129
