date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,HANG SENG SECURITIES LTD,CINDA INTERNATIONAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-07,18.738239911791847,3.9954337899543377,0.0,0.0,0.0,0.0,0.0,0.0,22.733673701746184
2024-03-12,18.738239911791847,4.006669543019451,0.0,0.0,2.5744855523196586,0.0,0.0,0.0,25.319395007130957
2024-03-13,18.738239911791847,4.006669543019451,0.0,3.083839691271468,2.5744855523196586,0.0,0.0,0.0,28.403234698402425
2024-03-15,18.738239911791847,3.999179040976043,0.0,3.083839691271468,2.5744855523196586,0.0,0.0,0.0,28.39574419635902
2024-03-19,18.738239911791847,3.999179040976043,0.0,3.083839691271468,2.5744855523196586,1.5864883327940171,0.0,0.0,29.982232529153034
2024-03-22,18.738239911791847,4.008916693632474,0.0,3.083839691271468,2.5744855523196586,1.5864883327940171,0.0,0.0,29.991970181809464
2024-03-27,18.738239911791847,4.005171442610769,0.0,3.083839691271468,2.5565083474154773,1.5864883327940171,0.0,0.0,29.97024772588358
2024-04-10,18.738239911791847,4.005171442610769,0.0,3.083839691271468,2.5565083474154773,1.5864883327940171,1.2374309375711596,0.0,31.20767866345474
2024-04-11,18.738239911791847,4.005171442610769,0.0,3.083839691271468,2.5565083474154773,1.5864883327940171,1.2471685902275913,0.0,31.21741631611117
2024-04-15,18.738239911791847,4.005171442610769,0.0,3.083839691271468,2.5565083474154773,1.5864883327940171,1.2546590922710004,0.0,31.22490681815458
2024-04-23,18.738239911791847,4.005171442610769,0.0,3.083839691271468,2.5752346025239996,1.5864883327940171,1.2546590922710004,0.0,31.243633073263105
2024-05-06,18.738239911791847,4.008916693632474,0.0,3.083839691271468,2.586470355589113,1.5864883327940171,1.2546590922710004,0.0,31.25861407734992
2024-05-13,18.738239911791847,4.008916693632474,0.0,3.083839691271468,2.5827251045674084,1.5864883327940171,1.2546590922710004,0.0,31.254868826328213
2024-05-16,18.738239911791847,4.008916693632474,0.0,3.083839691271468,2.578979853545704,1.5864883327940171,1.2546590922710004,0.0,31.25112357530651
2024-05-17,18.756966166900373,4.008916693632474,0.0,3.083839691271468,2.578979853545704,1.5864883327940171,1.2546590922710004,0.0,31.269849830415037
2024-05-22,18.756966166900373,4.009665743836814,3.158744711705557,3.083839691271468,2.578979853545704,1.5864883327940171,1.2546590922710004,0.0,34.42934359232493
2024-05-23,18.756966166900373,4.008916693632474,3.158744711705557,3.083839691271468,2.578979853545704,1.5864883327940171,1.2546590922710004,0.0,34.428594542120585
2024-05-29,18.76520571914812,4.008916693632474,3.158744711705557,3.083839691271468,2.578979853545704,1.5864883327940171,1.2546590922710004,0.0,34.43683409436834
2024-05-31,18.756966166900373,4.008916693632474,3.158744711705557,3.08533779168015,2.578979853545704,1.5864883327940171,1.2546590922710004,0.0,34.430092642529274
2024-07-08,18.756966166900373,4.008916693632474,3.158744711705557,3.08533779168015,2.616432363762749,1.5864883327940171,1.2546590922710004,0.0,34.46754515274632
2024-07-10,18.756966166900373,4.0141600450628605,3.158744711705557,3.08533779168015,2.616432363762749,1.5864883327940171,1.2546590922710004,0.0,34.472788504176705
2024-07-17,18.756966166900373,4.02165054710627,3.158744711705557,3.08533779168015,2.616432363762749,1.5864883327940171,1.2546590922710004,0.0,34.48027900622011
2024-07-23,18.756966166900373,4.02165054710627,3.158744711705557,3.08533779168015,2.616432363762749,1.5864883327940171,1.2396780881841825,0.0,34.465298002133295
2024-07-24,18.756966166900373,4.020152446697588,3.158744711705557,3.08533779168015,2.616432363762749,1.5864883327940171,1.2396780881841825,0.0,34.46379990172461
2024-07-25,18.756966166900373,4.020152446697588,3.158744711705557,3.08533779168015,2.616432363762749,1.5864883327940171,1.2321875861407734,0.0,34.4563093996812
2024-08-05,18.76445666894378,4.020152446697588,3.158744711705557,3.08533779168015,2.616432363762749,1.5864883327940171,1.2321875861407734,0.0,34.46379990172461
2024-08-09,18.76445666894378,4.020152446697588,3.158744711705557,3.08533779168015,2.61718141396709,1.5864883327940171,1.2321875861407734,0.0,34.464548951928954
2024-08-26,18.76445666894378,4.02165054710627,3.158744711705557,3.08533779168015,2.61718141396709,1.5864883327940171,1.2321875861407734,0.0,34.466047052337636
2024-09-03,18.76445666894378,4.02165054710627,3.158744711705557,3.08533779168015,2.63440956866693,1.5864883327940171,1.2321875861407734,0.0,34.48327520703748
2024-09-16,18.76445666894378,4.0215756420858355,3.158744711705557,3.080094440249763,2.63440956866693,1.5864883327940171,1.2321875861407734,0.0,34.47795695058666
