date,THE HONGKONG AND SHANGHAI BANKING,GF SECURITIES (HONG KONG) BROKERAGE LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,CLSA LTD
2024-03-01,63.629728225381314,0.0,13.715098511307444,3.8397596432868712,3.0356025695633315,9.322519873964778,3.259884921352457,3.197406255143803,0.0,0.0
2024-03-04,63.57753182612299,0.0,13.576769952135217,3.811302648124261,2.9317910904469042,9.657186108451752,3.235614531282225,3.2098038434366454,0.0,0.0
2024-03-05,63.57646431052216,0.0,13.52764362508492,3.837288549170523,2.963630533389812,9.677871963477616,3.2374478728341707,3.179653145520795,0.0,0.0
2024-03-06,63.629388888113745,0.0,13.457266976305196,3.8583815986726577,2.9441098318670984,9.684399575808849,3.2426359406704934,3.1838171885619624,0.0,0.0
2024-03-07,51.98738297610268,18.42179179467294,10.804485163457127,3.211297301607454,2.440855319813497,7.900832858094161,2.653617260880304,2.5797373253718328,0.0,0.0
2024-03-08,52.02449072320709,18.424270558888274,10.771210747581664,3.2235159503370387,2.454233145434693,7.8765338352045955,2.654290032372178,2.57145500697448,0.0,0.0
2024-03-11,51.99111989216627,18.427021360377836,10.764398702550093,3.242311211296019,2.489017222033055,7.837924283919281,2.655107337246808,2.5930999904106318,0.0,0.0
2024-03-12,52.01036352982029,18.442391633330946,10.777835892989337,3.2112013579998204,2.4800325932092173,7.838246929291334,2.657322004701475,2.5826060586575794,0.0,0.0
2024-03-13,52.040124070594395,18.461964618817543,10.773330058967582,3.1891954028976257,2.479501091437089,7.811766417436014,2.658771350844912,2.5853469890048317,0.0,0.0
2024-03-14,51.96207138111137,18.488317035159,10.772192509213427,3.188846986803614,2.5448195773173414,7.803513345775554,2.6573386353347233,2.582900529284966,0.0,0.0
2024-03-15,51.949829970271885,18.499121750273456,10.59567621105097,3.307299905367201,2.5637003155010625,7.835270928908256,2.6627919709687755,2.5863089476583876,0.0,0.0
2024-03-18,51.8855557161776,18.50230968369462,10.554976614486199,3.3411868268843596,2.5927145869332056,7.856548099378684,2.6776952330900596,2.5890132393552756,0.0,0.0
2024-03-19,51.97550988418473,18.481357664495093,10.474643301993302,3.3395095478958075,2.6194771676068247,7.849757624378853,2.673715183730474,2.58602962571491,0.0,0.0
2024-03-20,51.967064917886596,18.527671061802018,10.529374961607008,3.3128231128764547,2.6198962893237683,7.833998535023803,2.6273619424255923,2.581809179054762,0.0,0.0
2024-03-21,51.81161438614721,18.613258120669762,10.472960481742106,3.414160017631428,2.671549494863216,7.822525238775434,2.6191447798957337,2.57478748027511,0.0,0.0
2024-03-22,51.72431455761781,18.608156839627885,10.582079040672978,3.436239194624545,2.7004264568484095,7.796033254290256,2.585935336885645,2.5668153194324765,0.0,0.0
2024-03-25,51.723668041345064,18.714518006623752,10.48369965533926,3.453040660678293,2.67236685120716,7.810089458440103,2.5837669117007502,2.5588504146656215,0.0,0.0
2024-03-26,51.55798227845645,18.822234333971096,10.475323331833692,3.5273997539260025,2.6997090328685656,7.782532055284435,2.579693042686039,2.555126170973724,0.0,0.0
2024-03-27,51.36733597233224,18.840876109533735,10.44888404805489,3.5040855981385026,2.939684529723315,7.773402856917669,2.5738161796088534,2.551914705690799,0.0,0.0
2024-03-28,51.02325835558269,18.910954847981106,10.711494262826282,3.5053197730437065,2.9675783641325473,7.758921821683049,2.5747429514810407,2.547729623269578,0.0,0.0
2024-04-02,49.97688267604099,18.60569562225025,10.395411187159198,3.466950518026807,2.9323645064452815,7.589025885269077,2.5369884480575973,2.502868837766677,1.9938123189841297,0.0
2024-04-03,49.97924419090034,18.644196955873372,10.313055480031624,3.4775708266433183,2.9550311016563735,7.595713039555187,2.536285439438429,2.503154275549873,1.995748690351485,0.0
2024-04-05,50.05466151583895,18.59890561764249,10.305060467094872,3.519806937895456,2.942561865965025,7.528208556211405,2.5251422377375503,2.531846281988782,1.9938065196254733,0.0
2024-04-08,50.19496163680742,18.585714189322953,10.173443304438578,3.5491614962972866,3.0221552116642494,7.46468157119013,2.5227800021349003,2.493690968070048,1.9934116200744343,0.0
2024-04-09,50.255145234005774,18.57801792721652,10.121335600323365,3.5481005424000083,3.0212517962086998,7.44828261496659,2.5370087954406686,2.498041761613257,1.992815727825123,0.0
2024-04-10,50.09027165083108,18.744601711372923,10.038971978624659,3.6399710566802392,3.0106853076764484,7.403670205712184,2.5569303740299016,2.512868170098817,2.0020295449737593,0.0
