date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BNP PARIBAS,UOB KAY HIAN (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,EMPEROR SECURITIES LTD
2024-03-01,82.76447344193392,1.533257791904131,2.5988773145723725,7.053982835334381,3.176286555702447,0.016310819962373574,0.0,0.9541679673732172,1.9026432732171632,0.0
2024-03-04,82.68418616353961,1.6009263734041335,2.615284480995762,7.176441998021771,3.180342561660501,0.007373541272847451,0.0,0.865024317720261,1.8704205633851139,0.0
2024-03-05,82.60567491789307,1.6073427686042967,2.615772730451583,7.226131018871282,3.1792408809934996,0.11266145644162227,0.0,0.7945034979585862,1.8586727287860598,0.0
2024-03-06,82.56628523729884,1.6298318801749923,2.605548293728757,7.316481217916011,3.184774071437076,0.01945035215491854,0.0,0.9255435476686444,1.7520853996207615,0.0
2024-03-07,82.57255094601487,1.6482356313443076,2.6364565052425606,7.337533267566649,3.185223154081211,0.006387222243341499,0.0,0.8655285664334291,1.7480847070736216,0.0
2024-03-08,82.4718072629527,1.7129739790320095,2.623743841252028,7.355326564122952,3.1854372101922745,0.01498368522886339,0.0,0.941295647576156,1.6944318096430149,0.0
2024-03-11,82.43488251645203,1.82139327367478,2.6203725581548345,7.348564266743951,3.185651073787309,0.01863962502958884,0.0,0.9491572905072554,1.6213393956502418,0.0
2024-03-12,82.30075456879833,2.035102591222826,2.6505661039193,7.365301936061003,3.1847308306274935,0.036803149041039714,0.0,0.8682006434694131,1.5585401768605922,0.0
2024-03-13,82.33444945760579,2.1621410474608926,2.696044882572363,7.379900960650271,3.1889495518715854,0.015599052693290082,0.0,0.7779365733220042,1.4449784738238083,0.0
2024-03-14,82.3253042071553,2.1560009743761053,2.779793369374911,7.39122374445156,3.1913294310905673,0.014854174191482135,0.0,0.8317723716129177,1.3097217277471687,0.0
2024-03-15,82.28584366114163,2.3193897318738284,2.8073024142703806,7.395014797145212,3.1925476675823856,0.012328171298310762,0.0,0.7537868498773582,1.2337867068108883,0.0
2024-03-18,82.18304781393981,2.4319239949001816,2.8070720844874613,7.3889239837926555,3.189592902273487,0.014361751637951127,0.0,0.7835380347100724,1.2015394342583836,0.0
2024-03-19,82.15235869853505,2.536595520789201,2.7989147282816487,7.388583226554239,3.18297502058081,0.023458570572370392,0.0,0.7766661413824104,1.1404480933042618,0.0
2024-03-20,81.95285958878978,2.6707799480650016,2.8070661747316303,7.37488319571471,3.182484999509961,0.0283254927983616,0.0,0.9058910541344483,1.0777095462561097,0.0
