date,UBS SECURITIES HONG KONG LTD,LUK FOOK SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,70.86089824645579,0.0,29.139101753544217,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,49.76043220534913,29.707959875231783,20.531607919419084,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,49.92208142432323,29.745593347035094,20.33232522864168,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,45.889181043183456,27.329997158070828,18.575172121569445,0.0,0.0,0.0,0.0,8.205649677176265
2024-03-07,0.0,0.0,41.96865916477539,24.97199884834223,17.166228441670054,0.0,0.0,8.395437160425988,0.0,7.497676384786341
2024-03-08,0.0,0.0,41.94116527922292,24.967162729705965,17.201636332537824,0.0,0.0,8.393811286167475,0.0,7.496224372365814
2024-03-11,0.0,0.0,41.628063984565536,24.97683684084577,17.479532880681756,0.0,0.0,8.39706366466751,0.0,7.518502629239424
2024-03-12,0.0,0.0,39.52263952005703,23.7135822405297,16.540288340574424,0.0,0.0,8.119515449748985,4.947341659032317,7.156632790057545
2024-03-13,0.0,0.0,39.52196539277101,23.787422616393624,16.466896665386443,0.0,0.0,8.119605956128076,4.947396805916691,7.156712563404158
2024-03-14,0.0,0.0,39.43272418523993,23.888671228505302,16.50312406884117,0.0,0.0,8.101271760624378,4.936225507609341,7.137983249179883
2024-03-15,0.0,0.0,36.357632996871494,22.025755492541414,15.199235861524404,0.0,7.81524426341971,7.469508423943751,4.55128269993158,6.58134026176765
2024-03-18,0.0,0.0,36.32776533487709,22.03908887420952,15.220564527650602,0.0,7.79191667767056,7.463372250203015,4.581358620478604,6.575933714910612
