date,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,ICBC INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,CMB INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,FIRST SHANGHAI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-04,0.0,0.0,37.704690535664724,44.42131557035803,0.0,0.0,0.0,0.0,0.0,17.873993893977243
2024-03-05,0.0,0.0,21.336062669763415,25.53241743101208,0.0,0.0,19.48588749360312,23.505097823091763,0.0,10.140534582529623
2024-03-06,88.10838595283343,0.0,2.5587459975383977,3.0586115997113983,0.0,0.0,2.3342780478833522,2.725210674488463,0.0,1.2147677275449524
2024-03-07,88.24337270929591,0.0,2.5522797313687824,3.0610366748627817,0.0,0.0,2.336128822166323,2.5914511843465213,0.0,1.2157308779596865
2024-03-08,88.25836412804938,0.0,2.537201432839202,3.0610655679678316,0.0,0.0,2.336150872870917,2.5914756450372134,0.0,1.215742353235451
2024-03-11,88.25264389838748,0.0,2.5436166547901635,3.060834438398701,0.0,0.0,2.3359744788889256,2.59127997244022,0.0,1.2156505570945197
2024-03-12,88.25253302249635,0.0,2.543640662384793,3.060863327686042,0.0,0.0,2.335996526679912,2.5913044298988677,0.0,1.215662030854031
2024-03-13,84.8697658811088,0.0,2.4461415452770816,2.9435387871367626,3.833053880193161,0.0,2.24645652117283,2.491978334901012,0.0,1.1690650502103455
2024-03-15,84.87053621633926,0.0,2.4461637481074,2.943565504679888,3.8330886715751507,0.0,2.2464769115272043,2.4910932863379442,0.0,1.169075661433147
2024-03-20,84.87348039362966,0.0,2.446274768305102,2.9436990996710373,3.833262637959231,0.0,2.2429480343161066,2.4912063456821345,0.0,1.169128720436724
2024-03-22,81.52841606439188,0.0,2.366269315688715,2.8327100002873764,3.688733474657291,3.948149614954962,2.188078492358889,2.3313299385652195,0.0,1.116313099095673
2024-03-25,81.49622088081335,0.0,2.360994485104561,2.831621714198998,3.6873163167682734,3.9466327931481566,2.2308953067463584,2.330434275423104,0.0,1.1158842277972
2024-03-26,81.47345279081858,0.0,2.363194735368039,2.832165752697173,3.6880247595737554,3.947391058338335,2.2313239278881523,2.3483483530689786,0.0,1.1160986222469895
2024-03-27,81.40138905747042,0.0,2.3612563384593073,2.8298426850050014,3.7722597057365004,3.9441532334944824,2.2294936972518586,2.346422133820058,0.0,1.115183148762378
2024-04-03,81.40183595697467,0.0,2.361421184600916,2.830040244516175,3.7707777357252046,3.944428586251345,2.229649344661988,2.346585944342891,0.0,1.1152610029268184
2024-04-05,81.40396709946268,0.0,2.3606103237998126,2.834477756636522,3.694952945312993,3.9445318534473772,2.3169761218811473,2.329193698418374,0.0,1.1152902010410946
2024-04-08,81.38621098764453,0.0,2.3600954193994257,2.833859490650401,3.715959331673327,3.9436714586637356,2.3164707351221723,2.328685646719803,0.0,1.115046930126605
2024-04-09,81.35143146861398,0.0,2.358214737254848,2.8326484713771247,3.71437135655169,3.985592214961041,2.3154808163504517,2.3276905080374224,0.0,1.1145704268534378
2024-04-10,81.36033063286489,0.0,2.3646289194204066,2.8330190816220884,3.6790956947268425,3.9861136708783698,2.3428230459473305,2.3279950519856385,0.0,1.1059939025544359
2024-04-11,81.3305361120816,0.0,2.3681225592359785,2.834597363798294,3.6908271260940686,3.984653938036974,2.3585314884879685,2.3271425296762986,0.0,1.1055888825888147
2024-04-12,81.32840876702076,0.0,2.3706762949198037,2.834523219854462,3.6907305859354462,3.9845497123146387,2.358469796895207,2.3270816591176744,0.0,1.1055599639420048
2024-04-15,81.3295482711815,0.0,2.3705316154723963,2.834350232401898,3.6905053452044165,3.9843065401650795,2.3583258623953043,2.326939640197067,0.0,1.1054924929823458
2024-04-18,81.32813016964568,0.0,2.3556692685681795,2.8438908786341233,3.6974155901888732,3.9842370678595778,2.3582847414792467,2.3268990665464364,0.0,1.1054732170778874
2024-04-19,81.2700305556497,0.0,2.3522440102937683,2.9054569534554506,3.704357427484891,3.981390787793526,2.356600017720238,2.3252367642496545,0.0,1.1046834833527772
2024-04-23,81.25374974921816,0.0,2.3521005695480857,2.9505794922442097,3.70413153434228,3.981148001049908,2.3564563113435453,2.3250949704162376,0.0,1.0767393718375682
2024-04-24,81.2459642474901,0.0,2.3492620033394886,2.9624916845968117,3.703776615061008,3.9807665388437017,2.356230522444686,2.3248721864713,0.0,1.0766362017529136
2024-04-25,81.24378441960019,0.0,2.3239397776319883,2.9635242533657262,3.726851769152527,3.9821540246637364,2.35705178046289,2.325682514623088,0.0,1.077011460499864
2024-04-26,81.32226803740707,0.0,2.318908628633716,2.966005357646961,3.7299719419904815,3.9854879401489596,2.271815335686661,2.327629608809097,0.0,1.077913149677049
2024-04-29,81.36749787510047,0.0,2.275105316273212,2.9657467154638533,3.729646680242886,3.9851403968449897,2.2716172283985117,2.327426634393715,0.0,1.0778191532823647
2024-04-30,81.3717553525983,0.0,2.269991953432288,2.965901895360435,3.7298418304838377,3.9853489155534216,2.2717360886250906,2.3275484147947663,0.0,1.0778755491518663
2024-05-03,81.3611124941263,0.0,2.2827743573462653,2.965513976063655,3.729353993167895,3.9848276596915326,2.2714389613777772,2.3272439876841795,0.0,1.0777345705423926
2024-05-07,81.38991259517478,0.0,2.2700741937948226,2.962594909092936,3.725683049732308,3.9809052439149424,2.269203098555454,2.3249531938750505,0.0,1.0766737158597086
2024-05-08,81.38920361769671,0.0,2.2674411565047468,2.9660534528999856,3.725650595767333,3.98087056674095,2.269183331807478,2.3249329414948785,0.0,1.0766643370879243
2024-05-09,81.53616526547005,0.0,2.293729460527187,2.9802820190840724,3.721663065238765,3.9774800318929335,2.2667546451719733,2.1484135197426495,0.0,1.0755119928723835
2024-05-10,81.51301460369386,0.0,2.292931377939547,3.0001215184042103,3.729066671677018,3.9760961033997235,2.2659659482293324,2.1476659985329065,0.0,1.0751377781233993
2024-05-13,81.50489414679404,0.0,2.2788353342290373,3.023370848007685,3.7287747580890174,3.9757848521988284,2.265788567048337,2.147497877943318,0.0,1.075053615689729
2024-05-14,81.47300536681806,0.0,2.2779437401801714,3.022187954529113,3.7273158754159526,3.974229326856322,2.3257631698404424,2.124921565267305,0.0,1.0746330010926306
2024-05-16,81.45243306740329,0.0,2.2775872978782536,3.0460556838799238,3.7258633338088445,3.9736074574814872,2.3253992449711176,2.1245890671810885,0.0,1.0744648473960006
2024-05-17,81.42558402072461,0.0,2.2774685085649766,3.07371322377319,3.7256690085475475,3.9734002109353086,2.3252779619890505,2.12447825760794,0.0,1.0744088078573708
