date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,UBS SECURITIES HONG KONG LTD,DEUTSCHE BANK AG,STANDARD CHARTERED BANK (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,HANG SENG SECURITIES LTD
2024-03-12,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,0.0,0.0,58.247933884297524,0.0,41.752066115702476
2024-03-15,0.0,68.32460732984293,0.0,0.0,0.0,18.45026178010471,0.0,13.225130890052355
2024-03-20,0.0,68.2817078275429,0.0,0.0,0.0,18.438677270824613,0.0,13.279614901632483
2024-03-25,0.0,68.3174536697728,0.0,0.0,0.0,18.39597947858863,0.0,13.286566851638574
2024-03-26,0.0,68.38905775075987,0.0,0.0,0.0,18.310449638402684,0.0,13.30049261083744
2024-03-27,0.0,68.531908204967,0.0,0.0,0.0,18.17038667085822,0.0,13.297705124174788
2024-03-28,35.40389476516857,38.46826882496791,0.0,0.0,0.0,10.199385037078647,8.317145583869207,7.611305788915668
2024-04-02,35.286254799342984,38.585908790793496,0.0,0.0,0.0,10.199385037078647,8.023045669305233,7.9054057034796426
2024-04-03,34.69805497021503,38.585908790793496,0.0,0.0,0.0,10.787584866206597,8.023045669305233,7.9054057034796426
2024-04-05,34.47837807132603,38.715712470915264,0.0,0.0,0.0,10.823874492630884,8.050035336940308,7.931999628187518
2024-04-09,34.37693542289128,38.89602374952373,0.0,0.0,0.0,10.792028374678747,8.026350437874488,7.908662015031753
2024-04-19,34.37693542289128,38.89602374952373,0.0,0.0,0.0,10.792028374678747,7.996928332163805,7.938084120742437
2024-05-17,34.380981666399386,38.86529121749762,0.0,0.0,0.0,10.79329862097072,7.997869588821816,7.96255890631046
2024-05-20,34.6023555507832,38.65021379999147,0.0,0.0,0.0,10.790758427338156,7.995987297029747,7.960684924857429
2024-05-22,34.59828421243056,38.65743226051262,0.0,0.0,0.0,10.789488778843424,7.995046483341447,7.959748264871948
2024-07-23,34.421793120083066,38.65743226051262,0.0,0.0,0.0,10.965979871190918,7.995046483341447,7.959748264871948
2024-08-12,34.99542950281446,38.3192816665476,0.0,0.0,0.0,10.870056464228387,7.925110909273808,7.890121457135734
