date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA CITIC BANK INTERNATIONAL LTD,DEUTSCHE BANK AG
2024-03-01,3627781000.0,596887062.0,234651559.0,220012009.0,145556082.0,242119621.0,136645435.0,87307200.0,5476840.0,222056457.0
2024-03-04,3614514800.0,605407358.0,231865367.0,288740209.0,145603510.0,243127101.0,136875435.0,84806200.0,5500840.0,222506473.0
2024-03-05,3613834800.0,636401958.0,213892827.0,295172996.0,145515110.0,248790101.0,143144835.0,85081400.0,5508840.0,222562073.0
2024-03-06,3615806400.0,638437171.0,217670227.0,208954596.0,145489110.0,248455501.0,143444635.0,85181600.0,5728840.0,0.0
2024-03-07,3624755400.0,659541711.0,217822357.0,186728624.0,145631060.0,248505061.0,143184635.0,84745400.0,5827840.0,222722073.0
2024-03-08,3614044400.0,643856411.0,259610857.0,119517424.0,145514882.0,253650661.0,142941635.0,98399200.0,5839840.0,222749673.0
2024-03-11,3623630800.0,648895121.0,252724747.0,140991824.0,145380432.0,253477461.0,143032635.0,107054400.0,5843840.0,221261673.0
2024-03-12,3532436200.0,644633121.0,254090147.0,114869094.0,145385032.0,253284591.0,143132635.0,121584200.0,5830440.0,221298293.0
2024-03-13,3463850800.0,639429321.0,254698947.0,136938094.0,104169032.0,258805811.0,142815235.0,131769400.0,5821040.0,221334293.0
2024-03-14,3345135400.0,620881296.0,306334642.0,88225890.0,104744023.0,243694859.0,142745827.0,119623981.0,5703240.0,216919293.0
2024-03-15,3526994800.0,621828116.0,274910442.0,122130470.0,104540823.0,243236859.0,143255827.0,119427781.0,5663240.0,216733293.0
2024-03-18,3528084600.0,632506104.0,273518698.0,104637406.0,103522233.0,242949547.0,0.0,119833581.0,5639040.0,213219513.0
2024-03-19,3535810400.0,634444904.0,303630768.0,129681806.0,103558568.0,242708347.0,143335827.0,120509981.0,5642040.0,212840643.0
2024-03-20,3542097400.0,626569270.0,303524968.0,157000406.0,103315168.0,243079747.0,144099861.0,123374781.0,5649440.0,212430643.0
2024-03-21,3542918600.0,628415580.0,303030098.0,196960806.0,103356578.0,241891707.0,144349861.0,123617581.0,5659440.0,212530643.0
2024-03-22,3553453200.0,625812780.0,303045298.0,205333406.0,102766636.0,241887307.0,144437261.0,123681781.0,5669440.0,212558243.0
2024-03-25,3556093600.0,622924490.0,304418988.0,194589206.0,102689835.0,242000707.0,0.0,124790581.0,5641040.0,212540243.0
2024-03-26,3592308800.0,637056490.0,304429623.0,278829206.0,102856585.0,233686307.0,142037261.0,123728181.0,5671040.0,211684828.0
2024-03-27,3413199000.0,639041690.0,304435223.0,344529206.0,103774685.0,232993207.0,141587261.0,0.0,0.0,211619228.0
2024-03-28,3511056800.0,636664090.0,301485805.0,146605406.0,103736285.0,232934225.0,0.0,123914381.0,5683040.0,211809228.0
2024-04-02,3517552800.0,645212670.0,290159049.0,162669386.0,103706285.0,237138291.0,141913891.0,124117381.0,5674640.0,211847228.0
2024-04-03,3495199800.0,635715050.0,271289549.0,176429406.0,103634485.0,238033971.0,141546491.0,123690781.0,0.0,211803448.0
2024-04-05,3500477600.0,632578598.0,266752703.0,220853406.0,103621285.0,238081739.0,0.0,125685781.0,5679640.0,219277178.0
2024-04-08,3500981400.0,638656098.0,258384103.0,150670406.0,103458685.0,238035539.0,0.0,125627781.0,5671040.0,219297878.0
2024-04-09,0.0,640410484.0,252756167.0,124095406.0,103100233.0,237931539.0,141381291.0,125980781.0,0.0,219324362.0
2024-04-10,3501592400.0,641222484.0,239656667.0,58779966.0,103106733.0,237966199.0,141081291.0,125943181.0,0.0,219264442.0
2024-04-11,3500822600.0,635771184.0,208246967.0,121769566.0,103213733.0,237891599.0,0.0,126287181.0,0.0,219370842.0
2024-04-12,3498130200.0,625548748.0,207622767.0,104695896.0,102985733.0,234058066.0,139941532.0,130669981.0,5668040.0,219392442.0
2024-04-15,3502639200.0,624653853.0,204232517.0,52198796.0,102714238.0,233945866.0,139921932.0,135596781.0,0.0,225382796.0
2024-04-16,3509208000.0,630554733.0,200172406.0,212747436.0,102746928.0,234005426.0,134576652.0,136635781.0,5672040.0,225273307.0
2024-04-17,3511747200.0,633805140.0,207306606.0,73243236.0,102718400.0,228181426.0,131984445.0,137296581.0,0.0,225253507.0
2024-04-18,3518060291.0,634181773.0,209336063.0,94228625.0,103177315.0,222253010.0,132591181.0,136622581.0,5922640.0,225343507.0
2024-04-19,3523764200.0,635108055.0,212519263.0,110571116.0,103060315.0,222323010.0,136768981.0,136639181.0,5921840.0,225368807.0
2024-04-22,3513263600.0,626870333.0,228908265.0,112970116.0,102981915.0,222045790.0,139781181.0,138335401.0,0.0,225379607.0
2024-04-23,3538998800.0,636846153.0,257854573.0,97737796.0,102619815.0,221200590.0,134863981.0,137920601.0,0.0,225339019.0
2024-04-24,3531327000.0,547581510.0,257862973.0,211523796.0,104184015.0,222441070.0,205490344.0,134798001.0,0.0,226806019.0
2024-04-25,3517645600.0,530770710.0,259730773.0,194441796.0,104308815.0,222024070.0,206490344.0,134737401.0,5718840.0,227006019.0
2024-04-26,3500226600.0,517158090.0,259229573.0,194598346.0,103894780.0,222435910.0,209151974.0,134845801.0,5378840.0,215056211.0
2024-04-29,3510727600.0,519217230.0,255112857.0,78384146.0,103395930.0,222371910.0,208898530.0,135072801.0,5390840.0,211423231.0
2024-04-30,3491863000.0,506317044.0,254172297.0,105039566.0,102249930.0,230580180.0,210359530.0,133914201.0,5297840.0,204557231.0
2024-05-02,3495056600.0,518962732.0,256234897.0,176486966.0,95953630.0,230448924.0,197544730.0,136746001.0,5267840.0,200024831.0
2024-05-03,3499515600.0,518987442.0,245539427.0,225916282.0,95506630.0,233448568.0,197744730.0,133850601.0,5289840.0,198954831.0
2024-05-06,0.0,507212415.0,231932708.0,233322282.0,95149452.0,233981494.0,200842530.0,134095201.0,5216840.0,195725531.0
2024-05-07,0.0,516567773.0,213583753.0,241460002.0,94515557.0,233357258.0,204893391.0,133345401.0,5183640.0,193666841.0
2024-05-08,3421305600.0,515363373.0,212882353.0,294391602.0,94491510.0,230889360.0,203601291.0,133462801.0,5162640.0,183594341.0
