date,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,VALUABLE CAPITAL LTD,KGI ASIA LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,93.47717009533368,0.0,0.0,6.522829904666332,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,93.12896405919662,0.0,0.0,6.871035940803383,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,70.2110712863401,24.611708482676224,0.0,5.1772202309836715,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,69.83870967741936,24.91935483870968,0.0,5.241935483870968,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,63.02952503209242,19.83311938382542,0.0,4.17201540436457,12.965340179717586,0.0,0.0,0.0,0.0
2024-03-15,0.0,64.76282671829622,19.94191674733785,0.0,4.194901581155212,11.100354953210713,0.0,0.0,0.0,0.0
2024-03-18,0.0,66.47221369358304,18.97451642615904,0.0,3.9914031317163037,10.561866748541602,0.0,0.0,0.0,0.0
2024-03-19,0.0,67.47095621090259,18.40929401251117,0.0,3.872505212987787,10.247244563598452,0.0,0.0,0.0,0.0
2024-03-20,0.0,68.01287679250805,18.086040386303775,0.0,3.8337723148961076,10.067310506292069,0.0,0.0,0.0,0.0
2024-03-22,0.0,64.38839164632493,16.761594792514238,0.0,3.553024138866287,9.330078654732846,0.0,0.0,5.9669107675617035,0.0
2024-03-25,0.0,64.46975861133714,16.680227827502033,0.0,3.553024138866287,9.330078654732846,0.0,0.0,5.9669107675617035,0.0
2024-03-26,0.0,65.1595744680851,16.356382978723406,0.0,3.4840425531914896,9.148936170212766,0.0,0.0,5.851063829787234,0.0
2024-04-02,0.0,65.28332003192338,16.227720138334664,0.0,3.4849694067571164,9.151370045224795,0.0,0.0,5.852620377760043,0.0
2024-04-03,0.0,65.53462456885116,16.184664367206157,0.0,3.475723003449191,8.967895993632263,0.0,0.0,5.837092066861237,0.0
2024-04-05,89.56248610184568,6.815654881031799,1.6955748276628866,0.0,0.37525016677785195,0.9395152323771403,0.0,0.0,0.6115187903046475,0.0
2024-04-09,89.56248610184568,6.537691794529686,1.6955748276628866,0.0,0.6532132532799644,0.9395152323771403,0.0,0.0,0.6115187903046475,0.0
2024-04-10,89.16592871374806,6.508744742085455,1.6880673013061767,0.0,0.6503210095195926,0.9353553243303078,0.0,0.0,0.6088111578481292,0.44277175116227585
2024-04-12,89.15112611366277,6.527032261634663,1.687787062143766,0.0,0.6502130485307952,0.9324331802335233,0.0,0.0,0.6087100879862763,0.442698245808201
2024-04-16,89.15359287236103,6.52721286073988,1.68506682161534,0.0,0.6502310395395811,0.9324589801056972,0.0,0.0,0.6087269306327994,0.44271049500567217
2024-04-18,89.40344062153163,6.54550499445061,1.409544950055494,0.0,0.6520532741398446,0.935072142064373,0.0,0.0,0.6104328523862376,0.4439511653718091
2024-04-19,89.4059213629679,6.542911845500708,1.4095840617109243,0.0,0.6520713671300535,0.9350980881822469,0.0,0.0,0.610449790504731,0.4439634840034407
2024-04-22,89.40840224207781,6.495920972307009,1.4096231755369333,0.0,0.6520894611243687,0.9351240357400521,0.0,0.0,0.6548643098951108,0.4439758033187191
2024-04-23,89.43615072978523,6.5014706698484925,1.4540207558688052,0.0,0.5743936955435929,0.9351240357400521,0.0,0.0,0.6548643098951108,0.4439758033187191
2024-04-24,89.41630139266493,6.522221605726017,1.453698052488487,0.0,0.5742662153914443,0.9349164955889697,0.0,0.0,0.6547189702047383,0.4438772679354159
2024-04-30,89.1442637459896,6.806615776081425,1.4492753623188406,0.0,0.5725190839694656,0.9320721318729948,0.0,0.0,0.6527270715787145,0.44252682818895894
2024-05-02,89.13440265486726,6.805862831858407,1.4491150442477876,0.0,0.5835176991150443,0.9319690265486725,0.0,0.0,0.6526548672566371,0.4424778761061947
2024-05-06,89.1516609963212,6.787818438303875,1.4493956241529058,0.0,0.5836306807180593,0.9321494758387961,0.0,0.0,0.6527812353055071,0.4425635493596659
2024-05-09,89.176327366295,6.762028608582575,1.4497966411199956,0.0,0.583792158924273,0.9324073817890047,0.0,0.0,0.6529618460006087,0.44268599728854824
2024-05-13,89.176327366295,6.759261821099521,1.4497966411199956,0.0,0.5865589464073264,0.9324073817890047,0.0,0.0,0.6529618460006087,0.44268599728854824
2024-05-14,87.89473684210526,7.2811562585219525,1.4289610035451321,0.0,0.5781292609762748,0.9190073629670029,0.8181074447777474,0.0,0.6435778565584946,0.436323970548132
2024-05-16,87.92350919308201,7.2508047356647936,1.429428774073872,0.0,0.5783185116482077,0.9193082001200283,0.8183752523323694,0.0,0.6437885318347973,0.43646680124393034
2024-05-20,87.89473684210526,7.2811562585219525,1.4289610035451321,0.0,0.5781292609762748,0.9190073629670029,0.8181074447777474,0.0,0.6435778565584946,0.436323970548132
2024-05-21,87.84682474788771,7.331698010357046,1.4281820659580269,0.0,0.5778141182883619,0.9185064050149905,0.8176614881439084,0.0,0.6432270373398746,0.43608612701008453
2024-05-22,87.8420364112068,7.380355390820887,1.428104218903303,0.0,0.5777826229150769,0.9184563392565136,0.8176169192194483,0.0,0.5995857407609287,0.43606235691703915
2024-05-29,87.8023449670666,7.401131487605564,1.432124408975375,0.0,0.5794091120282052,0.9210418431769112,0.8199185547568941,0.0,0.6012736068217224,0.44275601956872285
