date,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL
2024-03-01,1453977911.0,152807119.0,118190686.0,54425517.0,0.0,71138078.0,50605328.0,30629667.0,16016002.0,14224140.0
2024-03-04,1453947911.0,152724753.0,118458686.0,54387517.0,0.0,71012113.0,50575328.0,30487667.0,15994002.0,14220140.0
2024-03-05,1453881911.0,152670753.0,118876686.0,54385517.0,62222394.0,70691513.0,50549328.0,30384497.0,15916002.0,14108140.0
2024-03-06,1453263911.0,152937848.0,119742686.0,54401517.0,62232394.0,70748333.0,50665328.0,30382497.0,16164002.0,14146140.0
2024-03-07,1453285911.0,152871848.0,121094686.0,53861517.0,61970394.0,0.0,50739877.0,30348497.0,16016002.0,14230140.0
2024-03-08,1453261911.0,152782655.0,121618686.0,53978985.0,0.0,70753333.0,50981877.0,30142497.0,15852002.0,14218140.0
2024-03-11,1453259911.0,152604655.0,121968686.0,54244460.0,61994394.0,70453812.0,50975877.0,30107949.0,0.0,14122140.0
2024-03-12,1453382923.0,152663161.0,122548686.0,54176460.0,61970394.0,69944312.0,51151877.0,29789949.0,15874002.0,14134140.0
2024-03-13,1453374923.0,137500101.0,122898686.0,54968403.0,61968358.0,69747502.0,51211877.0,29775478.0,15918002.0,14158140.0
2024-03-14,1453280923.0,137565989.0,123279286.0,54814178.0,61972358.0,69908933.0,51231877.0,29745478.0,15895983.0,14086140.0
2024-03-15,1453292923.0,138365932.0,123625286.0,48693310.0,66520026.0,69609213.0,51213877.0,29615404.0,15925983.0,14075997.0
2024-03-18,1453266584.0,138387746.0,123923286.0,49274554.0,66572026.0,69346213.0,51223406.0,29637404.0,15937983.0,13993848.0
2024-03-19,1452827089.0,138136213.0,123957286.0,49216554.0,66520570.0,69197047.0,51233406.0,29598461.0,15993983.0,13989848.0
2024-03-20,1452371089.0,137395544.0,123986679.0,49318554.0,0.0,70432139.0,51435406.0,29588461.0,15939983.0,14001848.0
2024-03-21,1451265089.0,138017881.0,123997207.0,49423272.0,66562570.0,70395611.0,51487406.0,29570122.0,15943983.0,14011848.0
2024-03-22,1451275015.0,138053617.0,124215207.0,49447272.0,57084570.0,68935611.0,51509406.0,29610122.0,15789983.0,14135774.0
2024-03-25,0.0,137837617.0,124513207.0,51469195.0,58865588.0,68951422.0,51559217.0,29598085.0,15727983.0,14127774.0
2024-03-26,0.0,137816617.0,124657187.0,51475195.0,57203588.0,68876404.0,51549217.0,29568085.0,15679983.0,14105774.0
2024-03-27,0.0,134000745.0,125185187.0,55245261.0,66477588.0,68446504.0,0.0,29516085.0,15649983.0,14085774.0
2024-03-28,1451179015.0,132758745.0,126075187.0,55296102.0,66617588.0,68634504.0,51709217.0,29566085.0,15491983.0,14123774.0
2024-04-02,1451157015.0,141574580.0,126871187.0,54896102.0,66587588.0,66619222.0,51875217.0,29520085.0,15501983.0,14103662.0
2024-04-03,1450330071.0,141011866.0,127716187.0,54800102.0,66593588.0,66155266.0,52025217.0,29534085.0,15555983.0,14113662.0
2024-04-05,1450160071.0,140277184.0,128518187.0,54789650.0,62847710.0,69624404.0,52145217.0,29246085.0,15817983.0,14009474.0
2024-04-08,0.0,142225750.0,0.0,55699236.0,62625710.0,68165724.0,52225774.0,29284085.0,15833983.0,14021474.0
