date,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,EAST ASIA SECURITIES CO LTD,SHANGHAI COMMERCIAL BANK LTD,UOB KAY HIAN (HONG KONG) LTD,BNP PARIBAS,CHRISTFUND SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-04-11,53.86667216160015,23.19271126302069,22.94061657537916,0.0,0.0,0.0,0.0,0.0
2024-05-03,53.86161509997856,23.19525361093974,22.943131289081702,0.0,0.0,0.0,0.0,0.0
2024-05-30,44.817174281775,19.300307309051917,19.090521360040484,0.0,0.0,0.0,16.791997049132597,0.0
2024-06-04,38.18338227785933,16.443495688245,16.264762039459725,0.0,0.0,0.0,14.306462931029792,14.80189706340615
2024-07-26,38.183384679752635,16.44349504933068,16.264761407490127,0.0,0.0,0.0,14.306462375150181,14.801896488276375
2024-07-29,38.18338227785933,16.443495688245,16.264762039459725,0.0,0.0,0.0,14.306462931029792,14.80189706340615
2024-07-31,38.2696266388147,16.480636420493003,16.30149906809634,0.0,0.0,0.0,14.112907936641456,14.835329935954503
2024-09-23,37.50049925555022,16.315440065816915,16.138098325971082,0.0,0.0,0.0,13.971444895680648,16.074517456981134
2024-09-24,37.50049925555022,16.315440065816915,16.138098325971082,0.0,0.0,0.0,13.200393852872667,16.845568499789117
2024-10-03,37.57873208105818,16.272211065876185,16.171765318555963,0.0,0.0,0.0,13.096580131367585,16.880711403142097
2024-10-16,37.89495500732023,16.40914081084219,16.307849818182667,0.0,0.0,0.0,13.206787119837374,16.181267243817548
2024-10-17,39.00421113918894,16.889467019426093,16.78521105017038,0.0,0.0,0.0,13.5933744529569,13.72773633825769
2024-10-18,39.527255083787715,17.11595367802014,17.010299642970633,0.0,0.0,0.0,13.775660723762648,12.570830871458863
2024-11-08,39.55181890780231,17.10900123565009,17.00339011691151,0.0,0.0,0.0,13.770065097068803,12.565724642567291
2024-11-18,39.64008368411275,17.08401914124006,16.9785622329608,0.0,0.0,0.0,13.749958425641928,12.547376516044457
2024-11-19,39.73678796419705,17.125696595434288,17.01998241891926,0.0,0.0,0.0,13.539546453655312,12.577986567794094
2024-12-11,39.77699389927405,17.160583459837632,17.054653932307772,0.0,0.0,0.0,13.404159445124838,12.603609263455699
2025-01-22,39.7032954212629,17.181583887492444,17.075524727693107,0.0,0.0,0.0,13.420562913069833,12.619033050481713
2025-02-19,34.52851540799088,14.94220007932279,14.849964276364009,0.0,13.033628464252594,0.0,11.671376605169035,10.974315166900686
2025-03-07,29.929048093179034,12.951782592090803,12.871833316830983,13.320779247136125,11.297447588637608,0.0,10.116658292492579,9.512450869632866
2025-03-11,29.933357152652523,12.95098611366489,12.871041754938561,13.319960077017164,11.296752844635519,0.0,10.116036161908234,9.511865895183107
2025-03-12,29.95546272426337,12.960550324906103,12.880546927838783,13.255947483308523,11.305095416359217,0.0,10.123506782749544,9.518890340574462
2025-03-20,29.929589474066553,12.965337729809995,12.885304780860551,13.260844002854096,11.309271324625337,0.0,10.127246232448927,9.522406455334535
2025-03-25,29.92889483772988,12.96503681707238,12.88500572560897,13.260536231706507,11.311329749212724,0.0,10.127011189023772,9.522185449645761
2025-03-28,29.95045691999606,12.96104725261801,12.881040788095676,13.256455737008165,11.307849058819338,0.0,10.123894933787573,9.519255309675176
2025-04-02,29.946145565211836,12.961844969071597,12.881833580373625,13.257271635033344,11.308545025516555,0.0,10.124518031397331,9.519841193395711
2025-04-03,29.924580828282902,12.96583502470989,12.88579900603884,13.261352632110684,11.312026144442727,0.0,10.127634670298086,9.522771694116866
2025-04-07,30.13422393131373,13.056669977538931,12.97607324928252,12.653686336256866,11.391274982583358,0.0,10.198585998599972,9.589485524424623
2025-04-08,30.2066791826569,13.090756924845692,13.0099497833343,12.431867924829715,11.421014096059924,0.0,10.225211368172442,9.614520720101032
2025-04-11,30.31541078951626,13.14058232996002,13.05946762421953,12.104809933581407,11.464484206873198,0.0,10.264130072547122,9.651115043302463
2025-04-23,27.394776368430147,11.877042494603025,11.803727417475844,10.94086535590212,10.36211049743885,9.621193967612896,9.277177067246901,8.723106831290222
2025-04-24,27.43035663795966,11.892468368772908,11.819058070200237,10.825195566447134,10.375568781581604,9.633689951152222,9.289226242465068,8.734436381421164
2025-04-30,27.42881167090479,11.892721552762517,11.81930969132571,10.82542602879665,10.375789671628743,9.633895047014649,9.2894240048881,8.734622332678839
