date,SOLOMON JFZ (ASIA) HOLDINGS LTD,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,BNP PARIBAS,ABN AMRO CLEARING HONG KONG LTD,MIB SECURITIES (HONG KONG) LTD,BOOM SECURITIES (H.K.) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD
2024-04-30,83.36106489184692,0.0,0.0,0.0,0.0,16.638935108153078,0.0,0.0,0.0,0.0
2024-05-02,80.03194888178913,0.0,0.0,0.0,0.0,19.968051118210862,0.0,0.0,0.0,0.0
2024-05-03,84.93252864989489,0.0,0.0,0.1356208042313691,6.794602291991591,8.123686173459008,0.0,0.0,0.0,0.013562080423136908
2024-05-06,85.22241811893944,0.0,0.0,0.008476300264460569,6.496236522682579,8.259306977690379,0.0,0.0,0.0,0.013562080423136908
2024-05-07,83.70605436299594,0.0,0.0,0.18774506546155378,6.36671761812986,9.726191267362266,0.0,0.0,0.0,0.01329168605037549
2024-05-08,83.70605436299594,0.0,0.0,0.3538911410912474,6.434837509138035,9.493586761480694,0.0,0.0,0.0,0.011630225294078554
2024-05-09,83.70744512934687,0.0,0.0,0.3538970209513682,6.7988103743333275,9.128217056839517,0.0,0.0,0.0,0.011630418528918204
2024-05-10,83.70744512934687,0.0,0.0,0.395434229983219,6.7988103743333275,9.086679847807666,0.0,0.0,0.0,0.011630418528918204
2024-05-13,81.63876717971763,0.0,0.0,0.44564281166910086,7.662060442646894,10.24042242444669,0.0,0.0,0.0,0.013107141519679436
2024-05-14,81.42531655025586,0.0,0.0,0.4444776453890113,7.642027415679976,10.475105516751952,0.0,0.0,0.0,0.013072871923206216
2024-05-16,81.42531655025586,0.0,0.0,0.5005042393456094,7.642027415679976,10.419078922795354,0.0,0.0,0.0,0.013072871923206216
2024-05-17,81.41806095010458,0.0,0.0,0.5004481625336122,7.64117119808784,10.427248282043621,0.0,0.0,0.0,0.013071407230355544
2024-05-20,81.41619360621452,0.0,0.0,0.5004481625336122,7.445100089632508,10.625186734389006,0.0,0.0,0.0,0.013071407230355544
2024-05-21,81.40099324147717,0.0,0.0,0.5003547290989881,7.443710092976364,10.641872969642657,0.0,0.0,0.0,0.013068966804824316
2024-05-22,81.40099324147717,0.0,0.0,0.5003547290989881,6.420596691684404,11.664986370934617,0.0,0.0,0.0,0.013068966804824316
2024-05-23,81.34311638848438,0.0,0.0,0.5227586721929727,5.770882341958852,12.359508606848138,0.0,0.0,0.0,0.00373399051566409
2024-05-24,83.36011938927793,0.0,0.0,0.5357211188918226,2.8756744346228906,13.222745188076379,0.0,0.0,0.0,0.005739869130983814
2024-05-27,88.11430651619949,0.0,0.0,0.6694171419326134,2.693847834000728,8.516361283015815,0.0,0.0,0.0,0.006067224851352991
2024-05-29,87.10310237430733,0.0,0.0,0.8312098046353599,2.2307163370141168,9.828904259191845,0.0,0.0,0.0,0.006067224851352991
2024-05-30,87.08287829146948,0.0,0.0,0.8312098046353599,2.2307163370141168,9.84912834202969,0.0,0.0,0.0,0.006067224851352991
2024-05-31,86.76913742542219,0.0,0.0,0.8312266154312874,2.2307614521185153,10.162807159470118,0.0,0.0,0.0,0.006067347557892608
2024-06-03,87.33237596326934,0.0,0.0,0.8919722497522299,2.2713941870107806,9.49818976153395,0.0,0.0,0.0,0.006067838433688639
2024-06-04,87.33237596326934,0.0,0.0,0.8919722497522299,2.1520600311482374,8.403956230658766,1.2135676867377276,0.0,0.0,0.006067838433688639
2024-06-05,86.69525292773204,0.0,0.0,0.8919722497522299,2.1520600311482374,9.041079266196073,1.2135676867377276,0.0,0.0,0.006067838433688639
2024-06-06,86.69552202580802,0.0,0.0,0.8919542089721291,2.152016504186724,9.040896403867157,1.2135431414586788,0.0,0.0,0.006067715707293394
2024-06-07,86.69552202580802,0.06067715707293394,0.0,0.8919542089721291,2.152016504186724,8.980219246794222,1.2135431414586788,0.0,0.0,0.006067715707293394
2024-06-11,84.63654382913313,0.06067715707293394,0.0,0.8919542089721291,2.152016504186724,11.039197443469115,1.2135431414586788,0.0,0.0,0.006067715707293394
2024-06-12,80.16665992476032,0.06067715707293394,0.0,0.8980219246794223,2.1499939322842927,15.505036204037054,1.2135431414586788,0.0,0.0,0.006067715707293394
2024-06-13,79.92718446601941,0.06067961165048543,0.0,0.8980582524271844,1.901294498381877,15.993122977346278,1.2135922330097086,0.0,0.0,0.006067961165048544
2024-06-14,85.23167689193643,0.04707285308562552,0.0,0.6966782256672577,1.474949396682933,11.60345828560669,0.9414570617125103,0.0,0.0,0.004707285308562552
2024-06-17,76.31068938612167,0.07550778988699001,0.0,1.1175152903274521,2.3659107497923535,18.612670207143037,1.5101557977398001,0.0,0.0,0.007550778988699001
2024-06-18,78.87151739028641,0.07804167425405166,0.0,1.1550167789599646,2.4453057932936186,15.881480710699513,1.5608334850810333,0.0,0.0,0.007804167425405166
2024-06-21,78.04687703233527,0.07804167425405166,0.0,1.1550167789599646,2.4453057932936186,16.70612106865066,1.5608334850810333,0.0,0.0,0.007804167425405166
2024-06-24,78.04167425405166,0.07804167425405166,0.0,1.1550167789599646,2.4453057932936186,16.711323846934263,1.5608334850810333,0.0,0.0,0.007804167425405166
2024-06-26,78.31466833737959,0.07831466833737959,0.0,1.1590570913932179,2.4538596079045605,16.419975461403922,1.5662933667475918,0.0,0.0,0.00783146683373796
2024-06-27,78.31466833737959,0.07831466833737959,0.0,1.1590570913932179,2.451249118959981,16.422585950348502,1.5662933667475918,0.0,0.0,0.00783146683373796
2024-07-02,78.96814951302974,0.07896814951302975,0.0,1.1687286127928402,2.471703079757831,15.725190839694655,1.5793629902605948,0.0,0.0,0.007896814951302974
2024-07-03,79.15358433814411,0.07915358433814411,0.0,1.1714730482045328,2.477507189783911,15.527294794332603,1.583071686762882,0.0,0.0,0.00791535843381441
2024-07-04,81.34269678154064,0.08134269678154063,0.0,1.2038719123668014,2.546026409262222,13.191073994739838,1.6268539356308127,0.0,0.0,0.008134269678154064
2024-07-05,82.95542528481363,0.08295542528481362,0.0,1.2277402942152416,2.5965048114146665,11.469970136046898,1.6591085056962724,0.0,0.0,0.008295542528481362
2024-07-08,86.67013347200555,0.08667013347200554,0.0,1.3116080198763507,2.683885133183105,7.5056335586756795,1.7334026694401108,0.0,0.0,0.008667013347200556
2024-07-09,84.82243836236145,0.08482243836236146,0.0,1.3826057453064917,3.6784664103144085,8.193847545804116,1.696448767247229,0.0,0.0,0.14137073060393576
2024-07-11,84.82243836236145,0.08482243836236146,0.0,1.4080524768152003,3.6784664103144085,8.168400814295408,1.696448767247229,0.0,0.0,0.14137073060393576
2024-07-15,84.82243836236145,0.08482243836236146,0.0,1.4108798914272789,4.439040940963583,7.404998869034155,1.696448767247229,0.0,0.0,0.14137073060393576
2024-07-17,84.82243836236145,0.08482243836236146,0.0,0.8453969690115359,3.0620900248812486,9.290884415290659,1.696448767247229,0.0,0.18943677900927391,0.008482243836236147
2024-07-18,84.82243836236145,0.08482243836236146,0.0,0.8453969690115359,2.2449672019905,10.108007238181408,1.696448767247229,0.0,0.18943677900927391,0.008482243836236147
2024-07-19,84.82243836236145,0.08482243836236146,0.0,0.8510517982356932,2.239312372766342,10.108007238181408,1.696448767247229,0.0,0.18943677900927391,0.008482243836236147
2024-07-22,84.82243836236145,0.08482243836236146,0.0,1.4165347206514363,1.6738294503505995,10.108007238181408,1.696448767247229,0.0,0.18943677900927391,0.008482243836236147
2024-08-01,87.23212468378355,0.08723212468378355,0.0,1.4858538571137798,1.7213805937599955,7.52522462272106,1.7446424936756708,0.0,0.19481841179378326,0.008723212468378354
2024-08-02,87.23212468378355,0.08723212468378355,0.0,1.500392544561077,1.7213805937599955,7.510685935273763,1.7446424936756708,0.0,0.19481841179378326,0.008723212468378354
2024-08-05,50.51270394504218,0.050512703945042176,0.0,0.8688185078547255,0.9967840245154991,46.443063763869944,1.0102540789008434,0.0,0.11281170547726087,0.0050512703945042176
2024-08-06,52.383446830801475,0.05238344683080147,0.0,0.9009952854897852,1.0337000174611488,44.45957744019557,1.0476689366160294,0.0,0.11698969792212327,0.005238344683080147
2024-08-07,46.59542743538768,0.04659542743538767,0.0,0.5684642147117296,9.361021371769382,42.279137673956264,0.9319085487077534,0.0,0.1040631212723658,0.11338220675944334
2024-08-08,48.7353184853063,0.0487353184853063,0.0,0.5945708855207369,9.790925483698036,39.742027714151114,0.974706369706126,0.0,0.10884221128385073,0.004873531848530631
2024-08-09,50.845734042913804,0.0508457340429138,0.0,0.6203179553235484,10.214907969221382,37.13263957153995,1.016914680858276,0.0,0.11355547269584082,0.00508457340429138
2024-08-13,50.845734042913804,0.0508457340429138,0.0,0.6203179553235484,10.216602827022813,37.13433442934138,1.016914680858276,0.0,0.11355547269584082,0.0016948578014304599
2024-08-15,52.81597154979666,0.052815971549796656,0.0,0.6443548529075191,14.198693684970335,31.112128307600216,1.0563194309959332,0.0,0.11795566979454589,0.0017605323849932222
2024-08-16,53.19243248993777,0.05319243248993776,0.0,0.8262557846770333,14.890334935016577,29.85336619443607,1.0638486497987554,0.0,0.118796432560861,0.0017730810829979253
2024-08-19,53.95974602946202,0.05395974602946202,0.0,0.8381747216576434,15.105131571847402,28.841484252747453,1.0791949205892404,0.0,0.1205100994657985,0.0017986582009820674
2024-08-20,54.927952835197836,0.05492795283519784,0.0,0.8532142007067397,15.376164930333047,27.564677664463446,1.0985590567039567,0.0,0.12267242799860849,0.001830931761173261
2024-08-21,55.32095373324236,0.05532095373324236,0.0,0.8593188146563646,15.486178981725645,27.04641428018219,1.1064190746648472,0.0,0.12355013000424128,0.0018440317911080789
2024-08-22,55.60704355885079,0.05560704355885079,0.0,0.8637627432808156,15.566265060240964,26.66913809082484,1.1121408711770158,0.0,0.1241890639481001,0.0018535681186283596
2024-08-23,55.669988309302454,0.05566998830930245,0.0,0.8647404850711647,15.583885394050734,26.58613075024587,1.113399766186049,0.0,0.12432964055744215,0.0018556662769767484
2024-08-26,55.91590248266607,0.05591590248266608,0.0,0.868560351897413,15.652724968314322,26.261835532692164,1.1183180496533214,0.0,0.12487884887795422,0.0018638634160888692
2024-08-27,56.22294270882138,0.056222942708821375,0.0,0.8733297100770254,15.738675762289397,25.856931351786955,1.1244588541764275,0.0,0.1255645720497011,0.001874098090294046
2024-08-28,57.6579346927793,0.05765793469277931,0.0,0.8956199188945052,16.140377851665352,23.964559589475503,1.1531586938555862,0.0,0.12876938748054045,0.0019219311564259768
2024-08-29,58.06751316196965,0.05806751316196965,0.0,1.0955404149891608,16.255032517807372,23.23087643233199,1.161350263239393,0.0,0.1296841127283989,0.001935583772065655
2024-08-30,58.06751316196965,0.05806751316196965,0.0,1.0955404149891608,15.550480024775473,23.935428925363887,1.161350263239393,0.0,0.1296841127283989,0.001935583772065655
2024-09-10,58.06751316196965,0.05806751316196965,0.0,1.0955404149891608,16.22986992877052,23.256039021368846,1.161350263239393,0.0,0.1296841127283989,0.001935583772065655
2024-09-11,58.08437723866871,0.05808437723866871,0.0,1.095858583902883,16.234583438207903,23.233750895467484,1.161687544773374,0.0,0.12972177583302677,0.0019361459079556237
2024-09-13,58.08437723866871,0.05808437723866871,0.0,1.095858583902883,16.97419117504695,22.494143158628436,1.161687544773374,0.0,0.12972177583302677,0.0019361459079556237
2024-09-17,58.08437723866871,0.05808437723866871,0.0,1.2894731746984454,17.711862765978044,21.562856976901777,1.161687544773374,0.0,0.12972177583302677,0.0019361459079556237
2024-09-19,58.08437723866871,0.05808437723866871,0.0,1.2894731746984454,18.4379174814614,20.836802261418423,1.161687544773374,0.0,0.12972177583302677,0.0019361459079556237
2024-09-24,58.08437723866871,0.05808437723866871,0.0,1.2894731746984454,19.19107823965614,20.083641503223685,1.161687544773374,0.0,0.12972177583302677,0.0019361459079556237
2024-09-25,58.04616605073235,0.05804616605073235,0.0,1.2886248863262582,19.17845326316197,20.13621500299905,1.160923321014647,0.0,0.12963643751330226,0.0019348722016910781
2024-10-04,58.088875980249774,0.05808887598024978,0.0,1.4832026333623778,19.8373511472553,19.23903572465873,1.1617775196049955,0.0,0.12973182302255784,0.001936295866008326
2024-10-07,59.94964230046761,0.0599496423004676,0.0,1.5307142000719396,20.47280284560969,16.652012309659884,1.1989928460093522,0.0,0.13388753447104432,0.001998321410015587
2024-10-09,59.94964230046761,0.0599496423004676,0.0,1.5307142000719396,20.47280284560969,16.612045881459576,1.1989928460093522,0.03996642820031174,0.13388753447104432,0.001998321410015587
