date,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,GRANSING SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,ASTRUM CAPITAL MANAGEMENT LTD,QUAM SECURITIES LTD,TIGER FAITH SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,I WIN SECURITIES LTD,TIGER BROKERS (HK) GLOBAL LTD
2024-03-01,0.0,0.0,16.00107122212357,0.0,49.855861664469856,0.0,16.311295946530787,17.831771166875782,0.0,0.0
2024-03-04,0.0,0.0,15.989123531161656,0.0,49.86295297428146,0.0,16.31361600377429,17.834307490782585,0.0,0.0
2024-03-05,0.0,0.0,16.027492317056765,0.0,49.83152681090795,0.0,16.326620530719964,17.814360341315314,0.0,0.0
2024-03-06,0.0,0.0,16.374230820647334,0.0,48.98065309435134,0.0,16.30655292745334,18.33856315754799,0.0,0.0
2024-03-07,0.0,0.0,16.580641435505914,0.0,48.416048248964536,0.0,16.40605449559287,18.59725581993668,0.0,0.0
2024-03-08,0.0,0.0,16.742595066145316,0.0,47.97511678590516,0.0,16.469099895620822,18.813188252328708,0.0,0.0
2024-03-11,0.0,0.0,16.75318428797368,0.0,47.97234462423414,0.0,16.462369923997624,18.81210116379455,0.0,0.0
2024-03-12,0.0,0.0,16.75077907966114,0.0,47.973730665022316,0.0,16.462845562959266,18.81264469235728,0.0,0.0
2024-03-13,0.0,0.0,16.82065496346681,0.0,47.598469617464126,0.0,16.554914093731302,19.025961325337768,0.0,0.0
2024-03-14,0.0,0.0,16.815831443282452,0.0,47.60122982408565,0.0,16.55587410324143,19.027064629390463,0.0,0.0
2024-03-15,0.0,0.0,16.980126275012406,0.0,47.2170886536279,0.0,16.62299847752407,19.179786593835626,0.0,0.0
2024-03-19,0.0,0.0,16.982747605407905,0.0,47.21509430631655,0.0,16.622707373386987,19.179450714888553,0.0,0.0
2024-03-20,0.0,0.0,17.203907225093484,0.0,46.532139505504524,0.0,16.857002425880488,19.406950843521496,0.0,0.0
2024-03-21,0.0,0.0,17.26498758870459,0.0,46.29395456531175,0.0,16.921974270079602,19.519083575904055,0.0,0.0
2024-03-22,0.0,0.0,17.326719222188206,0.0,46.08287079193262,0.0,16.967993287205132,19.62241669867404,0.0,0.0
2024-03-25,0.0,0.0,17.47748384814857,0.0,45.73172453584717,0.0,17.071949107295435,19.718842508708825,0.0,0.0
2024-03-26,0.0,0.0,17.54500445975844,0.0,45.52866645434426,0.0,17.132072435572788,19.79425665032451,0.0,0.0
2024-03-27,0.0,0.0,17.69280997130314,0.0,41.5628436745753,0.0,17.17661637279996,23.5677299813216,0.0,0.0
2024-03-28,0.0,0.0,17.677487625289455,0.0,41.569068459675115,0.0,17.182184241290166,23.57125967374527,0.0,0.0
2024-04-02,0.0,0.0,17.67656389046859,0.0,40.701790882132755,0.0,17.7326605713498,23.888984656048855,0.0,0.0
2024-04-03,0.0,0.0,17.766731199165882,0.0,40.93031070142742,0.0,17.234461006352657,24.068497093054035,0.0,0.0
2024-04-05,0.0,0.0,17.574356852406602,0.0,41.041289823839236,0.0,17.268424743689426,24.11592858006473,0.0,0.0
2024-04-08,0.0,0.0,17.543932152311722,0.0,41.01269084598218,0.0,17.40787722744556,24.035499774260533,0.0,0.0
2024-04-09,0.0,0.0,17.54143389335653,0.0,41.013933450982115,0.0,17.408404652367825,24.036228003293534,0.0,0.0
2024-04-10,0.0,0.0,17.513523648695934,0.0,41.0195261054098,0.0,17.409263350464848,24.057686895429413,0.0,0.0
2024-04-12,0.0,0.0,17.597226306077218,0.0,41.08052277038231,0.0,17.435151192300896,23.887099731239577,0.0,0.0
2024-04-15,0.0,0.0,17.57221173741985,0.0,41.092993364650624,0.0,17.440443887764904,23.894351010164627,0.0,0.0
2024-04-16,0.0,0.0,17.562680333130153,0.0,41.21309742140306,0.0,17.372681502621177,23.851540742845607,0.0,0.0
2024-04-17,0.0,0.0,17.46896333750566,0.0,41.01450818126064,0.0,17.264730791807104,23.778270236565906,0.0,0.4735274528606924
2024-04-18,0.0,7.211921995977842,16.23048452871093,0.0,38.047354508432804,0.0,16.015731068272693,22.055237316868084,0.0,0.43927058173764993
2024-04-19,0.0,7.4293622268852095,16.182147997600914,0.0,37.73710842736011,0.0,15.852790580335336,22.363865518807128,0.0,0.43472524901130416
