date,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD,HANG SENG SECURITIES LTD
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-22,0.0,0.0,0.0,0.0,0.0,62.642538986622455,0.0,37.35746101337754
2024-03-27,41.20268688901915,20.68705039816049,0.0,19.046257180698113,0.0,11.972068260555629,0.0,7.091937271566621
2024-03-28,41.18991139595073,20.71164253314924,0.0,19.040351611305354,0.0,11.968356146452747,0.0,7.089738313141929
2024-04-03,41.18991139595073,20.71164253314924,0.0,19.03558138727274,0.0,11.973126370485366,0.0,7.089738313141929
2024-04-05,41.18008948332479,20.730549185115716,0.0,19.031042270512508,0.0,11.970271326687389,0.0,7.08804773435959
2024-04-08,41.17742456478159,20.734010065215745,0.0,19.031834483542855,0.0,11.967499831623138,0.0,7.089231054836671
2024-04-10,41.178406645635434,20.73450457099224,0.0,19.032288392461574,0.0,11.96778525628428,0.0,7.087015134626473
2024-04-15,41.17700371820555,20.734999100357204,0.0,19.03274232303225,0.0,11.968070694560492,0.0,7.087184163844511
2024-04-18,41.17111199589295,20.7463405611785,0.0,19.03001906435656,0.0,11.966358269109808,0.0,7.0861701094621825
2024-04-19,41.17209383252499,20.746835313837735,0.0,19.030472886682944,0.0,11.964258868580817,0.0,7.086339098373511
2024-04-30,41.17307571598726,20.74733009009497,0.0,19.03092673065509,0.0,11.962159367917659,0.0,7.086508095345026
2024-05-03,36.06210322916038,18.213659883029443,0.0,16.668544488673874,12.371609403330517,10.477250447481433,0.0,6.2068325483243605
2024-05-06,36.01395885220874,18.32284797899447,0.0,16.64629130271857,12.355092800767782,10.463262891299397,0.0,6.198546174011046
2024-05-07,36.01395885220874,18.412546028658486,0.0,16.64629130271857,12.355092800767782,10.373564841635382,0.0,6.198546174011046
2024-05-09,35.95994985441969,18.534900159156482,0.0,16.621327384870664,12.336564257918644,10.35800793374598,0.0,6.1892504098885475
2024-05-13,35.9537012358851,18.561977506139684,0.0,16.60049865642204,12.336564257918644,10.35800793374598,0.0,6.1892504098885475
2024-05-14,35.9514547666191,18.56706593955064,0.0,16.599461419399148,12.335793441243286,10.357360741782976,0.0,6.188863691404846
2024-05-23,35.9514547666191,18.57747965306172,0.0,16.58904770588807,12.335793441243286,10.357360741782976,0.0,6.188863691404846
2024-06-03,35.95295238160301,18.58450201588732,0.0,16.57932460172343,12.336307308323661,10.357792194105041,0.0,6.1891214983575225
2024-06-06,35.94471704287972,18.66562152012889,0.0,16.57552696217357,12.33348156905751,10.292949079904275,0.0,6.187703825856036
2024-06-11,35.922276191770806,18.716399849398403,0.0,16.56517860048898,12.325781582903339,10.286523030215298,0.0,6.183840745223174
2024-06-17,35.93723364450803,18.680472758799795,0.0,16.572076071982096,12.330913838289701,10.292888090283327,0.0,6.186415596137058
2024-06-18,35.93794443340312,18.68084223277554,0.0,16.572403844780553,12.331157726751158,10.293091669407566,0.0,6.184560092882066
2024-06-19,35.938692662616226,18.681231168539796,0.0,16.572748882786584,12.331414461870212,10.291223968555753,0.0,6.184688855631429
2024-06-21,35.94542812783114,18.684732319343716,0.0,16.575854871495284,12.31498401700466,10.293152702628243,0.0,6.185847961696952
2024-06-24,35.94467961813529,18.684343237782194,0.0,16.575509704147596,12.31472757590989,10.295020713345712,0.0,6.1857191506793185
2024-07-04,35.944527558179544,18.68438759226187,0.0,16.575549052499255,12.31475680965533,10.295045152539595,0.0,6.185733834864406
2024-07-12,35.94677317662382,18.68555489110393,0.0,16.576584602587264,12.309278712910835,10.29568833092723,0.0,6.186120285846922
2024-07-17,35.944527558179544,18.68438759226187,0.0,16.575549052499255,12.308509744214321,10.295045152539595,0.0,6.191980900305414
2024-07-18,35.94228222028825,18.68322043925454,0.0,16.574513631786147,12.307740871587763,10.29440205450649,0.0,6.197840782576807
