date,GRANSING SECURITIES CO LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,TIGER FAITH SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,KEE CHEONG SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CMB WING LUNG BANK LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-03-11,0.0,0.0,0.0,89.4206549118388,0.0,0.0,0.0,0.0,0.0,10.579345088161208
2024-03-20,79.4334512563335,7.775142868250204,0.0,3.0711814329588307,0.0,0.0,9.341834156202621,0.0,0.0,0.3783902862548433
2024-03-21,81.50516537683635,7.2666497111506745,0.0,2.3858833218278046,0.0,0.0,8.58554663372452,0.0,0.0,0.2567549564606571
2024-03-22,81.23089764204789,7.364764511654739,0.0,2.6144914016374328,0.0,0.0,8.480526335170433,0.0,0.0,0.30932010948949906
2024-03-25,81.09154627553333,7.3521302797485575,0.0,2.781555955838204,0.0,0.0,8.465978017130464,0.0,0.0,0.3087894717494394
2024-03-27,81.05181937317052,7.348528457176451,0.0,2.829183456012933,0.0,0.0,8.461830518438683,0.0,0.0,0.3086381952014109
2024-04-09,74.62646173276649,6.765976161210658,0.0,2.604900822066104,0.0,7.90491548168112,7.791021549634074,0.0,0.0,0.30672425264154984
2024-04-11,74.55225482773817,6.779737624153944,0.0,2.610198985299269,0.0,7.920993457553192,7.8294669996271145,0.0,0.0,0.30734810562831216
2024-04-12,74.06077379658961,6.861926600258466,0.0,2.801953361772207,0.0,8.017017577968641,7.947254657532681,0.0,0.0,0.3110740058783838
2024-04-15,73.79657000885679,6.901390630211987,0.0,2.9100863824060546,0.0,8.063124719631006,8.015965216991223,0.0,0.0,0.31286304190294345
2024-04-16,71.33498682030007,6.6732657850541095,0.0,2.8138937393644827,0.0,7.796598858871551,7.728753990056834,0.0,3.349979424097163,0.3025213822557863
2024-04-17,71.58152407625894,6.615871475670132,0.0,2.789692472240906,0.0,7.729543174074605,7.662281814071958,0.0,3.3211674807864062,0.299919506897046
2024-04-18,71.26518544864456,6.668815507218993,0.0,2.900934745640262,0.0,7.791399450934191,7.634682286514543,0.0,3.3477453846239347,0.39123717642351424
2024-04-19,71.20187449334267,6.66289102841723,0.0,2.9871961444070583,0.0,7.784477684867463,7.62789974569966,0.0,3.3447712962654497,0.3908896070004775
2024-04-22,71.60900242508038,6.583928630213648,0.0,2.9517946692124526,0.0,7.692223282966279,7.537500960156258,0.0,3.239292886065115,0.3862571463058674
2024-04-23,71.44593751026711,6.5709498307980425,0.0,3.16500750183439,0.0,7.677059718982379,7.5226423979586245,0.0,3.2329073167526365,0.3854957234068185
2024-04-24,71.19355658428258,6.629028515870999,0.0,3.192982068477865,0.0,7.744914982709283,7.589132812586316,0.0,3.2614820298085316,0.3889030062644319
2024-04-25,70.6156811035602,6.7620110220779654,0.0,3.2570353089675534,0.0,7.90028287746109,7.741375618442257,0.0,3.326909422862359,0.396704646628574
