date,YUE XIU SECURITIES CO LTD,BOCI SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,NANYANG COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-08,0.0,0.0,35.55148912691013,52.80162301244412,0.0,11.646887860645746,0.0,0.0,0.0
2024-03-11,0.0,0.0,35.54151415426884,52.80568722679473,0.0,11.652798618936437,0.0,0.0,0.0
2024-03-12,0.0,0.0,35.556359697428434,52.827743943494944,0.0,11.615896359076627,0.0,0.0,0.0
2024-03-14,0.0,29.59200948567328,25.044107447899965,37.18223120453987,0.0,8.181651861886884,0.0,0.0,0.0
2024-03-15,0.0,29.5949117985504,25.04656371352049,37.185877948045984,0.0,8.172646539883118,0.0,0.0,0.0
2024-03-18,0.0,24.333223110903184,20.48585925246838,30.415832192984993,12.18619998049503,6.762729885597938,0.0,0.0,5.816155577550477
2024-03-19,0.0,24.389212791758084,20.49680512617656,30.42315156351872,12.189132509596629,6.684142811705293,0.0,0.0,5.817555197244713
2024-03-21,0.0,24.38285625278007,20.493467901325264,30.415222404410606,12.185955666761767,6.7164829985299646,0.0,0.0,5.8060147761923275
2024-03-22,0.0,24.38823464697199,20.49999365203048,30.431957831735645,12.18864365673725,6.683874739935344,0.0,0.0,5.807295472589286
2024-03-25,0.0,24.392636916479475,20.50369406324368,30.437451041143987,12.184826872785653,6.673047370931603,0.0,0.0,5.808343735415603
2024-03-27,0.0,24.391658497026246,20.506882760408924,30.436230156566918,12.184338124001034,6.672779706579349,0.0,0.0,5.80811075541753
2024-04-03,0.0,24.39116931673327,20.50847701306647,30.435619751006058,12.184093764311678,6.672645882455326,0.0,0.0,5.807994272427195
2024-04-05,0.0,24.390191015008693,20.507654441660822,30.434399013332342,12.183605074335924,6.668367365420052,0.0,0.0,5.815783090242165
2024-04-08,0.0,24.401446225083404,20.52113073426682,30.448443411516095,12.189227376944975,6.671444580990318,0.0,0.0,5.768307671198388
2024-04-12,0.0,24.40095665212535,20.522725340781957,30.447832515982626,12.188982821108066,6.671310729954283,0.0,0.0,5.76819194004772
2024-04-15,0.0,24.400467098811774,20.52431988331232,30.447221644961793,12.188738275084143,6.6711768842891175,0.0,0.0,5.768076213540852
2024-04-24,0.0,22.947902358156647,19.302502970230428,24.232665068683264,11.463140220761527,6.274040375321886,0.0,10.355047536717947,5.424701470128298
2024-04-25,0.0,22.958298900859877,19.31124796544948,24.258745333070834,11.46833359421058,6.27688282809451,0.0,10.359738888991862,5.366752489322861
2024-04-26,0.0,22.95526560292909,19.321908730240512,24.25554021746797,11.466818374258478,6.2760535133540545,0.0,10.358370138864895,5.366043422885003
2024-05-02,0.0,22.927569713311,19.298596542934117,24.346927101575773,11.452983477226244,6.268481355908799,0.0,10.345872602092648,5.359569206951421
2024-05-17,0.0,22.928001947617073,19.298960363242553,24.347386093840203,11.4531993907499,6.266714313940351,0.0,10.346067644180437,5.359670246429479
2024-05-20,0.0,22.936650057421186,19.30246779622643,24.367885139661123,11.457519371451488,6.223815768081745,0.0,10.349970030844226,5.3616918363138
2024-05-21,0.0,22.929731047824678,19.296645064503007,24.34733687739111,11.454063126259411,6.225709025328178,0.0,10.346847886076453,5.399666972617158
2024-05-22,0.0,22.93405493954972,19.29839814597532,24.342499518524154,11.456223035098573,6.2193401596419635,0.0,10.348799005776096,5.400685195434172
2024-05-23,0.0,22.934919913589077,19.299125998657342,24.339646042591898,11.456655114621386,6.219574726437682,0.0,10.349189318021448,5.400888886081164
2024-06-04,0.0,22.935352425076548,19.297604124799236,24.34010504469672,11.45687116660516,6.219692016470806,0.0,10.34938448518501,5.400990737166521
2024-06-07,0.0,22.936650057421186,19.29303815880766,24.34148215488856,11.457519371451488,6.220043913114236,0.0,10.349970030844226,5.401296313472643
2024-06-20,0.0,22.938380462307055,19.294493679444265,24.343318544228094,11.458383758685484,6.212968891530749,0.0,10.350750861465311,5.40170380233904
2024-06-21,0.0,23.22357576086469,18.894393219110295,24.633898534643315,11.55313332627376,6.1437490741941,0.0,10.307398607005695,5.243851477908145
2024-06-24,0.0,23.863452365977363,19.233743808592134,22.519465366627173,11.758294423587008,6.679119681084381,0.0,10.490437887254386,5.455486466877554
2024-06-25,22.929401463107972,18.367053590204772,14.862193828396798,17.357957694096065,9.047142266613067,5.159681945742825,0.0,8.071619963408375,4.204949248430128
