date,CITIBANK N.A.,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,DAIWA CAPITAL MARKETS HONG KONG LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,MERRILL LYNCH FAR EAST LTD
2024-03-01,25.95731653524104,13.720819176788373,21.02518156791575,14.752392158819195,10.245517163230918,3.73367943579921,1.532679496947029,5.826994344356411,3.065358993894058,0.14006112700801285
2024-03-04,26.667895671741242,13.756799452374116,20.489564242512213,14.678065127013646,10.289355757259585,3.4402368478930736,1.5434739708154162,5.868401950032263,3.0831822228853234,0.18302475747312064
2024-03-05,26.49115702196093,13.803537033294058,20.541265930502743,14.622079774042811,10.273832052028538,3.5553949664492808,1.544435341185131,5.863308241413423,3.091220705713514,0.21376893340956932
2024-03-06,26.348503869061947,13.863329097398292,20.718561953004095,14.626162524562336,10.271748145287827,3.4343492887492255,1.5629184469201387,5.866818042633173,3.092943240417424,0.2146653919655438
2024-03-07,26.23644147593706,13.729496822925954,20.828967844823843,14.624637648338828,10.272327392791434,3.550440884635598,1.5630065834861757,5.870438436833826,3.118024257796385,0.20621865243089418
2024-03-08,26.219944783240006,13.716702566154437,20.843941515995446,14.6343915544441,10.266971844838817,3.5396657123003044,1.5598432451946436,5.886165476898306,3.1234440170263116,0.2089292839076233
2024-03-11,26.142061533033527,13.711782502214737,20.836368221769252,14.639009025329274,10.268563451367383,3.786992084092728,1.5694803280579361,5.890836071190218,3.1267468014228146,0.028159981522129
2024-03-12,26.153928490759814,13.689852328495993,20.855590847930706,14.635273905648974,10.269238827471943,3.784422392006908,1.575690883724823,5.8860557788277585,3.132120191351638,0.017826353781436613
2024-03-13,26.079867468710244,13.75933353766011,20.8721844143263,14.63072543378288,10.267695241183247,3.7876113405991703,1.587197137104085,5.884701312116004,3.1199062990959847,0.010777815421974913
2024-03-14,26.044816334793413,13.786078772191063,20.862188955694787,14.623249441957038,10.262778155314948,3.78391949944235,1.5770470663663896,5.903010647640553,3.1240461981547947,0.03286492844467022
2024-03-15,26.036276562940564,13.782386029303334,20.866536497894806,14.62671810765033,10.264223868099084,3.7863307988853596,1.5777387893688148,5.906190027583617,3.1226080206257794,0.030991297648316003
2024-03-18,26.43623349452153,13.788136119141567,20.778653356982417,14.251990105552895,10.289299380945591,3.7582810996486185,1.5980681366169667,5.941330197460782,3.152359561960439,0.005648547169191047
2024-03-19,26.330971735525193,13.792843105781042,20.757489727112862,14.296845231457784,10.29210921327685,3.81764177319232,1.5919127704876266,5.9170564290795635,3.180058814514472,0.023071199572284443
2024-03-20,26.461819513115476,13.799357485407985,20.47369472635045,14.367801435433039,10.325167482610285,3.825180512471897,1.5960812902575665,5.92992143175303,3.19405199311088,0.026924129489399613
2024-03-21,26.72864275476418,13.52018482907875,20.475822720041386,14.399999996220783,10.326240659267189,3.826522898350086,1.594357574684421,5.915420903762465,3.194383976301053,0.018423687529686643
2024-03-22,26.726699879357973,13.505974557827466,20.480062810001094,14.42755192124883,10.32837899529107,3.8268427865311643,1.5946877308709164,5.916173356513998,3.175200459689646,0.018427502667841697
2024-03-25,26.758208327093847,13.507461874293531,20.372562759889405,14.466500229720902,10.340006851679547,3.8306780761169152,1.5964830561516299,5.918103560152012,3.192493080286622,0.017502184615588237
2024-03-26,26.72059344773715,13.545676956481815,20.351525866172427,14.500712851790714,10.346867527392183,3.831326377581938,1.5686682366886726,5.922976960074037,3.194611324505688,0.01704045157537484
2024-03-27,27.108531421675984,13.107723949119091,20.353201489630248,14.506645707587976,10.346034994380677,3.849950411779434,1.5892852052262818,5.921553767999297,3.1943542786529657,0.022718773948043027
2024-03-28,27.144312027648347,13.172418111772593,20.171298450955856,14.556124739548611,10.359690747093797,3.831809276173919,1.5909089735030826,5.929369638908024,3.206627366065997,0.037440668329768514
