date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,DBS BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,8.612989246491425,3.8928154713808754,2.840816730021604,2.7198228522970624,1.0036109210427535,0.0,1.0595344280893224,1.88059664311136,0.0
2024-03-04,8.601064620370497,3.924703050980017,2.820163385137467,2.721973998539861,0.0,0.0,0.0,1.8824947133255947,1.506014068057341
2024-03-05,8.588284280927985,3.9171740391302197,2.8219349173374195,2.720708618397038,1.0044966871427297,4.405104622202794,0.0,1.8783822278614197,1.5056977230216353
2024-03-06,8.589359854049384,3.9202742204801364,2.8249085606730535,2.7191268932185095,1.0085459035997635,4.405041353195652,1.0592180830536166,1.8747126254472328,1.5049384949359415
2024-03-07,8.59024562014936,3.950390267879325,2.790531345642908,2.7212780394613088,1.005445722249847,0.0,0.0,1.8740166663686804,1.505191570964506
2024-03-08,8.585373906599491,3.9545027533435,2.795909211249906,2.722669957618414,0.9998809599957539,0.0,0.0,1.875598391547209,1.5090500313650093
2024-03-11,8.579553157942506,3.9630440693075557,2.7621915756192066,2.7346910689752333,0.0,4.4034596280171225,0.0,1.8774964617614436,1.513035978814902
2024-03-12,8.57480798240692,3.962474648243285,2.7623181136334893,2.728364168261118,0.0,0.0,0.0,1.875598391547209,0.0
2024-03-13,8.577971432763977,3.966903478743166,2.762950803704901,2.724125144782661,0.0,0.0,0.0,1.874649356440092,0.0
2024-03-14,8.569661048675986,3.967219823778872,2.699163655029765,2.7186840101685212,1.0032342173742352,4.4028269379457114,0.0,0.0,1.5149340490291365
2024-03-15,8.547769972205147,3.9609561920718974,2.7768388252899374,2.715900173854311,0.0,7.484090854727015,1.0591548140464755,1.8540869291192168,1.5111379086006673
2024-03-18,8.541822685533878,3.9642461804432374,2.7797428727177165,2.714634793711488,0.0,0.0,0.0,1.8572503794762745,1.5092398383864327
2024-03-19,8.16649227081545,4.010685631684844,2.8618931863909967,2.7174186300256986,1.0020953752456943,7.4835214336627445,1.059281352060758,1.8619955550118612,1.5116440606577966
2024-03-20,8.18616893203635,4.0094202515420205,2.8553132096483167,2.7158369048471696,0.0,3.0801883436599033,1.060230387167875,1.8629445901189783,1.5103786805149735
2024-03-21,8.176419178035898,4.01321639197049,2.923668665349576,0.0,0.0,0.0,0.0,1.868132648704553,1.5094296454078562
2024-03-22,8.177368213143016,4.007205836292081,2.975739058226745,0.0,0.0,4.400359446667207,0.0,0.0,0.0
2024-03-25,8.156109826743588,4.008218140406338,2.9812796833546136,0.0,0.0,0.0,0.0,1.8678163036688473,0.0
2024-03-26,8.135231054387008,4.015367538213289,2.9465481618844778,2.714255179668641,1.0012728781528595,4.3981450314172665,0.0,0.0,1.5087969553364446
2024-03-27,8.118528036501743,4.012393894877655,2.946231816848772,2.713938834632935,1.0005769190743066,7.472006474363055,0.0,1.8707266779973402,1.508164265265033
2024-03-28,8.11276739340154,4.007648719342068,2.935855699677623,2.715204214775758,0.9998809599957539,0.0,0.0,1.8972996609966246,1.4958268088725082
2024-04-02,8.14063739104722,4.008661023456328,2.8938608961876824,2.703499448454645,0.0,0.0,0.0,0.0,1.48823452801557
2024-04-03,8.13140011600461,4.002460660756494,0.0,2.7009686881689987,0.0,0.0,0.0,1.8898971871611097,1.4945614287296851
2024-04-05,8.118176893512109,3.9849984147855357,2.9252872763592683,2.7021075302975395,0.0,4.394665236024503,1.060167118160734,1.8827477893541593,1.4939287386582736
2024-04-08,8.100335033498304,3.985694373864088,2.925603621394974,0.0,0.0,0.0,1.0598507731250282,1.8795843389971016,0.0
2024-04-09,8.10514347804103,3.988984362235428,2.889091077373814,2.7009686881689987,0.0,0.0,1.060167118160734,1.8806599121185013,0.0
2024-04-10,8.106345589176714,3.993349923728168,2.8837132117668163,0.0,0.0,4.390869095596034,0.0,1.8783822278614197,1.4876018379441585
2024-04-11,8.09400813278419,3.9548823673863467,2.9247847622700496,2.6947050564620243,0.0,7.46188343322047,1.0601038491535928,1.8727512862258573,1.5149340490291365
2024-04-12,8.098879846334057,3.9621583032075796,2.923076499077238,2.6926171792263665,0.0,7.457391333713448,0.0,1.8724982101972925,1.5000658323509655
2024-04-15,8.100271764491163,3.950769881922172,2.918710937584499,0.0,0.0,7.454101345342108,0.0,1.8734472453044098,1.499496411286695
2024-04-16,8.111343840740865,3.9567171685934404,2.8902339370843086,2.6948315944763066,0.0,4.375557995867874,0.0,1.8745860874329505,1.502786399658035
2024-04-17,8.100145226476881,3.9367241623368363,2.890550282120014,0.0,0.9998815926858254,0.0,0.0,1.8780026138185728,1.5013314972043206
2024-04-18,8.084832545023543,3.9713323092430466,2.8619748350447125,2.696539857669118,0.0,0.0,0.0,1.8537705840835113,1.5066460938041775
2024-04-19,8.08850214743773,3.9650054085289312,2.923089026340652,0.0,0.0,0.0,0.0,1.8544032741549228,1.5058868657184838
2024-04-22,8.086730615237778,3.9651319465432135,2.9227726813049464,2.696223512633412,0.0,0.0,0.0,0.0,0.0
2024-04-23,8.067053954016878,3.977659209957162,2.858149717410973,0.0,0.0,0.0,0.0,1.8593382567119325,1.5046214855756608
2024-04-24,7.965127583512481,3.976899981871468,2.9063256181880712,2.697805237811941,1.0961770215546607,0.0,0.0,1.8676264966474236,0.0
2024-04-25,7.961078367055448,0.0,0.0,0.0,0.0,0.0,0.0,1.8678795726759883,0.0
2024-04-26,7.9437426590987705,3.9808226603142196,2.9060092731523657,2.696223512633412,0.0,0.0,1.0600405801464516,1.871043023033046,1.5049378306113663
2024-04-29,7.955135825559714,3.982214578471325,2.8795628281673635,2.688314886740768,1.0966199046046488,4.375494726860733,0.0,1.8701572569330698,1.5054439826684956
2024-04-30,7.947290468674212,3.946594127450856,2.8427850604682683,2.693692752347766,1.0967470436744988,4.37530491983931,1.054030024468042,1.8583892216048152,1.5456201185481637
2024-05-02,7.9417860650529315,3.9362180102797066,2.8398114171326343,0.0,1.0984553385018134,0.0,0.0,1.8587688356476624,1.5459367482944015
2024-05-03,7.931125237349647,3.936913969358259,2.703253806534419,2.696223512633412,1.0997846203418493,3.0739879809600703,0.0,1.8638303562189547,1.547326293863739
2024-05-06,7.933023307563881,3.929195150487039,2.7043293796558188,2.6955908225620004,1.1008601934632487,0.0,0.0,1.8584524906119566,1.5479589839351506
2024-05-07,7.916519587051112,3.920843641544406,2.704076303627254,2.694009097383472,1.110467718735647,0.0,1.053966755460901,1.843394466912362,1.5477028393597396
2024-05-08,7.914368440808313,3.9212865245943944,0.0,2.6906558400049905,1.1042673876703177,4.371065896360853,1.0529544513466427,0.0,1.5478897043723312
2024-05-09,7.908041540094198,0.0,2.8769186265519138,0.0,1.1057858438417054,7.44264965504956,0.0,1.8454190751408788,1.548269318415178
2024-05-10,7.848885018417219,3.923121325801488,2.8742930260245627,2.6874923896479332,1.1063558026925364,7.441510812921019,1.0466275506325273,1.8359603585732767,1.5495979675651421
2024-05-13,7.81744664876878,3.9198313374301477,2.9704763738472475,0.0,1.1062925336853955,7.437904479513973,1.0467540886468094,1.8357072825447118,1.5484591254366016
2024-05-14,7.790367513712367,3.887817219816724,2.977689040661339,2.6868596995765213,1.1067354167353833,7.431008157735587,1.0464377436111036,0.0,1.5486489324580248
2024-05-16,7.763984337734506,3.8478944763106564,2.4781098108769863,2.6944519804334597,1.1500746866270732,7.412280531621805,1.0334043281400263,1.8234963641664694,1.5435241428795914
2024-05-17,7.758593818326079,3.8246747506898533,2.4791853839983857,2.6946417874548834,1.1503277626556379,4.341962153075922,1.025495702247382,1.8262169314735388,1.5356155169869474
2024-05-20,7.85514232322348,3.812653639333034,2.683122589131715,2.699133886961905,0.0,7.394755016643706,0.0,1.8201747412915588,1.5369441661369114
2024-05-21,7.853808928897979,3.8094901889759765,2.6695197525963668,2.6959704366048474,1.096169492542811,0.0,0.0,1.817264366963066,1.486328960423989
2024-05-22,7.8488739463409685,3.8080982708188715,2.6801489457960805,2.694009097383472,0.0,7.394059057565153,0.0,1.8166316768916544,1.4866453054596949
2024-05-23,7.8421674315840075,3.8068328906760485,2.74284362852491,2.6959704366048474,0.0,4.333737182147572,0.0,0.0,1.487151457516824
2024-05-24,7.870132332740397,3.780196638669623,2.929887945482544,2.6943887114263187,0.0,4.333357568104725,1.0253058952259586,1.8177072500130538,1.4899352938310346
2024-05-27,7.872220209976055,3.7860173873266088,2.898271220502974,2.693692752347766,0.0,0.0,0.0,1.819035899163018,1.4930987441880923
2024-05-28,7.87418154919743,3.794938317333511,3.043871996829889,2.6947050564620243,0.0,4.32918181363341,1.0248630121759705,1.8256791449128391,1.4956295044737384
2024-05-29,7.863769052347175,3.791838135983595,3.0181942702816515,0.0,0.0,4.328549123561998,0.0,0.0,1.495819311495162
2024-05-30,7.864718087454293,3.794115820240677,3.0211995481208564,2.6950214014977303,0.0,0.0,0.0,1.8269445250556622,1.4955029664594561
2024-05-31,7.871063968870551,3.793672937190688,3.020946472092292,0.0,0.0,4.323044719940718,0.0,1.8302977824341433,1.4943641243309154
2024-06-03,7.89137332016286,0.0,3.0203137820208803,2.695654091569142,0.0,4.322601836890729,0.0,0.0,0.0
2024-06-04,7.892891776334247,3.8110719141545055,3.0066805763621045,2.6948315944763066,0.0,0.0,0.0,1.832638735698366,1.494490662345198
2024-06-05,7.894283694491354,3.796899656554887,3.0049090441621527,2.693756021354907,1.096232761549952,7.3728006711657255,1.0245466671402648,1.826501642005674,0.0
2024-06-06,7.900420788184046,3.791331983926466,3.0061111552978343,2.6951479395120126,1.0973083346713515,7.3563507293090264,1.0276468484901813,1.8300447064055785,1.4948702763880446
2024-06-07,7.906621150883879,3.7800701006553403,3.066463144864745,2.693756021354907,1.0968654516213636,4.31988126958366,1.0292285736687101,0.0,0.0
2024-06-11,7.907190571948148,3.7661509190842866,3.0713981274217548,2.6893271908550265,1.1126194343995106,7.330030822338307,1.042072182118364,1.8204910863272645,1.4824062819812376
2024-06-12,7.919085145290686,3.772414550791261,3.086382917245583,2.6888210387978972,0.0,0.0,1.0433375622611871,1.8268179870413799,1.4822164749598141
2024-06-13,7.912821513583711,3.7786781824982354,3.0569470116731616,2.6881883487264857,0.0,7.329714477302601,0.0,1.8298548993841552,0.0
2024-06-14,7.898304439895173,3.7917748669764535,3.026432369528983,2.6897700739050143,0.0,3.0029368859405556,1.0596609661036047,1.8323856596698014,1.485063580281166
2024-06-17,7.905010954652136,3.792534095062148,3.024977182364737,0.0,1.1142011595780394,7.3065580206889384,1.0664940188748493,1.835549110026859,0.0
2024-06-18,7.902416925359349,3.7963935044977584,3.024281223286184,0.0,0.0,2.986613482098138,1.0711759254032946,1.8350429579697298,0.0
2024-06-19,7.849207690353639,3.7998100308833807,3.0261792935004186,0.0,1.1142644285851806,0.0,0.0,1.833461232791201,1.4866453054596949
2024-06-20,7.7898613616552375,3.786903153426585,3.0826122109579845,0.0,1.115276732699439,7.262839136754402,0.0,1.8263118349842506,1.4875943405668122
2024-06-21,7.792898273998013,3.7891175686765255,3.0916596789791697,0.0,1.1157196157494271,4.306847854112583,1.0788947442745154,1.823148384627193,1.4860126153882833
2024-06-24,7.803147853154879,3.7873460364765728,3.0442522119283035,0.0,0.0,7.261130873561591,1.1000898616668018,0.0,0.0
2024-06-25,7.893053112302457,3.7799435626410585,3.04241741072121,2.6869229685836626,1.1155930777351448,7.237088650847953,1.1148948093378315,1.822768770584346,1.487657609573953
2024-06-26,7.923232428708787,3.780259907676764,3.0375456971713413,2.687555658655074,1.1262855399419998,4.296977888998562,0.0,1.8304875894555668,1.4882902996453646
2024-06-27,7.924371270837328,3.7838662410838095,2.9947568676417795,0.0,1.1257161188777294,7.229939253041003,1.1226768972161933,1.8341571918697537,1.4901883698595992
2024-06-28,7.924181463815905,3.7809558667553165,2.9953262887060497,0.0,0.0,2.9281529194997122,1.1269791897017918,1.8344102678983183,1.4900618318453172
2024-07-02,7.933039124815666,0.0,2.983471258492976,2.6881883487264857,1.1260957329205763,2.9216994807713146,1.1467191199298314,1.8406738996052923,1.4996787209307723
2024-07-03,7.934177966944207,0.0,2.9932146855927138,0.0,1.1264753469634232,2.9084129892716724,1.1565258160367105,1.8381431393196461,1.5006277560378896
2024-07-04,7.915323802816143,3.7800068316481994,2.946920753067532,0.0,1.2530133612457297,7.180146544420914,1.1596892663937681,1.833904115841189,1.4986664168165138
2024-07-05,7.918740329201766,3.76906129341278,2.9506536244888597,0.0,1.3060960582371572,7.166164093842719,0.0,1.8178970570344775,1.4977173817093965
