date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,28.659895421637337,24.694285232357778,0.0,2.2758527171522402,1.8460958403476686,1.2848189392010108,1.6810922188009538,0.0,1.3121574827108353,61.754197852207824
2024-03-04,28.679739513224433,24.694285232357778,0.0,2.274199042853316,1.8460958403476686,1.297783745704581,1.6830104809877067,0.0,1.3121574827108353,61.787271338186315
2024-03-05,28.679739513224433,24.694285232357778,0.0,2.2746620716570147,1.849733923805303,1.2976845252466456,1.6783801929507174,0.0,1.3124882175706203,61.78697367681251
2024-03-06,28.67808583892551,24.694285232357778,0.0,2.2766464808157245,1.856811649804701,1.297717598732624,1.6755358731565666,0.0,1.31381115700976,61.79289383080266
2024-03-07,28.681889289813036,24.697592580955625,0.0,2.279953829413574,1.8597882635427658,1.3374057819068188,1.6769249595676632,0.0,1.305542785515136,61.83909749071462
2024-03-08,28.68642035739209,24.769031310669178,0.0,2.279953829413574,1.8598213370287442,1.3372404144769263,1.6766603716798354,0.0,1.298266618599867,61.90739423926021
2024-03-11,28.711225471875963,24.776968947304017,9.440991939991466,2.283261178011424,1.8612104234398412,1.3488822815413568,1.6775202823152764,0.0,1.2975059284223616,71.3975664529017
2024-03-12,28.711225471875963,24.776968947304017,9.440991939991466,2.286700820553187,1.8612104234398412,1.3494114573170128,1.6820513498943301,0.0,1.2975059284223616,71.40606633879818
2024-03-13,28.690554543139402,24.776968947304017,9.440991939991466,2.287362290272757,1.8611773499538624,1.3736212490532715,1.6820513498943301,0.0,1.2958522541234367,71.40857992373255
2024-03-14,28.690653763597336,24.776968947304017,9.440991939991466,2.2883544948521117,1.8611773499538624,1.3747457475765403,1.678909368726373,0.8875600697189086,1.2957199601795228,72.29508164190014
2024-03-15,28.690653763597336,24.776968947304017,9.440991939991466,2.2875938046746063,1.8611773499538624,1.4012045363593368,1.675701240586459,0.8875600697189086,1.2957199601795228,72.31757161236551
2024-03-18,28.690653763597336,24.776968947304017,9.440991939991466,2.2875938046746063,1.8611773499538624,1.414896959554434,1.6469603812711464,0.8875600697189086,1.2957199601795228,72.3025231762453
2024-03-19,28.71631878871665,24.776968947304017,9.440991939991466,2.2875938046746063,1.862467215907024,1.4179397202644555,1.6403456840754473,0.8874277757749944,1.2955876662356087,72.32564154294427
