date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,BNP PARIBAS,DBS BANK (HONG KONG) LTD
2024-03-01,33.19610328010668,26.43366115305203,8.85220979101111,11.680252229644573,6.176797109547488,4.757962182480511,3.0985519409274778,2.297378968269246,1.6398401166295091,1.867243228331375
2024-03-04,33.27142582891734,26.436313396021294,8.863931298846124,11.69813594845409,6.040300420701216,4.799212168086353,3.0980675673997795,2.3043560599426343,1.618523811911143,1.8697334997200297
2024-03-05,33.204745693726586,26.39321053275009,8.869318942329668,11.698430738478201,6.1462296058414285,4.82240198478946,3.1142090045803914,2.2807885825769114,1.600378493086315,1.870286421840945
2024-03-06,33.236619824007754,26.329158294949085,8.8626233014045,11.69940591984028,6.146651476278949,4.822340758194232,3.1567284666779485,2.278680425421079,1.598703516566906,1.8690880166592645
2024-03-07,33.15654235525957,26.19414494068083,8.829781660905626,11.682018414407837,5.976925395857595,4.798275204318825,3.453343542855678,2.2684129277634617,1.7780690624452162,1.8624864955053684
2024-03-08,33.16291286266891,26.166427717972873,8.834605307990241,11.6887096287555,6.051833712107695,4.786477089487704,3.45016187752153,2.2685930623919344,1.7257144834875073,1.8645642576161021
2024-03-11,33.176392241201086,26.153730554502,8.828204033288571,11.689936522402391,6.073980918214769,4.792946225242018,3.445479635037316,2.2653659845946312,1.7091275088503461,1.864836376666871
2024-03-12,33.219292902604735,26.217107457139743,8.847983683951007,11.718732479126448,6.262680805639173,4.804343614403299,3.2180957346833106,2.27045711016254,1.5720418005908054,1.8692644116989343
2024-03-13,32.91686479330869,26.325773531788656,8.882456015792652,11.773029728612302,6.305719897225368,4.825645890307077,3.239745594646015,2.276240840558932,1.5795136003591195,1.8750101074011845
2024-03-14,33.02241908135286,26.331885993469584,8.888504280239239,11.785697808941995,6.188470802001131,4.830611659019878,3.2476821973030785,2.2406929143886454,1.588791444986135,1.8752438182974631
2024-03-15,33.052449346909505,26.26505941178099,8.864636659962569,11.748467023765574,6.305213616943349,4.863858221399237,3.1678120387529414,2.238521080237458,1.623845387103505,1.8701372131448748
2024-03-18,33.123074142726594,26.26026444099806,8.864214767988573,11.747692057612799,6.271553314964621,4.863230940182723,3.125193770654782,2.238072803285565,1.6367746201111422,1.8699291414751344
2024-03-19,33.10497805073694,26.240344747559597,8.857430917056028,11.748496366978193,6.314705863311938,4.864853733281278,3.1665925585857138,2.234916345473494,1.5989598595747117,1.8687215574421094
2024-03-20,33.181866136444505,26.269090596290013,8.865956390768295,11.760409287469601,6.186797923946677,4.866720504004189,3.1685878922527833,2.2383603813241235,1.5916207633532524,1.8705901241465608
2024-03-21,33.23969766753089,26.271805780099093,8.86463990199155,11.757642469093822,6.1397069969814995,4.869043612525753,3.165627186284376,2.238369167615012,1.5831460275979738,1.8703211902800314
2024-03-22,33.30519398650618,26.294125351830356,8.864974146798513,11.756112053196507,6.083544481850622,4.814762629645914,3.192632657195115,2.2399046988682123,1.5785178107144933,1.8702321833940863
2024-03-25,33.370470326274386,26.271694601351626,8.866400125457046,11.73518520309928,6.060554503908251,4.805871866312318,3.1899076735377103,2.2401585937146478,1.589919859281548,1.869837247063193
2024-03-26,33.275070754778916,26.331172201846975,8.882712985921204,11.746587281974914,6.057731995609651,4.812733079571922,3.1567111033525297,2.253511234041055,1.6111561902883458,1.872613172614485
