date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CLSA LTD,HANG SENG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,HSBC BROKING SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-03-01,23.80465080700154,3.252917431905268,3.1559323957008987,3.027884610463604,1.854538638371223,0.0,1.4803404208300026,0.3657972219895836,1.1246779310627875,0.826288004518529,38.89302746184343
2024-03-04,23.820943150294845,3.204766559117759,3.1568667104379564,3.028082516571856,1.8586724219979496,0.0,1.4812112077063118,0.3675981675746777,1.1286360532278294,0.8213810808893046,38.86815786781849
2024-03-05,23.85794763441582,3.2414912831641116,3.15684569280926,3.028102307182681,1.8500996043631286,0.0,1.481607019922816,0.3672221459689987,1.1319806664572898,0.8213810808893046,38.93667743517341
2024-03-06,23.85605949139943,3.235944291599578,3.1581035840333103,3.028102307182681,1.836093591176019,0.0,1.4809935109872345,0.3671825647473483,1.1319608758464648,0.8213810808893046,38.91582129786137
2024-03-07,23.812502336034225,3.180292856471757,3.162197192720062,3.028102307182681,1.8390621827998004,0.0,1.4823986443558246,0.3672221459689987,1.1319608758464648,0.8632857202506043,38.86702426163042
2024-03-08,23.79033538740479,3.044542090526632,3.163239366286117,3.028102307182681,1.843356745348871,0.0,1.481785135420243,0.3666284276442424,1.1317629697382128,0.8623138825154216,38.712066312067215
2024-03-11,23.770530369014896,3.0479022591762006,3.1660597262348182,3.028102307182681,1.846836370125381,0.0,1.4832868469696598,0.3666284276442424,1.1395406797925203,0.8623138825154216,38.71120086865582
2024-03-12,23.805423907422814,3.1885871410498248,3.1670690869681253,3.028102307182681,1.8408391817457963,0.0,1.4850877925547539,0.3676179581855029,1.1395406797925203,0.8569982827726568,38.87926633767468
2024-03-13,23.798974028611212,3.1990104599592466,3.1656732551866233,3.028102307182681,1.8301440585873008,0.0,1.4850272728668505,0.3678356549045802,1.1395802610141705,0.8296150832667983,38.843962381579466
2024-03-14,23.82773093399567,3.194112719173445,3.1631005945230113,3.028102307182681,1.825730752373279,0.0,1.484215857823017,0.36785544551540544,1.1395802610141705,0.8257005004455719,38.856129372046254
2024-03-15,23.78453404690993,3.188348782933046,3.1623474034562253,3.0278014898981382,1.8398216672808287,0.0,1.4841960672121917,0.3676179581855029,1.1395802610141705,0.8247109699043113,38.81895864679434
2024-03-18,23.80780709277839,3.1681192559409546,3.1599885605519686,3.0278014898981382,1.8400591546107312,0.0,1.4855299939630326,0.3686272793375886,1.1387886365811621,0.8127775878077046,38.809499051469665
