date,QUAM SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,SHANGHAI COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,2.296449244060475,0.0,0.0,0.0,0.0,0.0,0.0,2.296449244060475
2024-03-04,0.0,0.0,0.0,2.296449244060475,0.0,1.4045788336933045,0.0,0.0,0.0,0.0,3.70102807775378
2024-03-07,0.0,13.094600431965443,0.0,2.29333909287257,0.0,1.4045788336933045,0.0,0.0,0.0,0.0,16.792518358531318
2024-03-08,0.0,13.094600431965443,0.0,2.295239740820734,0.0,1.4027645788336933,0.0,0.0,0.0,0.0,16.792604751619873
2024-03-18,0.0,13.094600431965443,0.0,2.295239740820734,0.0,1.4023326133909286,0.0,0.0,0.0,0.0,16.792172786177105
2024-03-26,0.0,13.094600431965443,0.0,2.295239740820734,0.0,1.4082073434125268,0.0,0.0,0.0,0.0,16.798047516198704
2024-03-27,0.0,13.094600431965443,0.0,2.295239740820734,0.0,1.4203023758099353,0.0,1.2977969762419006,0.0,0.0,18.107939524838013
2024-04-02,0.0,13.094600431965443,0.0,2.295585313174946,0.0,1.4228941684665228,0.0,1.2977969762419006,0.0,0.0,18.11087688984881
2024-04-03,0.0,13.094600431965443,0.0,2.2942894168466523,0.0,1.4303239740820735,0.0,1.2977969762419006,1.3890280777537798,0.0,19.50603887688985
2024-04-08,0.0,13.094600431965443,0.0,2.2942894168466523,0.0,1.4302375809935204,0.0,1.2977969762419006,1.3890280777537798,0.0,19.505952483801295
2024-04-09,0.0,13.094600431965443,0.0,2.2942894168466523,0.0,1.4303239740820735,0.0,1.2977969762419006,1.3890280777537798,0.0,19.50603887688985
2024-04-11,0.0,13.094600431965443,0.0,2.2942894168466523,0.0,1.4302375809935204,0.0,1.2977969762419006,1.3890280777537798,0.0,19.505952483801295
2024-04-15,0.0,13.094600431965443,0.0,2.2942894168466523,0.0,1.4269546436285097,0.0,1.2977969762419006,1.3890280777537798,0.0,19.502669546436284
2024-04-17,0.0,13.094600431965443,0.0,2.2942894168466523,1.0664469978401727,1.4297192224622028,0.0,1.2977969762419006,1.3890280777537798,0.0,20.57188112311015
2024-04-24,0.0,13.094600431965443,0.0,2.150963282937365,1.0664469978401727,1.4396544276457883,0.0,1.2977969762419006,1.3956803455723543,0.0,20.445142462203023
2024-05-06,0.0,13.095637149028077,0.0,2.150963282937365,1.0664469978401727,1.4396544276457883,0.0,1.2977969762419006,1.3956803455723543,0.0,20.44617917926566
2024-05-09,0.0,13.095637149028077,0.0,2.150963282937365,1.0664469978401727,1.4479481641468683,0.0,1.2895032397408208,1.3956803455723543,0.0,20.44617917926566
2024-05-10,0.0,13.095637149028077,0.0,2.1514816414686826,1.0664469978401727,1.4495032397408207,0.0,1.2895032397408208,1.3956803455723543,0.0,20.44825261339093
2024-05-13,0.0,13.095637149028077,0.0,2.151827213822894,1.0664469978401727,1.454341252699784,0.0,1.2895032397408208,1.3956803455723543,0.0,20.453436198704104
2024-05-14,0.0,13.095637149028077,0.0,2.151827213822894,1.0664469978401727,1.4593520518358531,0.0,1.2895032397408208,1.3956803455723543,0.0,20.458446997840174
2024-05-16,0.0,13.095637149028077,0.0,2.151740820734341,1.0664469978401727,1.459438444924406,0.0,1.2895032397408208,1.3956803455723543,0.0,20.458446997840174
2024-05-17,0.0,13.095637149028077,0.0,2.151740820734341,1.0646327429805615,1.4505399568034558,0.0,1.2895032397408208,1.3936069114470844,0.0,20.44566082073434
2024-05-20,0.0,13.093909287257018,0.0,2.151740820734341,1.0645463498920087,1.4453563714902808,1.5399222462203024,1.2895032397408208,1.3936069114470844,0.0,21.978585226781856
2024-05-21,0.0,13.093909287257018,0.0,2.151740820734341,1.0645463498920087,1.4470842332613392,1.5399222462203024,1.2895032397408208,1.3936069114470844,0.0,21.980313088552915
2024-05-23,0.0,13.093909287257018,0.0,2.1522591792656587,1.0645463498920087,1.4465658747300216,1.5399222462203024,1.2895032397408208,1.3936069114470844,0.0,21.980313088552915
2024-05-24,0.0,13.093909287257018,0.0,2.1177019438444926,1.0645463498920087,1.4937365010799135,1.5399222462203024,1.2895032397408208,1.3815118790496759,0.0,21.980831447084235
2024-05-27,0.0,13.093909287257018,0.0,2.1177019438444926,1.0645463498920087,1.4992656587473003,1.5399222462203024,1.2895032397408208,1.3815118790496759,0.0,21.98636060475162
