date,KINGSTON SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOYUAN SECURITIES BROKERAGE (HONG KONG),BOCI SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,31.613302331534378,20.862219757247384,21.06842438334151,26.456053527876733,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,31.46711131063084,20.906817161546847,21.113462593613942,26.51260893420837,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,31.482545560308438,21.104230068030105,21.019103761873346,26.394120609788107,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,31.52140775769779,21.09226002679958,21.007182003162068,26.37915021234057,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,29.50878427260117,19.679160001858403,19.5995141603669,24.694856869785685,0.0,0.0,6.517684695387842,0.0,0.0
2024-03-12,0.0,26.10733013499944,17.481223979283254,17.340293722144253,21.848300322377963,0.0,0.0,5.766396354604016,11.456455486591073,0.0
2024-03-13,0.0,26.093540000117383,17.52481116517105,17.331134417531853,21.83675984670192,0.0,0.0,5.763350490354311,11.450404080123484,0.0
2024-03-14,0.0,26.199638178636043,17.596068286416376,16.994996965179112,21.925549656151848,0.0,0.0,5.786784680931307,11.496962232685314,0.0
2024-03-18,0.0,26.234413377548194,17.587776907354943,16.986988814739334,21.915218197989127,0.0,0.0,5.7840579112600645,11.491544791108337,0.0
2024-03-19,0.0,26.225722650612347,17.589849019480788,16.9889901447363,21.91780014962564,0.0,0.0,5.784739362736147,11.49289867280878,0.0
2024-03-25,0.0,23.398258514541244,15.672319408797703,15.136962215329062,19.52846578175272,0.0,10.869850467387824,5.1541251371196735,10.240018475071775,0.0
2024-03-27,0.0,21.790868262741476,14.592404716875096,14.093936772762147,18.18283999667688,0.0,10.120854041744247,4.798975697244255,9.53442116631725,6.88569934563865
