date,UBS SECURITIES HONG KONG LTD,GRAND PARTNERS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA GALAXY INTERNATIONAL SECURITIES,SOOCHOW SECURITIES INTERNATIONAL,CIS SECURITIES ASSET MANAGEMENT LTD,CHAOSHANG SECURITIES LTD,CITIBANK N.A.,CENTRAL CHINA INTERNATIONAL SECURITIES,EVERBRIGHT SECURITIES INVESTMENT,TOTAL_CCASS_PCT
2024-03-01,53.00830869251452,0.0,0.0,5.858234929717786,0.0,0.0,0.0,0.0,0.8436420301054394,0.0,59.710185652337735
2024-03-08,53.00830869251452,0.0,0.0,5.855041735054253,0.0,0.0,0.0,0.0,0.8436420301054394,0.0,59.706992457674204
2024-03-11,53.00830869251452,0.0,0.0,5.855041735054253,0.0,0.0,0.0,0.0,0.91900142416482,0.0,59.78235185173359
2024-03-13,53.00830869251452,0.0,0.0,5.778405063129458,0.0,0.0,0.0,0.0,0.9956380960896137,0.0,59.78235185173359
2024-03-14,53.00830869251452,0.0,0.0,5.783514174591112,0.0,0.0,0.0,0.0,0.9956380960896137,0.0,59.78746096319524
2024-03-15,53.00830869251452,0.0,0.0,5.785430091389231,0.0,0.0,0.0,0.0,0.9956380960896137,0.0,59.78937687999336
2024-03-18,53.00830869251452,8.374472324581852,0.0,5.781598257792991,0.0,3.648544222552895,0.0,0.0,0.9956380960896137,0.0,71.80856159353186
2024-03-22,53.00830869251452,8.374472324581852,0.0,5.7867073692546445,0.0,3.648544222552895,0.0,0.0,0.9956380960896137,0.0,71.81367070499351
2024-03-25,53.00830869251452,8.374472324581852,0.0,5.7867073692546445,0.0,3.648544222552895,0.0,0.0,1.1105931039768047,0.0,71.92862571288072
2024-03-27,53.00830869251452,8.374472324581852,0.0,5.7867073692546445,0.0,3.648544222552895,0.0,0.0,1.134861383419656,0.0,71.95289399232357
2024-04-02,53.00830869251452,8.374472324581852,0.0,5.781598257792991,0.0,3.648544222552895,0.0,0.0,1.134861383419656,0.0,71.9477848808619
2024-04-03,53.00830869251452,8.374472324581852,0.0,5.784152813523818,0.0,3.648544222552895,0.0,0.0,1.134861383419656,0.0,71.95033943659274
2024-04-05,53.00830869251452,8.374472324581852,0.0,5.779043702062165,0.0,3.648544222552895,0.0,0.0,1.134861383419656,0.0,71.94523032513108
2024-04-08,53.007670053581805,8.947331447219685,0.0,5.780959618860285,0.0,3.075685099915061,0.0,0.0,1.134861383419656,0.0,71.94650760299649
2024-04-11,53.007670053581805,8.947331447219685,5.76116181194638,5.890166876353116,0.0,3.075685099915061,0.0,0.0,1.113147659707631,0.0,77.79516294872369
2024-04-12,53.007670053581805,8.947331447219685,5.949560297094831,5.890166876353116,0.0,3.075685099915061,0.0,0.3486968572578122,0.37551969243148997,0.3403945511326262,77.93502487498642
2024-04-15,53.007670053581805,8.947331447219685,5.881225931295224,5.890166876353116,0.0,3.075685099915061,0.0,0.34550366259427906,0.37551969243148997,0.34678094045969227,77.86988370385035
2024-04-16,53.007670053581805,8.947331447219685,5.874839541968157,5.890166876353116,0.0,3.075685099915061,0.0,0.34933549619051874,0.37551969243148997,0.3384786343345063,77.85902684199434
2024-04-17,53.007670053581805,8.947331447219685,5.9074101275361945,5.839075761736587,0.0,3.075685099915061,0.0,0.35316732978675847,0.37551969243148997,0.3384786343345063,77.84433814654209
2024-04-18,53.007670053581805,8.947331447219685,5.881225931295224,5.809059731899376,0.0,3.075685099915061,0.0,0.35316732978675847,0.37551969243148997,0.3384786343345063,77.78813792046391
2024-04-19,53.007670053581805,8.947331447219685,5.876755458766278,5.809059731899376,0.0,3.075685099915061,0.0,0.35380596871946507,0.37551969243148997,0.3384786343345063,77.78430608686767
2024-04-23,53.00830869251452,8.979263393855016,5.869730430506505,5.809059731899376,0.0,3.075685099915061,0.0,0.35380596871946507,0.37551969243148997,0.3384786343345063,77.80985164417594
2024-04-24,53.00830869251452,9.036102258865904,5.869730430506505,5.809059731899376,0.0,3.075685099915061,0.0,0.35444460765217173,0.37551969243148997,0.3384786343345063,77.86732914811952
2024-04-25,53.00830869251452,9.041211370327558,5.88378048702605,5.809059731899376,0.0,3.075685099915061,0.0,0.35444460765217173,0.37551969243148997,0.3384786343345063,77.88648831610072
2024-04-26,53.00830869251452,9.076336511626423,5.886335042756877,5.809059731899376,0.0,3.075685099915061,0.0,0.35444460765217173,0.37551969243148997,0.3384786343345063,77.92416801313041
2024-04-29,53.00830869251452,9.108268458261753,5.877394097698984,5.809059731899376,0.0,3.075685099915061,0.0,0.35444460765217173,0.37551969243148997,0.3384786343345063,77.94715901470785
2024-04-30,53.00830869251452,9.182989213388426,5.878671375564397,5.809059731899376,0.0,3.075685099915061,0.0,0.34805821832510553,0.37551969243148997,0.3384786343345063,78.01677065837288
2024-05-02,53.00830869251452,9.33881711296884,5.866537235842972,5.79884150897607,0.0,3.075685099915061,0.0,0.3474195793923989,0.37551969243148997,0.3384786343345063,78.14960755637586
2024-05-03,53.00830869251452,9.381605921460185,5.859512207583198,5.770102757004272,0.0,3.075685099915061,0.0,0.34805821832510553,0.37551969243148997,0.3384786343345063,78.15727122356833
2024-05-06,53.00830869251452,9.381605921460185,5.886335042756877,5.766909562340739,0.0,3.075685099915061,0.0,0.3461423015269857,0.37551969243148997,0.3384786343345063,78.17898494728036
2024-05-07,53.00830869251452,9.381605921460185,5.902939655007248,5.766909562340739,0.0,3.075685099915061,0.0,0.3461423015269857,0.37551969243148997,0.3384786343345063,78.19558955953073
2024-05-08,53.00830869251452,9.381605921460185,5.9157124336613816,5.766909562340739,0.0,3.075685099915061,0.0,0.3461423015269857,0.37551969243148997,0.3384786343345063,78.20836233818486
