date,CHINA INDUSTRIAL SECURITIES,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,"INDUSTRIAL BANK CO., LTD.",KGI ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,SDICS INTERNATIONAL SECURITIES (HONG,CMB INTERNATIONAL SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD
2024-03-01,99.6306641516311,0.0,0.0,0.0,0.0,0.0,0.3693358483689022,0.0,0.0,0.0
2024-03-05,99.6310070545442,0.0,0.0,0.0,0.0,0.0,0.3689929454557998,0.0,0.0,0.0
2024-03-06,99.63128264760716,0.0,0.0,0.0,0.0,0.0,0.3687173523928322,0.0,0.0,0.0
2024-03-08,99.63128315521793,0.0,0.0,0.0,0.0,0.0,0.3687168447820711,0.0,0.0,0.0
2024-03-11,99.65522125528015,0.0,0.0,0.0,0.0,0.0,0.34477874471984676,0.0,0.0,0.0
2024-03-12,98.36698536381967,0.0,0.0,0.0,0.0,0.0,0.34106821452096564,1.2919464216593648,0.0,0.0
2024-03-13,98.36327141559958,0.0,0.0,0.0,0.0,0.0,0.3450692131291559,1.2916593712712592,0.0,0.0
2024-03-14,98.36634810563093,0.0,0.0,0.0,0.0,0.0,0.34195390600801473,1.2916979883610578,0.0,0.0
2024-03-15,98.37758042755212,0.0,0.0,0.0,0.0,0.0,0.3305758715476194,1.2918437009002557,0.0,0.0
2024-03-18,98.38267318554838,0.0,0.0,0.0,0.0,0.0,0.3295381973591503,1.2877886170924602,0.0,0.0
2024-03-19,98.37934533609467,0.0,0.0,0.0,0.0,0.0,0.33291315375572494,1.2877415101496088,0.0,0.0
2024-03-20,98.37729650082494,0.0,0.0,0.0,0.0,0.0,0.33521752773919766,1.2874859714358573,0.0,0.0
2024-03-21,98.38396082358413,0.0,0.0,0.0,0.0,0.0,0.3284668738929962,1.287572302522861,0.0,0.0
2024-03-22,98.35065484467549,0.0,0.0,0.03385416974792508,0.0,0.0,0.32835545176047665,1.287135533816112,0.0,0.0
